Entry,past_c1,past_c5,past_c6,past_c7,past_d1,past_d2,past_d3,past_d4,past_d5,past_d6,past_d7
A0A024SH76,16,11,7,1,45,37,6,19,12,45,5
A0A067XMP1,83,54,31,11,77,83,29,20,23,15,14
A0A068FIK2,223,83,135,23,190,245,105,67,78,23,12
A0A078IS66,18,14,27,0,6,28,5,16,8,0,0
A0A078ISJ6,21,24,0,12,25,20,8,9,4,3,2
A0A084R1K2,69,26,25,2,24,25,13,32,14,0,7
A0A095C325,0,0,0,0,0,0,0,0,0,0,0
A0A096P8D3,573,98,304,51,587,476,192,137,142,199,21
A0A0A0RM07,8,4,9,0,3,28,11,21,5,0,1
A0A0B6VQ48,93,43,68,2,64,139,51,33,38,5,19
A0A0C3VJP4,0,0,0,0,0,0,0,0,0,0,0
A0A0D3QS99,0,0,0,0,0,0,0,0,0,0,0
A0A0G2K1Q8,173,61,78,18,209,148,83,67,60,54,2
A0A0H2VBH0,38,25,47,14,54,54,32,25,31,4,5
A0A0H2VDN9,147,56,76,13,98,122,66,37,56,15,43
A0A0H3K6J4,21,30,12,6,23,45,17,3,25,3,5
A0A0H3LKL4,0,0,0,0,0,0,0,0,0,0,0
A0A0I9QGZ2,276,37,129,14,323,245,110,99,50,60,7
A0A0L0P4F8,0,0,0,0,0,0,0,0,0,0,0
A0A0M3R8G1,0,0,0,0,0,0,0,0,0,0,0
A0A0M5K865,94,69,61,9,141,169,27,84,27,50,33
A0A0P0VG31,99,12,40,12,67,83,19,21,26,6,8
A0A0P0WGX7,424,164,254,36,472,484,183,207,177,90,49
A0A0P0X004,60,44,23,0,64,34,13,12,26,0,3
A0A0P0XB70,1,1,4,2,7,8,5,3,0,0,0
A0A0P6JG37,115,25,49,0,110,89,49,37,33,20,10
A0A0R4I9Y1,0,0,0,0,0,0,0,0,0,0,0
A0A0R4IBK5,82,23,4,6,147,27,9,52,3,29,1
A0A0R4IF99,14,10,50,23,36,24,24,0,20,0,8
A0A0R4IKJ1,31,28,16,2,41,54,26,18,19,6,6
A0A0R4IMY7,124,42,39,0,191,82,43,56,43,42,4
A0A140JWS7,95,44,28,5,41,69,34,38,43,3,9
A0A166YZY9,70,18,14,2,105,48,12,30,10,18,0
A0A168WVR6,210,95,125,20,149,168,77,58,62,15,12
A0A1B4XBG9,41,17,13,2,29,17,11,2,21,5,0
A0A1C7D1B7,155,24,80,10,127,134,74,42,29,24,20
A0A1D5P556,113,30,47,8,54,69,23,28,27,2,7
A0A1D6IEG9,11,0,13,0,10,7,4,0,4,0,0
A0A1D6KL43,0,0,0,0,0,0,0,0,0,0,0
A0A1L8HU22,120,16,42,14,58,61,27,33,31,7,24
A0A1P8AUY4,15,0,22,0,6,8,10,3,7,0,1
A0A1P8B554,64,26,28,15,52,68,20,30,25,0,5
A0A1U8QN18,16,8,0,0,20,18,11,2,5,0,0
A0A1U8QTJ9,64,66,46,5,114,106,63,57,21,6,3
A0A1V0QSF1,111,39,46,1,148,83,71,27,12,104,6
A0A286LF01,23,6,7,4,32,19,12,31,6,2,10
A0A286R227,75,48,79,11,213,169,57,65,32,33,5
A0A2A5K5H4,250,106,145,11,214,222,118,101,74,26,3
A0A2G5I8W0,65,13,25,2,30,59,23,13,17,0,8
A0A2H5AIZ1,208,51,127,0,205,156,87,77,29,177,15
A0A2I0BVG8,691,253,323,44,556,566,237,286,242,129,74
A0A2I1BSZ6,22,7,19,5,7,12,9,9,10,14,1
A0A2R6X6S3,38,2,25,2,14,28,4,2,0,7,6
A0A2V5GSC6,4,0,0,0,9,12,4,9,0,15,0
A0A2Z5CV93,44,7,12,3,27,23,8,17,7,0,6
A0A3G9HRC2,75,26,23,2,143,51,21,22,18,10,11
A0A3S5YBC7,20,13,4,3,5,11,5,2,4,2,5
A0A411L030,152,26,81,15,106,74,25,43,15,5,4
A0A411PQP8,192,35,93,2,103,160,42,51,50,36,42
A0A452G813,0,0,0,0,0,3,0,0,0,0,1
A0A455R5H4,0,0,6,0,0,0,0,1,0,1,0
A0A481NR20,126,60,106,9,167,98,77,37,53,89,13
A0A482NAR8,71,37,48,2,46,81,26,21,15,0,12
A0A4P8WAE5,103,67,93,19,67,108,65,55,48,25,8
