Entry,pstr_c3,pstr_c5,pstr_c7,pstr_c8,pstr_d3,pstr_d5,pstr_d7
A0A024SNB7,18,35,120,50,39,2,8
A0A067XMP1,214,159,631,262,129,18,12
A0A068FIK2,31,36,88,10,43,11,4
A0A078IS66,74,122,191,53,76,12,20
A0A078ISJ6,14,37,131,17,43,7,0
A0A084R1J7,260,173,273,273,224,51,48
A0A096P8D3,159,114,642,112,227,38,18
A0A096XJN4,0,0,0,0,0,0,0
A0A0A6ZFR4,79,84,455,102,131,26,0
A0A0B6VQ48,154,156,350,148,186,47,37
A0A0C5PRQ1,57,11,56,33,5,4,0
A0A0D2YG06,96,106,319,73,135,27,9
A0A0D3QS99,25,61,27,86,75,4,7
A0A0G2K1Q8,44,53,174,148,100,38,13
A0A0H2VDN9,485,336,643,328,611,131,83
A0A0H3LKL4,0,0,0,0,0,0,0
A0A0I9QGZ2,1,14,10,6,10,0,0
A0A0P0X004,4,13,72,5,29,8,0
A0A0P0XB70,33,24,15,26,43,1,0
A0A0P0XM10,0,1,0,0,1,0,0
A0A0P6JG37,243,185,603,201,211,44,7
A0A0R4IBK5,119,56,159,58,63,16,33
A0A0R4IKJ1,9,31,19,15,22,8,0
A0A0R4IMY7,37,21,78,22,40,1,0
A0A140IL92,42,34,40,58,53,11,0
A0A140JWS7,37,49,63,77,74,14,10
A0A140LI88,90,21,73,71,72,7,5
A0A140N890,69,27,55,34,60,9,5
A0A168WVR6,211,122,297,135,174,35,21
A0A1B4XBG9,104,47,94,46,88,7,11
A0A1C3YKE0,4,0,12,4,12,3,0
A0A1C7D1B7,15,25,67,7,55,7,0
A0A1L5BUX8,21,10,81,19,36,3,2
A0A1L8GXY4,0,7,15,0,0,0,0
A0A1L8HCK2,90,76,289,99,132,42,5
A0A1L9U7P9,19,5,22,13,0,0,0
A0A1P8AUY4,38,8,48,6,54,5,0
A0A1P8AW69,7,8,16,11,9,1,0
A0A1S4A695,0,0,0,0,1,0,0
A0A1U8QJR1,28,6,19,33,6,13,0
A0A254TZW7,104,46,123,63,53,2,12
A0A286R227,103,91,240,66,112,26,23
A0A2I0BVG8,222,408,497,132,350,66,18
A0A2R8Q1W5,21,6,39,18,33,5,0
A0A2U8QPE6,8,15,45,5,15,4,0
A0A2Z5VKM8,76,86,177,64,55,11,2
A0A383ZFX3,96,78,296,126,112,19,8
A0A3G1DJF4,27,29,42,29,44,6,5
A0A3S5YBC7,41,22,273,50,67,3,0
A0A411PQP8,48,41,125,10,84,1,0
A0A455R5H4,149,140,606,178,209,44,1
A0A482NAR8,0,0,0,0,1,1,0
A0A4Y1YQ38,2679,2163,6351,2476,2388,477,264
A0A4Y1YTM1,3102,2125,6746,2763,3005,692,363
A0A509AFG4,17,18,118,36,18,1,0
A0A509AHB6,371,247,494,236,476,43,58
A0A509AKL0,303,203,577,211,343,53,14
A0A509AQE6,73,77,214,53,139,25,7
A0A5K1K8H0,209,110,224,109,224,40,22
A0AUS0,133,80,222,89,139,5,14
A0AVI2,53,8,80,0,35,0,0
A0B8A1,26,27,32,10,31,9,0
A0BD92,0,0,24,0,0,0,0
A0BLX0,46,20,28,16,38,24,0
A0BQL0,279,146,392,109,197,25,16
A0CCD2,15,16,64,0,16,6,5
A0CDD4,8,32,112,11,29,7,2
A0CEY2,0,0,0,0,0,0,0
A0CUB5,149,150,239,140,69,64,17
A0DSB3,96,61,79,51,85,33,11
A0E358,0,0,0,0,0,0,0
A0FGR8,32,7,49,37,55,3,10
A0FGR9,113,122,303,81,129,27,1
A0JM08,180,95,158,74,180,12,4
A0JM23,206,105,299,104,205,33,33
A0JM56,52,0,15,28,26,1,13
A0JMG9,17,13,6,20,4,0,0
A0JMH2,17,0,15,39,15,1,9
A0JMU5,0,1,0,0,0,0,0
A0JMW2,161,119,254,157,115,35,0
A0JNA8,266,160,212,118,168,24,7
A0JNC4,0,0,0,0,2,0,0
A0JND4,83,33,57,45,63,10,5
A0JPA0,59,64,136,60,135,12,2
A0JPI9,135,52,177,75,113,8,21
A0KKF0,10,15,68,34,51,10,0
A0L5X4,9,11,34,3,24,0,0
A0LE04,7,25,71,6,26,4,9
A0LP26,8,26,55,24,28,3,3
A0LTX3,34,24,25,29,17,5,12
A0LWS7,26,18,37,0,36,6,0
A0LXM7,0,0,0,0,0,0,0
A0LXQ1,0,0,0,0,0,0,0
A0LY94,0,0,0,0,1,0,0
A0LYC2,0,0,0,0,0,0,0
A0LYZ0,0,0,0,0,0,0,0
A0M3L3,0,0,0,0,0,0,0
A0M4Z2,0,0,0,0,0,0,0
A0M572,0,0,0,0,0,0,0
A0M576,0,0,0,0,0,0,0
A0M579,0,0,0,0,0,0,0
A0M588,0,0,0,0,0,0,0
A0M591,0,0,0,0,0,0,0
A0M592,0,0,0,0,0,0,0
A0M594,0,0,0,0,0,0,0
A0M5A0,0,0,0,0,0,0,0
A0M7D0,0,0,0,0,0,0,0
A0PGB3,1557,1182,3398,1495,1729,287,168
A0PJX2,3,0,0,0,3,0,0
A0PQ21,25,40,74,29,43,2,8
A0PQ29,114,44,142,77,135,23,41
A0Q1R3,16,34,133,27,51,5,0
A0QNZ7,23,6,25,9,21,0,0
A0QP18,250,222,556,221,285,38,39
A0QV09,127,119,275,97,197,40,25
A0R0B0,21,65,47,31,63,8,4
A0R566,43,60,211,82,64,4,2
A0T097,2669,6868,2519,3457,663,214,6
A0T0C6,2425,1668,4824,2072,1930,443,245
A0T0D1,111,66,226,107,181,25,19
A0T0E0,148,138,643,185,220,30,35
A0T0F0,193,223,447,275,158,57,38
A0T0L2,1483,1415,2735,1763,1171,388,147
A0T0T7,663,1373,491,510,179,28,0
A0T2M3,67,68,248,28,136,18,4
A1A040,13,0,22,13,10,0,7
