Entry,cnat_c2,cnat_c6,cnat_c8,cnat_d2,cnat_d6,cnat_d8
A0A024SNB7,44,156,110,18,133,77
A0A060A682,11,33,7,2,19,19
A0A067XMP1,189,572,345,53,377,299
A0A078IS66,22,36,36,10,113,25
A0A078ISJ6,20,75,38,8,96,70
A0A096P8D3,270,551,363,63,485,501
A0A0A0RM07,258,777,414,64,470,271
A0A0B6VQ48,162,516,365,46,628,430
A0A0B7P9G0,38,63,33,1,90,69
A0A0D3QS97,10,29,31,0,41,41
A0A0G2K1Q8,54,133,101,15,25,37
A0A0H2VDN9,152,584,444,40,796,476
A0A0H2VG78,194,385,226,51,413,250
A0A0I9QGZ2,57,143,90,13,168,54
A0A0K9RDW0,58,175,135,30,377,23
A0A0P0X004,35,86,59,7,7,33
A0A0R4I9Y1,4,23,0,1,0,0
A0A0R4IBK5,156,451,179,29,118,115
A0A0R4IEW8,53,160,190,22,258,167
A0A0R4IKJ1,34,143,124,8,185,101
A0A0R4IVA4,136,328,290,35,265,381
A0A140JWS7,33,47,32,1,0,52
A0A140N890,13,32,41,6,29,37
A0A167LUQ4,14,38,23,4,21,3
A0A168WVR6,51,156,134,17,114,144
A0A1B4XBG9,80,186,206,16,50,241
A0A1B7YCL6,124,297,408,49,523,503
A0A1C3YKE0,61,145,211,9,204,193
A0A1C7D1B7,54,111,93,10,67,74
A0A1D3PCM3,267,627,542,76,653,588
A0A1D5P556,80,189,41,25,35,46
A0A1D6IEG9,47,114,173,14,152,179
A0A1E1FFL6,50,89,69,9,93,147
A0A1P8AUY4,44,165,33,6,38,87
A0A1P8AW69,25,79,54,9,40,27
A0A1U8QJR1,15,30,42,3,51,27
A0A1U8QP15,67,135,145,11,150,177
A0A1U8QTJ9,120,206,94,26,101,72
A0A1X9QDU5,29,66,31,3,29,75
A0A1Z3GBS4,179,420,536,70,562,510
A0A248QE08,0,0,0,0,0,0
A0A286R227,45,119,104,12,193,96
A0A2A5K5H4,12,14,8,1,0,6
A0A2G5I8W0,36,92,92,1,84,43
A0A2H3D905,0,0,0,0,0,0
A0A2I0BVG8,600,1584,1102,180,1195,1172
A0A2P1BRP3,43,73,47,11,73,24
A0A345BJN8,110,187,243,21,407,264
A0A383ZFX3,333,950,1075,79,1952,1318
A0A3S5YBC7,604,1315,1944,160,2285,1875
A0A411PQP8,173,381,446,48,307,299
A0A482NAR8,22,34,57,5,13,32
A0A4Y1YQ38,3778,7850,12704,1024,25192,14899
A0A4Y1YTM1,4533,12003,19937,1280,39278,23887
A0A509AFG4,277,900,514,91,647,466
A0A509AHB6,261,620,540,69,537,405
A0A509AKL0,69,260,108,17,108,100
A0A509AQE6,511,1361,1030,167,962,863
A0A5C1RDG7,0,8,15,0,0,10
A0A5K1K8H0,397,990,526,112,494,556
A0AK43,80,147,47,24,72,32
A0B5R0,0,3,8,0,8,1
A0BKG2,83,207,229,14,255,136
A0BQL0,100,305,197,43,264,206
A0CCD2,30,114,48,14,46,39
A0CDD4,21,80,47,8,94,48
A0CUB5,53,178,102,22,75,81
A0CYG2,26,42,76,3,67,78
A0DSB3,63,166,126,17,236,218
A0DTY1,0,0,0,3,2,1
A0FGR8,35,90,128,19,324,190
A0FGR9,12,37,9,2,13,16
A0FKG7,28,52,80,6,89,59
A0FKI7,0,8,9,0,4,0
A0JJU1,0,2,0,1,0,0
A0JJX5,44,124,23,15,50,17
A0JM23,83,267,74,17,233,165
A0JM56,100,297,88,42,129,90
A0JMG9,25,67,12,3,51,66
A0JMH0,0,5,12,0,9,3
A0JMH2,11,32,30,3,36,49
A0JMU5,63,155,81,20,146,112
A0JMW2,227,629,381,61,496,377
A0JNA3,207,435,327,63,354,225
A0JNA8,388,944,1028,74,1582,1173
A0JP85,192,329,77,44,280,78
A0JPH3,20,50,52,6,73,42
A0JPI9,74,265,67,22,80,46
A0K4Z6,52,154,69,17,129,84
