Entry,cnat_c2,cnat_c3,cnat_c4,cnat_c6,cnat_c8,cnat_d2,cnat_d3,cnat_d4,cnat_d6,cnat_d8
A0A067XMP1,2,381,412,0,0,0,357,270,0,0
A0A075F932,190,173,162,41,12,21,179,49,0,15
A0A097ZPE0,0,0,0,0,0,0,0,0,0,0
A0A0A2JW91,326,5,25,17,5,886,10,34,22,0
A0A0B4J1F4,1082,306,1029,218,119,939,394,818,170,214
A0A0B6VQ48,121,51,220,77,64,190,118,339,56,240
A0A0C3VJP4,0,1,4,1,0,0,1,0,10,0
A0A0D3QS97,83,92,154,12,0,733,168,426,43,6
A0A0E4AZP0,67,0,2,5,0,230,3,2,0,0
A0A0G2JXT6,462,143,234,177,372,570,347,472,88,479
A0A0G2K047,1172,1548,944,222,523,3401,1952,1116,987,894
A0A0G2K2P5,132,18,73,22,20,190,15,98,34,1
A0A0G2K344,185,8,74,26,17,290,29,77,20,3
A0A0G2L7I0,245,104,130,197,132,120,141,99,24,205
A0A0H2VDN9,0,25,19,0,0,0,24,22,0,0
A0A0K3AV08,0,0,2,0,0,0,0,0,0,0
A0A0K3AWM6,175,27,23,24,82,180,35,31,83,28
A0A0P6JG37,442,291,264,166,128,722,271,717,57,72
A0A0R4I9Y1,521,194,658,8,13,194,362,289,28,6
A0A0R4IBK5,1031,75,436,117,27,651,211,257,50,0
A0A0R4IF99,749,316,204,302,334,984,564,591,150,769
A0A0R4IFG5,530,330,294,142,123,629,498,610,68,198
A0A0R4IKJ1,0,32,34,0,0,0,14,12,0,0
A0A0R4ITC5,537,202,254,172,72,495,292,342,52,148
A0A126GUP6,0,0,0,0,0,0,0,0,0,0
A0A162J3X8,0,0,0,0,0,0,0,0,0,0
A0A166YZY4,633,572,585,348,508,387,948,639,106,499
A0A166YZY9,411,141,69,133,286,435,262,97,274,664
A0A1B4XBG9,0,63,78,0,0,0,75,40,0,0
A0A1B8YAB1,18,3,10,8,21,24,4,7,0,5
A0A1D3PCM3,577,405,662,147,247,1028,305,971,164,210
A0A1D5P556,670,118,355,63,111,745,228,343,117,19
A0A1D6IEG9,0,55,18,0,0,0,29,16,0,0
A0A1I8M2I8,20,0,0,9,64,14,0,1,17,41
A0A1L8EV45,1050,125,610,97,106,1449,290,830,141,38
A0A1L8GXY4,631,278,302,231,159,505,662,634,50,280
A0A1P8B554,0,0,0,0,0,0,0,0,0,0
