Entry,mcav_c1,mcav_c3,mcav_c5,mcav_c6,mcav_c7,mcav_c8,mcav_d1,mcav_d2,mcav_d3,mcav_d4,mcav_d5,mcav_d6,mcav_d8
A0A044RE18,0,0,2,0,0,0,0,0,0,0,0,0,0
A0A087WPF7,51,197,554,44,363,699,651,265,422,124,131,334,258
A0A089QRB9,0,0,1,0,2,1,6,4,4,0,0,10,2
A0A0A2JW91,0,1,16,5,3,19,83,62,18,42,0,375,0
A0A0A6YYL3,24,30,68,0,28,84,42,14,72,9,0,15,15
A0A0B4J1F4,0,2,9,0,9,12,6,15,2,3,0,0,1
A0A0C5PHQ7,193,81,75,21,137,149,10,100,93,25,29,19,92
A0A0D3QS97,11,8,32,0,14,16,25,11,45,0,0,22,4
A0A0G2JZ79,10,1,20,5,0,6,8,8,2,1,0,2,4
A0A0G2K2P5,0,0,0,6,0,11,0,0,0,0,0,0,4
A0A0G2KIZ8,1,0,6,0,2,0,9,55,0,0,0,0,0
A0A0G2KQY6,446,243,221,40,259,541,607,410,446,140,63,518,244
A0A0G2L7I0,0,1,5,0,0,1,2,0,2,0,0,0,0
A0A0H2VDN9,0,0,3,0,0,5,11,2,3,1,0,5,1
A0A0H3HIJ5,1,10,16,0,4,24,6,26,27,0,0,8,1
A0A0P0XM10,71,49,96,6,95,250,155,67,260,22,11,126,99
A0A0R4I9Y1,42,59,290,37,127,317,55,407,162,69,0,182,18
A0A0R4IBK5,1050,716,3868,337,2683,2706,783,1572,1681,332,666,2100,619
A0A0R4IC37,176,101,311,35,288,446,388,156,398,122,71,255,191
A0A0R4IES7,97,28,178,48,70,162,116,148,112,29,0,94,68
A0A0R4IFG5,120,56,176,17,123,239,646,158,336,41,29,522,143
A0A0R4IVA4,226,133,812,44,411,696,906,315,590,205,84,1976,184
A0A0R4IXF6,26,48,101,8,86,131,134,38,99,13,62,74,62
A0A140C435,0,10,12,1,0,13,27,0,14,1,0,1,21
A0A166YZY4,312,305,915,85,650,983,676,501,1109,274,158,937,788
A0A167LUQ4,0,0,0,0,4,0,0,0,0,0,0,0,0
A0A1B0GTI8,111,28,114,3,42,138,4653,164,506,466,26,4739,93
A0A1B0GVH7,159,70,313,11,130,366,412,154,330,35,21,162,128
A0A1B4XBH3,2,7,12,54,1,123,47,77,48,15,0,238,10
A0A1B8YAB1,44,5,24,4,9,38,56,12,24,1,0,22,9
A0A1D5P556,169,57,317,28,140,242,531,191,183,40,33,101,47
A0A1D5PRR9,46,22,10,4,35,56,212,41,62,25,16,25,49
A0A1D5PUP4,1,60,18,19,78,49,22,45,104,14,21,50,27
A0A1F4,19,5,27,0,44,42,57,46,82,17,62,95,90
A0A1L8F5J9,25,46,58,11,46,112,68,47,50,0,0,70,61
A0A1L8GXY4,164,50,207,14,163,250,1209,226,560,130,1,498,153
A0A1L8HCK2,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1L8HFX9,2,3,5,0,4,6,20,13,6,0,0,0,5
A0A1P8ASY1,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1U9YHZ9,1,4,8,2,6,5,1295,25,135,0,0,2444,4
A0A1V6PAF7,250,120,602,46,220,486,3794,787,8399,3499,58,27791,142
A0A286QZ36,258,74,215,14,158,348,470,228,328,107,25,124,144
A0A2D0TC04,0,5,18,0,0,30,7,0,0,1,7,0,0
A0A2R8QCI3,0,0,0,1,1,4,0,5,1,0,0,0,0
A0A2R8QPS5,0,2,12,3,1,0,12,0,5,5,0,11,2
A0A2R8Y619,8,3,25,0,8,35,16,9,20,7,22,18,12
A0A383ZFX3,397,229,572,58,459,465,832,341,1805,292,196,502,168
A0A384XR80,31,21,13,6,9,22,6,0,40,8,0,52,6
