Entry,oann_c1,oann_c2,oann_c3,oann_c6,oann_c7,oann_c8,oann_d1,oann_d3,oann_d6,oann_d7,oann_d8
A0A075F932,22,23,15,34,23,11,29,2,0,23,11
A0A089QRB9,16,897,6,200,201,121,994,1788,141,2623,139
A0A0A2JW91,0,0,0,0,1,0,0,0,0,7,0
A0A0B4J1F4,52,88,61,186,109,69,87,55,44,204,47
A0A0G2K047,744,919,544,823,1062,757,1058,1127,588,923,695
A0A0G2K2P5,270,557,108,650,476,164,234,247,59,349,287
A0A0G2KIZ8,2,4,0,6,0,0,0,2,3,5,5
A0A0G2KQY6,1,1,4,20,10,4,1,0,3,13,5
A0A0G2L7I0,7,4,4,10,2,5,9,11,3,1,5
A0A0P0XM10,119,97,44,135,89,52,116,35,19,35,60
A0A0R4I9Y1,4,4,0,7,8,3,0,0,5,7,2
A0A0R4IBK5,556,520,319,1087,831,410,202,263,135,436,519
A0A0R4IC37,291,274,125,331,344,144,280,227,77,149,198
A0A0R4IES7,0,2,3,0,0,2,10,0,0,4,1
A0A0R4IF99,0,0,1,7,1,2,6,1,0,6,1
A0A0R4IFG5,213,376,91,186,296,180,417,299,120,100,166
A0A0R4IKU3,36,0,0,12,20,0,1,0,0,3,2
A0A0R4IVA4,398,703,267,548,491,259,421,310,215,496,302
A0A0U1RQI7,218,77,75,362,522,406,60,52,22,71,421
A0A140C435,0,36,1,6,18,7,18,19,25,4,2
A0A166YZY4,563,649,410,961,609,420,606,534,219,484,406
A0A1B0GTI8,1290,2044,891,2469,1870,1362,1289,848,1058,2182,1127
A0A1B0GVH7,272,365,149,624,259,162,347,212,131,194,160
A0A1B4XBH3,0,13,0,2,1,2,6,19,3,47,4
A0A1B8YAB1,170,277,194,416,115,55,178,419,193,66,73
A0A1D3PCM3,236,854,161,399,278,205,176,80,163,156,176
A0A1D5P556,467,366,192,801,652,326,415,303,302,773,361
A0A1D5PRR9,60,0,16,98,55,7,43,3,7,41,26
A0A1D5PXA5,1,1,6,12,16,2,1,2,0,5,12
A0A1L8EXB5,3231,4272,1526,3488,3726,2254,3427,1995,1113,2750,1827
A0A1L8F5J9,28,8,11,20,29,34,14,11,2,28,16
A0A1L8G2K9,43,81,33,77,74,42,49,39,4,27,42
A0A1L8GXY4,576,766,181,409,464,316,1157,482,414,774,268
A0A1L8HCK2,0,7,2,14,0,2,8,3,1,8,5
A0A1L8HFX9,148,120,96,189,247,171,168,105,92,137,170
A0A1P8ASY1,0,0,0,1,0,1,2,0,0,3,0
A0A1V6PAF7,2,1,0,5,3,0,2,1,8,22,1
A0A286QZ36,979,1794,949,1619,1682,961,1001,901,528,1188,841
A0A287A2K5,0,1,0,3,1,1,0,0,0,0,1
A0A2D0TC04,10,7,1,23,17,4,8,0,0,18,24
A0A2P1BRQ0,3,5,0,9,9,0,0,0,1,0,2
A0A2R8Q1W5,151,148,77,444,168,64,44,60,18,65,65
A0A2R8Y619,52,91,0,76,60,38,81,4,20,27,29
A0A386CAB9,55,51,27,138,268,86,48,17,21,168,124
A0A3Q2TTB3,12,10,5,68,76,19,8,10,0,27,39
A0A411L030,851,360,599,1608,1017,356,1052,572,362,920,388
A0A452G813,28,7,0,41,25,10,17,28,37,74,30
A0A481NV25,99,160,223,231,203,109,158,180,193,114,148
A0A4X1UM84,0,2,0,1,0,0,2,0,3,0,0
A0AUS0,570,916,652,1123,772,570,843,824,885,946,583
A0AUT1,317,607,249,365,504,280,353,355,112,181,304
A0AVT1,55,23,1,98,81,30,29,12,5,33,68
A0FGR8,223,252,110,547,328,170,136,93,201,397,149
A0FI79,129,152,52,162,187,81,171,136,49,90,107
A0FKG7,17,25,16,53,48,28,38,24,8,31,23
A0FKN6,0,0,0,0,0,0,0,4,4,0,0
A0JC51,186,148,102,241,167,123,165,48,17,208,130
A0JJX5,0,0,0,0,3,0,0,0,0,3,0
A0JM12,4,0,0,3,0,0,1,0,7,7,0
A0JM13,43,32,11,22,14,24,43,14,12,101,26
A0JM23,23,13,18,30,21,4,18,7,3,10,14
A0JM24,54,117,39,74,108,26,74,92,14,34,56
A0JM49,1,0,0,8,0,5,2,0,0,10,3
A0JM56,13,16,0,26,8,16,19,3,12,82,6
A0JM59,0,0,0,3,3,0,4,3,0,8,2
A0JMD0,25,18,3,60,47,14,31,11,40,63,15
A0JMD4,0,0,0,0,1,1,0,0,3,5,2
A0JME2,0,26,18,0,43,0,14,25,38,0,0
A0JMF1,3,1,0,15,5,0,0,1,0,16,8
A0JMH2,60,48,19,100,41,23,29,18,19,16,58
A0JML8,10,11,0,13,18,4,4,7,0,0,9
A0JMP0,6,0,1,4,2,0,0,0,0,1,0
A0JMT0,5,21,47,28,58,44,5,15,0,0,0
A0JMU5,55,321,53,76,191,195,187,217,120,248,193
A0JMY5,144,293,262,315,385,196,236,241,81,109,311
A0JMZ3,89,41,13,77,163,66,57,25,12,31,108
A0JN53,15,31,31,64,33,22,18,12,8,16,22
A0JN61,323,578,484,365,648,429,429,561,224,414,372
A0JN62,208,173,84,215,205,118,152,74,27,178,119
