Entry,pstr_c3,pstr_c5,pstr_c7,pstr_c8,pstr_d3,pstr_d5,pstr_d7
A0A023I4F1,0,0,0,0,0,0,0
A0A075F932,115,449,212,293,353,214,254
A0A0B4J1F4,1941,3247,1348,2242,1566,1731,496
A0A0B6VQ48,0,0,0,0,0,0,0
A0A0G2JUG7,691,1243,579,1325,652,910,343
A0A0G2K047,3589,3105,2313,2795,5151,4753,5413
A0A0G2KIZ8,1,19,10,17,10,4,11
A0A0G2L7I0,69,125,132,141,72,125,37
A0A0R4IBK5,0,1,0,0,0,8,0
A0A0R4IFG5,390,489,327,505,748,761,621
A0A0R4ITC5,18,3,0,3,0,2,0
A0A0R4IVA4,1403,1955,1006,2082,1460,1698,1751
A0A0R4IXF6,4406,4121,2152,4413,1734,3153,1272
A0A140C435,88,51,20,15,68,38,13
A0A166YZY4,2249,2670,1821,2293,2473,1561,1566
A0A173GP47,147,128,59,64,152,88,57
A0A1B7YCL6,0,0,0,17,0,0,0
A0A1D3PCM3,1083,1885,992,1230,1000,1396,911
A0A1D6LAB7,0,0,0,0,0,3,0
A0A1I9LN01,34,116,282,504,9,95,187
A0A1L8GXY4,421,602,480,423,793,903,520
A0A2K3DMP5,0,0,0,12,0,134,0
A0A2P1BRQ0,0,5,0,0,2,7,0
A0A2Z5WA18,0,0,0,0,0,29,0
A0A3Q7HBJ5,0,0,0,0,0,0,0
A0A411L030,364,753,410,361,552,630,179
A0A481NV25,1928,3523,1832,1581,2437,2165,859
A0A4Y1YQ38,0,0,12,0,0,0,0
A0A4Y1YTM1,0,0,5,0,0,0,0
A0A5C1ZXT8,105,17,373,213,274,339,1054
A0A5C2A2T2,1089,477,203,236,108,154,18
A0BD73,0,0,0,0,0,0,0
A0E358,3,0,0,0,1,0,0
A0JC51,57,63,75,95,82,58,15
A0JM08,1912,4078,684,1019,1402,4031,686
A0JM13,14,8,3,0,1,0,0
A0JM24,76,108,36,33,64,99,28
A0JME2,207,362,200,331,346,313,317
A0JMQ0,779,941,414,642,857,736,203
A0JMW6,670,1086,387,648,660,860,309
A0JMY4,552,311,265,320,451,378,583
A0JMY5,407,477,423,505,390,488,758
A0JMZ1,344,373,317,339,371,358,12
A0JN53,1,0,0,2,0,0,0
A0JN95,462,707,496,553,556,656,262
A0JNA3,204,399,226,231,182,150,13
A0JNC0,3326,7493,5031,6170,3950,5859,1262
A0JNH6,54,121,49,45,32,86,19
A0JNI5,2239,1268,357,617,2500,1330,659
A0JP70,218,356,225,357,356,306,93
A0JPI9,551,1022,343,561,572,667,417
A0JPN4,1812,2195,1340,3067,1854,1719,967
A0JPP1,832,1581,789,1281,1018,1257,299
A0JPP8,229,182,112,87,140,134,41
A0JPQ1,330,452,361,738,428,629,385
A0JPQ7,353,617,432,544,230,511,97
A0KN65,0,0,0,0,0,0,0
A0LMC1,1073,1476,1035,2008,719,1171,645
A0M8T5,117,153,89,184,54,90,241
A0MGZ5,236,489,263,400,266,350,179
A0MTA1,199,255,229,251,288,206,114
A0MZ67,1141,1949,1028,1503,1200,1262,550
A0NLY7,1010,4209,1094,1704,1078,1962,879
A0P9L2,158,230,251,451,192,225,113
A0PGB3,0,0,0,0,0,0,0
A0PJX0,3130,3455,1622,2982,2100,3148,1972
A0QV10,34,44,66,51,30,7,14
A0T0C6,0,0,6,12,0,0,0
A0T0T7,650,87,493,698,236,0,0
A1A4J8,443,624,417,281,365,283,344
A1A4R8,129,176,152,194,147,104,12
A1A5F2,455,697,390,332,688,475,495
A1A5Q4,378,387,194,296,394,329,584
A1A5V9,309,203,144,229,236,170,54
A1B2X1,0,0,0,0,0,0,0
A1DWM3,0,16,1,0,2,1,0
A1E295,0,0,0,0,10,0,0
A1KV41,0,0,0,0,0,0,0
A1L0Y2,296,518,305,449,282,307,95
A1L112,239,333,195,237,192,290,159
A1L157,1915,2423,1676,2094,1726,2857,1220
A1L1I3,4574,4639,2760,5958,2229,3010,2060
A1L1W9,12093,5790,5064,8238,4973,4820,4346
A1L209,501,817,366,505,544,605,208
A1L224,69,418,86,336,78,230,58
A1L258,129,126,246,183,117,92,108
A1L2K1,375,580,245,668,485,536,317
A1L2T6,0,18,0,11,7,9,0
A1L3F4,3352,6082,2897,5850,3372,4320,1382
A1L3F5,2991,3140,1941,3524,2324,3345,6139
A1R8N8,2121,5565,679,5131,1894,3375,414
A1RYE4,89,188,119,23,291,279,153
A1VBA6,131,193,103,131,142,116,79
A1VYV7,6,0,5,12,2,0,0
A1WVC4,0,0,0,0,0,0,0
A1XBS5,149,195,87,131,138,148,37
A1XQU3,5,0,3,0,4,0,4
A1Z3X3,886,1393,661,896,908,934,316
A1Z713,5,16,0,0,4,3,0
A1ZAY1,3934,801,887,3014,497,1227,1735
A2A259,118,165,42,99,292,126,278
A2A3K4,311,172,93,211,268,173,120
A2A3L6,455,670,490,759,557,646,940
A2A3V2,68,101,104,92,71,106,17
A2A4P0,13,7,11,6,5,1,18
A2A6A1,476,853,480,832,543,614,182
A2A7Y5,51,110,50,52,94,72,0
A2A825,671,1179,676,777,763,709,123
A2A891,28,6,5,8,10,13,4
A2A8L5,13,17,6,14,23,14,17
A2A9A2,0,2,0,0,1,9,0
A2AAY5,17337,7016,2244,11330,3788,12783,14432
A2AE42,41,195,64,126,76,90,109
A2AG06,1553,2293,1290,1878,1318,1865,1393
A2AJ76,1424,858,1220,989,637,864,188
A2AKK5,0,0,3,15,0,0,4
A2AKX3,522,714,433,622,630,565,309
A2AM29,295,348,240,201,230,243,299
A2AP18,374,669,157,390,285,200,144
A2AR02,975,648,242,350,777,485,208
A2ARS0,259,228,167,291,331,337,576
A2ASS6,166,190,52,133,137,132,55
A2AUM9,9,0,0,3,2,4,0
A2AV36,334,759,270,334,366,377,81
A2AVA0,718,1110,2019,1480,1093,1465,1817
A2AX52,9335,18378,10268,13383,11628,10831,1906
A2BGR3,176,93,60,98,180,98,58
A2BGS3,792,960,803,360,814,789,410
A2BGT0,810,920,289,761,603,432,135
A2BGU9,118,222,153,245,166,193,36
A2CEI4,5,9,1,0,0,7,12
A2QSY5,0,0,0,0,0,2,0
A2QYR9,0,0,0,0,0,0,0
A2RRH5,1390,1066,545,1325,1338,1352,1730
A2RRP1,7,8,21,0,4,0,10
A2RRV3,2159,2462,1145,1843,1737,1807,870
A2RRW4,100,49,3,35,312,10,22
A2RSX4,687,1012,667,1106,881,1164,797
A2RT91,14,3,2,0,3,1,0
A2RTY3,538,266,152,222,491,312,236
A2RU49,619,1297,442,1053,476,686,205
A2RV01,61,110,70,68,60,87,24
A2RV80,154,327,144,134,180,236,70
A2SXS5,1125,1444,1044,1758,961,948,563
A2T779,50,107,42,53,58,50,49
A2TLM1,56,284,95,162,142,162,36
A2VD00,828,1029,707,861,2078,1157,1722
A2VD33,0,0,0,0,0,9,0
A2VD93,329,266,204,201,267,259,123
A2VDD2,1529,1084,949,1543,1316,930,1257
A2VDL6,327,714,278,358,391,431,84
A2VDR8,9,76,4,26,6,74,15
A2VDS1,281,329,173,456,338,462,162
