species,sample_number,name,treatment,status,genotype,LGR,dominant_clade,%unambiguousReads_host,%unambiguousReads_cladeA,%unambiguousReads_cladeB,%unambiguousReads_cladeC,%unambiguousReads_cladeD,%unambiguousReads_unmatched,assignedReads_host,assignedReads_cladeA,assignedReads_cladeB,assignedReads_cladeC,assignedReads_cladeD
cnat,c2,cnat_c2,control,healthy,A,0,D,39.74751,0.13779,0.03844,0.74171,13.45288,45.88167,22752484,78870,31116,427720,10952044
cnat,c3,cnat_c3,control,healthy,B,0,C,34.13558,1.53678,2.24847,27.54826,2.16185,32.36906,18026458,810432,1761254,14614780,2176638
cnat,c4,cnat_c4,control,healthy,C,0,C,37.37109,0.40408,1.08224,31.19157,0.60571,29.34531,20509768,221528,657166,17188546,523242
cnat,c6,cnat_c6,control,healthy,D,0,D,18.38565,0.09711,0.05919,1.83679,41.80634,37.81492,8374002,44226,40364,842260,27122860
cnat,c8,cnat_c8,control,healthy,E,0,D,23.96637,0.2272,0.09266,1.52816,36.23906,37.94655,13828336,131076,78102,887024,28963138
cnat,d2,cnat_d2,disease,disease,A,1.38,D,53.91097,0.22813,0.08274,0.18251,3.67702,41.91863,30241116,127954,63048,104398,2895662
cnat,d3,cnat_d3,disease,disease,B,0.02,C,41.52973,0.33561,1.0899,23.46706,0.66734,32.91036,23981176,193592,694748,13625458,573640
cnat,d4,cnat_d4,disease,disease,C,0.01,C,42.29482,0.40795,0.86964,20.11958,0.54435,35.76366,23827680,229632,564658,11394464,474770
cnat,d6,cnat_d6,disease,disease,D,0.46,D,12.82853,0.2634,0.16062,2.34609,53.37581,31.02555,7464206,153220,130288,1378714,41617920
cnat,d8,cnat_d8,disease,disease,E,0.23,D,25.34854,0.13224,0.05551,1.41125,34.63385,38.41861,15613406,81446,47646,873976,29131666
mcav,c1,mcav_c1,control,healthy,A,0,C,17.88355,1.39825,3.48517,45.36024,1.92057,29.95222,10147858,794424,2137250,25899938,1491104
mcav,c3,mcav_c3,control,healthy,C,0,C,6.878,0.87728,2.82623,61.16731,1.35792,26.89326,4962400,633306,2171350,44302358,1375916
mcav,c5,mcav_c5,control,healthy,E,0,C,20.8767,0.6775,2.07171,46.73466,1.01546,28.62397,11876924,386098,1248664,26682500,797210
mcav,c6,mcav_c6,control,healthy,F,0,C,6.79716,3.88791,4.86089,49.54034,3.47307,31.44063,2950972,1736584,3063548,21598518,3261892
mcav,c7,mcav_c7,control,healthy,G,0,C,14.73891,0.85699,2.57877,51.49156,1.23421,29.09956,8982682,522940,1670916,31523678,1050412
