UniqueCount	AmbigCount
12	62
24	208
133	13982
8744	22070
1	2138
553	276
0	1079
113	24
0	0
0	0
0	453
92	23
129	1
95	90
0	0
0	0
4	0
201	207
0	0
0	0
0	0
2	0
17	18
98	4
0	0
81	333
5	36
93	244
84	598
76	27
0	0
18	0
0	0
0	167
4	0
0	0
1058	161
0	0
16	0
0	0
0	0
0	0
134	17
0	2
88	3
18	9
11	0
4	0
0	0
0	0
0	0
52	19
15	1074
4	13
18	9
0	0
6	4
0	0
9	0
3329	296
0	0
0	0
25	25
0	0
436	1
0	0
60	11
0	0
0	0
0	0
0	0
0	0
2	0
20	0
856	175
0	0
178	0
580	336
400	464
180	175
0	0
0	0
0	0
21	0
0	0
0	62
14	0
104	0
0	0
41	4
96	86
0	0
0	0
0	0
50	85
1981	23
10	0
0	0
25	3
49	20
356	24
0	0
161	129
196	232
1	0
23	2
10	3
0	0
32	0
0	0
0	0
0	0
0	0
79	166
88	0
332	59
92	0
0	0
7	56
50	8
0	0
0	0
8	0
0	0
0	0
0	0
47	0
0	2
19	0
22	0
0	0
8	0
1	0
88	2
8	3
184	1088
317	0
309	113
97	0
392	5
21	8
0	0
39	0
0	0
0	55
5	6
0	0
6	7
63	75
24	0
80	17
34	14
22	5
71	3
9	0
0	0
107	0
1	0
0	0
0	0
405	27
44	0
14	0
0	0
50	29
45	0
0	2
284	78
0	0
0	0
27	0
11	0
0	0
21	0
0	0
25	0
47	9
31	6
22	0
30	0
0	0
0	0
0	0
91	0
19	0
0	0
298	52
0	0
18	3
57	3
2	0
6	0
14	0
0	0
0	0
53	0
8	1
0	75
91	339
29	0
0	0
2	25
54	5
31	0
26	23
0	0
0	0
0	0
93	404
12	0
7	0
19	0
442	1902
73	196
0	0
0	0
0	1
12	0
48	21
11	0
61	0
16	0
13	0
10	8
29	1
0	0
0	0
57	9
55	0
58	6
0	0
643	0
0	0
0	0
162	5
62	13
0	0
0	0
52	364
33	8
55	0
0	0
99	4
77	0
44	0
0	0
513	0
38	1
36	0
0	0
69	0
0	0
9	0
0	0
4	6
0	0
4	0
0	36
1336	448
5	0
1508	226
12	0
58	4
4	0
0	0
82	0
346	0
58	4
1	6
252	11
0	0
111	0
0	0
9	2
138	0
0	0
0	0
54	0
58	12
121	2
21	0
0	0
0	0
39	1
256	289
19	0
44	1
12	0
26	9
0	0
0	0
59	0
33	0
0	0
32	10
124	0
0	0
0	0
204	0
12	0
0	1
13	0
102	0
14	0
7	0
13	16
8	9
1	0
10	39
0	0
203	0
134	0
47	0
1	0
8	0
32	1
13	0
74	40
90	0
84	0
6	0
5	0
7	0
42	0
0	0
5	5
45	3
25	0
0	0
0	0
0	0
0	0
0	0
306	0
0	0
99	31
31	0
81	8
32	13
32	0
43	0
70	0
28	6
94	13
85	0
0	0
117	0
1	0
0	0
185	0
13	0
7	0
30	6
54	5
29	0
10	0
43	4
15	0
0	0
76	9
0	0
7	0
5	0
58	0
22	0
0	0
0	0
0	16
0	0
72	14
81	0
0	1
23	0
0	4
215	55
13	0
0	0
28	35
84	13
9	0
43	0
64	17
40	0
111	21
39	0
0	0
73	0
41	0
0	0
9	0
48	0
0	2
52	0
0	0
0	0
43	4
116	0
37	45
8	0
0	0
39	0
0	0
411	0
0	0
54	0
0	11
46	0
57	0
14	0
14	0
37	14
0	0
0	0
127	0
9	7
6	0
226	131
7	1
0	0
4	2
0	0
23	0
45	0
48	0
0	0
46	7
35	0
164	7
0	0
0	0
0	0
51	0
8	13
448	0
0	0
0	0
31	7
40	0
39	0
0	0
0	0
87	3
0	0
0	0
185	60
26	0
1280	149
74	0
40	0
0	4
0	0
29	0
24	0
0	1
0	0
69	0
0	0
18	0
0	0
9	0
0	0
57	6
0	0
0	0
2	0
24	25
0	37
37	2
47	0
13	0
0	2
10	0
0	0
87	0
40	0
179	2
19	0
16	0
37	16
24	0
7	0
40	8
34	0
3	0
5	0
6	0
97	0
51	0
67	21
55	0
51	0
0	0
84	8
79	0
3	0
0	0
2	0
0	0
0	0
12	0
0	0
91	25
0	0
7	1
0	0
127	5
37	0
27	0
21	7
167	1
14	5
42	76
0	0
0	0
137	0
5	9
58	0
0	0
141	25
0	0
42	0
0	0
21	16
32	16
36	0
0	0
95	9
30	0
34	16
8	0
68	25
0	0
26	0
44	30
13	0
103	0
11	2
1	0
468	5
33	0
77	0
0	0
32	0
0	0
41	8
0	0
77	0
132	17
53	0
69	37
0	0
0	0
72	8
0	0
26	2
0	0
154	0
24	7
18	0
60	0
0	5
45	18
59	0
6	0
0	0
26	0
0	0
31	5
256	3
8	0
28	6
4	0
52	0
14	0
24	0
6	0
22	85
0	0
36	0
44	26
20	10
66	0
2	0
25	0
10	2
72	0
7	0
61	0
141	24
120	0
95	16
0	55
0	0
0	0
23	4
4	0
10	0
0	0
13	0
0	0
20	0
30	12
86	4
11	0
23	0
34	0
365	365
2	0
44	0
13	2
0	0
0	0
26	0
35	0
0	0
0	0
56	0
28	0
0	0
52	0
2	227
5	0
28	0
0	0
0	0
1	11
11	0
66	11
0	0
296	3
0	0
29	0
56	0
6	0
8	0
9	0
10	0
75	8
19	11
42	4
45	0
52	0
90	0
29	0
0	0
35	16
84	0
0	0
13	0
0	3
150	7
0	0
5	0
5	2492
7	61
32	8
5	0
12	0
24	0
2	0
31	0
364	9
29	0
63	0
7	7
0	0
1	0
0	0
0	0
0	0
16	0
108	17
44	14
39	63
9	0
66	5
147	6
24	0
32	184
0	21
58	0
318	10
86	0
187	11
0	0
53	0
22	0
0	3
26	0
142	0
4	3
36	0
0	0
13	0
12	0
0	0
20	35
23	0
0	0
0	0
108	0
190	0
54	0
18	0
20	0
64	1
0	0
0	0
16	0
0	0
18	10
0	0
35	0
35	0
61	0
16	0
47	0
158	0
119	0
0	0
9	0
6	0
0	0
0	24
4	57
13	2
0	1
22	0
41	0
56	8
58	9
39	17
55	0
7	0
0	0
55	39
7	0
31	0
58	23
1	0
0	0
17	0
98	0
14	0
51	0
229	0
23	8
2	0
44	0
24	5
60	21
67	3
0	0
23	32
7	0
0	0
15	0
34	7
47	0
56	0
240	21
15	4
0	0
1	0
11	5
198	13
47	0
1	168
37	6
777	95
67	0
24	0
1	0
55	0
16	0
2106	82
0	10
0	0
17	11
6	0
29	0
26	25
21	0
19	0
47	0
43	734
14	22
0	0
5	0
6	22
0	0
143	0
202	0
0	8
29	0
0	0
35	0
61	3
0	0
18	3
34	10
35	0
0	0
0	0
22	18
57	0
4	0
18	0
58	0
19	0
108	0
0	0
0	0
28	6
13	6
123	0
54	9
2	0
0	0
1	7
0	0
17	3
19	0
26	13
0	0
30	0
404	199
10	0
40	2
12	0
66	0
91	8
6	0
107	0
242	21
0	0
76	5
9	0
126	0
6	0
12	0
65	0
9	0
53	63
17	0
101	5
157	5
57	0
338	115
31	0
114	47
1	0
30	0
0	0
0	42
49	0
2	0
42	20
15	12
22	0
92	0
186	3
89	0
12	0
35	0
519	0
93	0
8	0
32	0
1	0
40	7
95	192
0	0
12	0
5	9
10	0
0	0
108	19
44	0
28	0
23	0
14	3
200	15
36	4
1	0
97	17
29	0
173	10
29	0
0	35
30	3
240	0
89	0
0	0
13	0
0	0
2	0
137	0
26	717
31	9
41	0
55	0
61	6
46	0
0	0
53	17
71	0
854	161
31	3
13	0
0	0
33	0
24	0
34	4
0	0
38	0
25	11
9	0
1	0
21	5
1	0
9	0
51	0
14	7
566	233
35	0
0	0
3	0
3	0
29	0
12	0
48	20
0	0
0	0
11	0
36	0
4	0
0	0
3	15
13	0
0	0
0	0
72	0
47	0
58	3
65	0
58	16
44	8
155	22
0	0
0	0
0	0
7	0
484	108
149	0
0	0
2	0
73	0
2	0
0	0
28	14
0	0
70	0
1282	420
7	0
159	41
5	0
70	0
0	5
18	0
0	0
0	0
13	0
0	0
31	0
0	0
48	2
51	0
279	0
6	0
0	0
23	0
0	0
44	0
71	3
0	0
19	1
58	27
4	1
59	452
1	5
0	0
15	0
5	0
5	0
1	0
0	0
22	9
44	126
0	0
48	3
5	0
34	0
13	0
23	0
36	0
133	2
22	0
56	0
0	0
0	0
14	0
61	0
0	0
20	4
44	12
63	7
175	0
2	0
0	0
38	42
21	0
22	0
202	166
0	2
100	114
16	0
181	8
70	0
29	15
0	0
40	0
13	0
46	0
53	0
38	11
9	2
33	0
31	13
174	0
7	0
4	0
108	17
66	6
279	0
303	76
0	0
0	0
16	0
40	0
29	3
1	0
38	0
4	0
0	95
22	0
0	0
22	0
0	0
9	0
35	3
0	0
17	0
0	0
11	0
0	0
8	0
6	0
0	0
0	0
0	1
200	583
0	0
4	0
0	0
8	0
123	0
9	0
18	0
195	119
419	0
39	0
63	0
216	45
444	54
29	0
449	31
0	23
10	0
20	0
3	0
35	2
0	6
35	0
25	0
78	0
29	0
36	5
0	0
0	0
30	0
21	0
7	0
89	0
7	0
500	368
0	0
43	0
102	14
18	8
0	0
0	0
42	0
13	0
1	8
4	0
257	6
25	0
0	0
13	0
54	0
27	0
0	0
4	8
0	0
54	5
5	0
0	0
0	0
0	0
41	0
157	0
7	0
19	15
14	0
0	0
269	66
19	0
92	0
5	0
9	0
27	0
25	0
64	13
6	0
7	0
50	28
3	0
43	3
7	0
0	0
0	0
151	52
0	0
114	0
1	0
183	0
0	0
1	0
0	0
0	0
0	0
0	0
17	7
13	0
0	0
94	14
107	0
47	0
43	0
28	1
34	0
23	9
33	0
0	0
14	1
2	0
93	20
8	0
9	0
0	0
36	10
17	0
12	246
744	0
3	17
15	0
70	10
0	0
82	0
25	0
35	0
24	0
77	0
246	0
19	0
40	0
0	0
11	0
5	0
0	0
0	0
19	1
0	0
0	0
13	0
0	0
2	0
66	2
4	0
14	0
54	5
13	0
57	0
19	0
0	0
45	0
43	0
0	0
0	0
24	0
42	0
0	0
5	0
0	0
14	0
0	0
53	0
201	77
31	0
14	4
0	0
24	0
0	1
13	9
0	0
23	0
35	0
20	0
17	0
47	0
4	0
52	0
145	68
40	0
0	0
0	0
4	0
204	0
0	0
0	0
5	7
4	0
30	0
8	6
2	0
110	0
0	0
58	20
71	0
0	0
58	194
13	0
4	0
0	0
94	24
0	0
131	0
8	0
57	9
2	0
77	25
1	0
15	4
0	0
26	60
0	0
69	0
0	0
7	0
8	0
19	0
14	0
11	10
26	40
0	4
33	0
22	0
13	0
135	5
37	0
9	0
2	0
12	0
18	0
0	0
23	0
0	0
19	0
0	0
5	0
74	0
106	0
5	0
1	0
40	5
4	0
0	6
15	0
23	2
13	0
0	3
44	0
72	0
13	27
73	0
0	13
2	0
14	0
13	0
0	0
45	4
517	0
140	4
0	0
72	0
15	0
0	10
151	3
39	0
0	0
119	0
0	0
25	0
18	0
5	0
52	0
59	0
4	0
10	0
69	7
15	0
0	0
167	0
1	0
0	0
24	0
8	0
57	0
0	18
73	4
61	1
13	0
3	0
154	0
22	55
0	11
0	0
10	0
164	0
70	8
2	1
0	0
25	0
13	0
0	0
101	0
298	18
77	0
0	0
10	0
19	0
41	0
0	0
35	0
55	0
61	8
4	2
2	0
0	0
0	0
23	6
51	0
107	2
113	0
62	0
5	0
20	0
0	0
0	0
33	0
59	0
0	0
0	0
8	0
0	0
0	0
48	3
52	0
99	12
0	18
1	6
50	12
635	176
252	92
32	0
17	0
101	1
100	6
0	0
37	0
0	0
35	5
0	0
73	0
17	0
6	0
7	0
16	0
98	0
5	0
4	0
8	0
70	7
47	0
9	9
865	46
0	0
185	42
83	0
0	0
6	0
116	0
16	0
17	0
0	0
12	0
17	0
51	0
55	1
67	0
0	1
62	0
18	4
0	0
0	0
11	0
52	0
35	0
14	0
0	0
447	2
0	0
76	22
59	16
0	0
0	0
1	0
0	22
819	0
63	0
137	8
5	0
3	0
91	0
10	0
71	7
2	0
31	15
19	0
10	0
1	0
88	72
15	0
10	0
62	22
25	14
0	0
14	0
29	0
0	0
27	0
67	0
8	1
14	0
60	0
25	0
53	0
37	0
77	0
94	20
6	0
24	1
2	0
31	0
0	0
141	0
0	0
