UniqueCount	AmbigCount
0	0
0	0
0	0
4	10
3	0
0	16
0	0
1	0
1	0
0	0
0	0
0	0
0	19
0	0
3	0
45	2
0	0
23	0
0	0
0	16
2	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
24	0
14	0
0	0
43	0
17	0
4	0
0	2
0	0
0	0
5	0
4	0
0	0
0	0
0	0
9	0
10	0
0	0
0	0
4	0
0	0
11	0
1	0
1	0
0	0
0	0
0	0
0	0
42	0
0	0
6	0
0	0
0	0
0	0
3	0
0	0
0	20
0	0
0	0
0	5
2	0
0	0
3	0
0	0
0	0
0	0
0	0
12	0
0	0
0	0
3	0
0	0
0	0
0	3
0	0
18	0
12	0
0	0
15	0
0	0
0	0
0	12
8	8
0	0
0	0
4	0
0	0
0	0
0	4
0	0
0	62
4	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
6	0
3	9
0	0
23	0
0	127
0	0
0	0
2	0
5	0
0	0
0	0
0	0
30	0
0	0
26	1
0	0
5	17
0	0
0	0
0	0
1	0
5	0
8	0
2	0
0	0
33	0
7	0
0	9
17	0
7	2
0	0
7	0
0	0
0	0
4	0
0	34
0	0
0	0
0	0
13	0
13	0
7	0
0	2
3	0
14	0
2	0
0	0
0	52
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	75
0	0
6	0
1	0
1	0
0	0
0	0
6	0
0	13
13	0
0	0
0	0
55	36
0	4
0	0
3	0
0	0
10	0
0	0
0	0
0	0
0	0
0	0
0	3
0	0
11	4
0	0
90	58
6	0
0	0
8	0
4	0
0	3
11	0
0	0
0	0
0	0
0	0
0	1
0	0
0	7
0	0
0	0
7	0
6	0
0	0
0	0
0	0
7	0
0	0
6	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
2	0
5	0
0	0
0	0
0	0
0	0
12	0
0	0
3	0
0	115
0	8
5	0
2	0
8	0
0	0
0	0
0	0
0	0
16	0
0	0
12	0
0	0
0	0
1	0
0	0
6	0
7	0
0	0
0	0
25	0
0	0
15	0
0	0
0	0
6	0
0	0
16	0
0	0
0	0
5	0
0	0
12	0
7	0
0	0
0	5
0	0
0	0
0	0
7	0
4	0
4	0
0	1
0	18
0	10
0	0
24	0
0	0
0	0
0	0
0	21
0	0
0	112
0	1
0	0
1	0
0	1
10	0
0	0
0	0
22	0
40	0
3	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
16	0
0	0
0	0
0	0
3	0
0	0
0	1
0	4
0	0
11	0
13	0
0	5
0	0
0	0
21	0
0	0
0	152
0	0
0	7
0	0
4	0
2	0
1	0
3	0
1	0
0	0
0	0
11	0
