UniqueCount	AmbigCount
73	0
234	4
259	0
426	0
408	0
117	0
125	0
163	1
2	195
1	195
237	0
26	226
81	0
34	1
160	0
5	529
191	90
31	529
166	15
510	1
186	0
95	3
74	0
2	148
125	0
82	32
0	98
156	0
399	0
164	3
664	0
116	0
0	226
253	2
281	0
9	98
241	0
222	0
79	6
148	0
460	7
0	244
0	335
231	3
179	0
57	0
215	0
374	0
323	0
604	0
174	0
185	0
85	0
586	0
156	0
37	212
186	0
54	0
202	0
172	13
27	377
53	374
162	0
0	147
51	0
250	0
6	0
266	0
773	0
342	3
71	221
133	0
357	0
119	0
290	0
111	0
122	0
383	85
121	0
320	0
161	0
255	0
86	433
23	433
238	0
127	1310
310	0
98	272
13	97
103	0
105	0
57	0
95	0
0	129
80	0
49	0
186	0
66	0
236	0
337	0
251	0
180	0
56	27
270	0
2	204
246	0
0	350
175	0
731	0
0	100
242	0
69	0
169	0
145	0
110	0
0	350
0	79
101	1
0	165
83	0
139	0
171	1
221	1
41	0
105	0
1	79
65	0
418	0
41	0
0	225
315	0
144	0
126	0
118	5
137	0
165	91
131	0
80	1
94	0
230	44
540	142
29	52
460	300
7	235
236	2
81	0
20	235
0	36
56	15
0	155
216	0
0	143
0	296
139	0
123	0
425	0
491	0
76	286
39	0
0	339
187	0
140	0
51	10
255	0
0	348
34	64
79	0
384	825
88	0
72	0
74	56
88	212
390	0
337	179
220	0
2	201
196	0
26	25
0	201
126	2
115	0
331	0
107	0
243	0
216	0
23	242
24	61
90	0
147	0
471	0
338	0
0	242
14	0
49	0
480	0
471	0
155	0
62	209
103	0
221	0
278	0
50	0
4	282
81	0
13	0
109	0
20	63
135	0
40	240
225	0
29	636
126	0
242	0
177	0
0	20
70	26
20	240
16	80
9	636
98	312
160	0
19	0
0	63
120	0
8	188
69	112
1	158
206	0
0	57
247	0
177	0
4	94
186	0
36	179
94	0
49	0
367	0
193	0
73	0
77	0
233	0
0	20
109	17
123	1
143	0
170	0
0	96
343	0
9	150
13	401
78	0
137	0
51	0
172	0
33	16
33	0
237	0
35	57
99	0
294	0
151	0
50	37
3	401
120	0
43	49
46	0
144	0
208	0
38	35
23	0
25	36
47	229
249	0
442	0
0	0
259	0
14	0
0	310
0	0
183	0
391	0
76	0
0	179
9	155
607	0
6	150
0	15
0	348
47	0
268	0
258	0
243	0
281	0
332	0
36	0
78	0
167	0
97	0
2	155
224	0
306	0
74	4
28	0
96	0
81	0
385	0
171	0
223	29
74	0
156	0
19	0
152	0
131	0
86	0
10	148
18	90
72	0
180	0
410	0
202	2
193	0
34	0
342	83
174	0
19	249
320	0
467	0
577	0
188	50
248	14
275	66
128	0
236	0
97	0
41	704
63	42
21	0
13	191
0	209
214	0
202	0
283	0
45	81
55	0
23	0
298	0
93	0
5	36
81	0
168	0
120	0
0	416
215	0
81	0
94	684
40	0
389	0
18	113
53	4
110	0
443	0
83	0
93	0
36	113
429	0
137	1
549	0
48	169
74	0
1	135
0	121
144	0
558	0
145	156
41	0
168	0
221	0
9	105
0	116
120	0
3	395
639	0
38	29
0	142
0	78
240	186
54	2
0	227
112	1
4	222
159	0
1	148
62	0
0	104
44	0
79	4
4	220
35	0
8	0
498	0
98	0
80	0
122	0
41	0
0	34
105	0
197	111
70	0
77	0
155	2
0	203
0	118
167	0
469	0
393	0
78	0
109	0
173	0
208	2
215	0
165	1
149	0
275	0
0	106
17	80
47	3
62	1
51	0
69	0
129	0
23	250
30	59
23	0
5	105
33	0
26	0
13	0
329	0
46	19
179	0
87	0
16	67
148	0
320	0
1	123
471	0
106	0
196	0
145	0
125	0
151	0
358	2
0	69
125	26
353	0
191	0
0	0
0	120
109	0
36	109
207	0
64	0
31	5
118	0
0	0
0	57
0	52
55	0
35	0
0	118
229	0
177	29
3	266
1366	316
6	5
0	80
151	0
137	0
100	0
131	1
132	2
1	35
223	16
191	40
19	95
100	0
113	0
0	115
786	0
0	68
51	0
233	0
90	0
179	0
19	0
229	117
73	39
94	201
295	0
197	0
57	0
35	220
225	0
134	0
83	0
148	0
201	0
65	0
191	0
0	135
91	55
104	41
190	0
98	0
250	0
126	11
272	0
104	0
0	36
408	0
0	110
305	0
528	161
135	0
323	0
111	0
638	0
18	174
18	0
100	0
0	99
141	0
54	92
82	0
63	0
148	0
130	0
160	0
48	0
146	0
3	167
59	0
123	0
0	78
27	0
28	266
101	152
279	0
51	0
80	0
196	0
55	0
87	0
83	1
8	250
65	6
7	0
11	87
0	220
87	0
58	0
101	0
114	0
34	85
168	0
0	99
183	2
218	0
16	0
35	0
227	0
8	76
144	0
25	84
385	0
56	0
69	0
441	0
343	0
251	5
0	269
391	0
215	0
0	67
91	0
112	0
106	0
0	87
116	0
103	0
237	0
63	4
264	0
163	0
241	2
207	0
77	262
46	280
423	0
0	52
117	0
126	0
353	0
695	0
38	0
292	0
169	0
17	179
34	206
182	0
39	0
0	95
3	0
110	59
4	249
63	0
32	0
75	0
98	0
0	115
0	186
67	0
150	18
25	0
135	105
0	195
61	0
79	0
252	0
16	0
133	0
0	179
138	48
6	67
272	27
384	0
182	0
515	3
2	26
153	0
34	0
5	26
2	183
226	0
329	0
0	323
56	0
325	0
71	0
32	0
1057	0
54	0
0	78
177	0
0	67
5	109
7	162
103	0
56	0
16	0
55	0
209	0
36	192
7	0
337	0
94	0
100	0
51	0
79	290
117	0
125	0
148	0
3	27
73	0
91	217
83	0
244	0
193	0
80	2
111	0
10	108
204	0
0	55
19	0
0	184
0	71
0	94
0	119
0	55
304	0
90	0
100	0
0	269
54	0
138	0
265	0
0	42
0	98
185	0
141	0
63	0
65	37
243	3
0	36
60	0
15	111
357	0
177	0
0	223
5	129
31	2
240	0
23	0
604	0
83	0
0	0
2	36
181	0
50	0
0	162
0	0
353	24
14	0
94	0
366	51
182	2
72	0
0	290
71	0
156	0
0	238
0	258
0	0
7	64
45	0
145	0
0	192
177	61
102	0
334	0
39	0
298	0
19	10
26	67
180	1
373	0
123	0
161	0
244	0
55	0
0	70
132	0
79	0
14	100
49	0
114	0
1160	0
180	0
53	0
4	67
2	9
47	0
287	0
0	41
121	0
30	0
19	0
209	0
88	0
77	0
100	15
3	100
59	0
112	0
189	0
324	0
93	3
110	0
115	0
129	0
8	109
81	198
40	0
32	0
0	269
247	0
0	58
542	0
893	0
0	126
0	126
5	98
130	0
246	0
418	0
1	41
267	0
193	0
149	0
134	0
10	217
1	31
155	0
58	3
96	0
83	0
0	254
118	0
0	822
12	195
8	57
97	7
4	83
71	0
28	1
44	0
251	0
163	0
53	98
83	0
355	0
0	0
0	15
86	0
809	0
0	183
381	0
50	27
122	237
0	199
50	0
96	0
9	136
27	259
285	0
3	6
186	0
3	29
57	0
47	0
117	0
21	0
39	0
67	128
11	0
256	10
57	0
415	0
391	0
82	0
142	0
155	0
140	49
0	179
31	0
73	0
311	0
224	0
0	195
0	31
0	791
19	0
8	865
0	864
0	39
63	338
139	0
314	0
169	3
735	14
0	272
131	132
60	0
105	0
135	0
183	0
23	62
34	0
19	6
36	0
0	39
230	0
0	64
344	0
62	0
272	0
781	0
0	236
0	845
13	13
50	0
7	318
121	1
36	85
126	0
0	57
65	27
0	274
95	0
18	57
36	0
139	0
9	278
40	0
26	0
64	0
11	101
0	184
125	5
76	0
106	5
165	0
621	0
194	0
133	0
74	0
0	0
88	16
126	0
441	0
70	0
1518	44
181	0
67	0
198	0
0	155
293	0
24	0
118	0
231	0
323	0
0	207
17	0
55	0
105	0
6	1310
50	0
95	0
214	0
0	29
16	274
236	8
156	0
15	178
0	101
97	0
72	0
55	14
1	101
168	0
209	0
97	0
234	0
3	17
201	0
199	218
134	0
324	0
0	183
44	0
221	255
4	35
0	80
146	0
8	109
0	56
2	210
9	50
0	3389
45	0
15	318
111	0
269	0
124	52
19	0
422	0
19	0
23	0
176	0
50	0
95	0
6	0
1	101
446	0
63	0
0	185
0	3434
126	0
124	3
66	214
0	0
89	0
119	0
111	0
98	0
176	0
1	161
289	0
134	0
93	0
351	0
0	208
45	0
53	0
0	99
0	3166
52	65
115	0
276	0
59	0
44	38
1	99
22	0
0	236
220	0
72	0
45	0
63	0
5	90
