UniqueCount	AmbigCount
128	0
158	0
225	0
493	0
614	0
37	0
72	0
92	1
0	188
0	188
69	0
125	312
66	0
26	0
96	0
14	477
56	45
42	477
288	16
575	0
360	0
15	0
57	0
0	42
63	0
19	40
0	57
91	0
201	0
62	0
622	0
66	0
0	312
164	0
193	0
0	57
227	0
580	0
12	6
197	0
131	2
6	151
0	817
84	17
176	0
35	0
111	0
252	0
450	0
459	0
86	1
226	0
31	0
503	0
100	0
56	105
253	0
37	0
103	0
261	17
21	396
22	393
117	0
0	40
12	0
187	0
9	0
252	0
1607	0
337	0
36	337
58	0
613	0
65	0
183	0
147	0
190	0
421	254
66	0
230	0
113	0
179	0
191	245
94	245
107	0
32	3522
319	0
15	380
9	110
180	0
141	0
168	0
208	0
0	42
106	0
11	0
51	0
13	0
175	0
427	0
177	0
82	0
24	49
215	0
0	69
273	0
7	563
141	0
782	0
0	44
367	0
124	0
184	0
195	0
32	0
0	563
0	49
111	3
0	308
38	0
74	0
474	7
67	2
19	0
94	0
15	49
77	0
246	0
26	0
0	116
415	0
263	0
52	0
190	0
135	0
95	252
177	0
29	0
29	0
242	44
320	193
13	64
329	744
0	167
162	0
80	0
8	167
0	76
21	38
0	242
167	0
0	241
0	374
188	0
125	0
423	0
520	0
143	570
37	0
0	441
407	0
95	0
25	28
289	0
1	464
5	92
122	0
106	800
143	0
27	0
16	134
35	391
569	0
118	90
170	0
0	212
355	0
24	4
0	212
61	3
50	0
372	0
143	0
46	0
506	0
85	260
12	46
46	0
106	0
343	0
367	0
0	260
11	0
16	0
510	0
736	0
128	0
152	238
106	0
228	0
379	0
38	0
6	220
76	0
3	0
132	0
58	48
57	0
133	307
277	0
7	1042
43	0
387	0
97	0
4	9
56	49
78	307
0	126
7	1042
79	666
180	0
0	0
0	48
79	0
12	186
45	256
0	154
64	0
0	101
277	0
132	0
0	106
402	0
71	174
28	0
16	0
967	0
55	0
20	0
22	0
251	0
5	9
106	16
40	0
138	0
321	0
2	107
680	0
0	154
53	741
64	0
192	0
54	0
88	0
20	11
43	0
410	5
119	102
192	0
443	0
86	0
16	26
1	741
93	0
23	41
37	0
323	0
145	0
58	62
15	0
29	28
109	617
90	0
616	0
0	0
422	0
5	0
0	378
0	0
453	0
435	0
37	0
13	174
20	137
938	0
17	121
0	23
0	445
28	0
310	0
521	0
358	0
569	0
526	0
12	0
134	0
178	0
56	0
3	137
96	0
374	0
94	3
47	0
60	0
63	0
876	0
157	0
194	6
181	0
78	0
3	0
122	0
104	0
22	0
0	150
14	23
70	0
187	0
265	0
181	9
123	0
25	0
271	367
251	0
4	232
599	0
738	2
385	0
309	13
161	13
398	120
288	0
129	0
18	0
180	924
3	31
5	0
27	256
0	238
353	0
136	0
551	0
85	187
23	0
13	0
354	0
24	0
5	84
68	0
111	0
45	0
0	337
185	0
25	0
174	812
43	0
488	0
70	209
27	0
133	1
450	0
18	0
88	0
63	209
648	0
69	3
422	0
26	91
146	0
0	62
0	179
218	1
810	0
31	111
34	0
114	0
184	0
2	275
0	226
72	0
6	338
1122	11
16	54
0	111
0	100
127	513
35	0
0	167
39	1
0	167
128	0
8	111
13	0
0	224
5	0
51	0
10	154
70	0
3	0
888	0
90	0
89	0
189	0
110	0
1	75
24	0
89	170
52	0
17	0
100	0
0	132
0	239
115	0
643	0
495	0
131	0
92	0
240	0
390	0
54	0
231	0
92	0
213	0
0	237
0	145
39	15
81	7
68	0
74	0
105	0
0	263
37	73
60	0
0	275
9	0
71	0
103	0
508	0
21	27
92	0
33	0
77	75
77	0
801	0
0	109
300	2
119	0
96	0
232	0
208	0
151	0
313	0
0	85
127	14
677	0
45	0
0	0
0	106
137	0
233	204
443	0
27	0
23	0
94	0
0	0
0	83
0	64
17	0
15	0
0	109
192	0
144	72
4	294
5063	1561
1	4
0	134
234	0
147	0
81	0
125	0
120	1
4	67
311	81
226	89
33	101
60	0
31	0
0	106
1169	0
0	132
53	0
473	0
31	0
268	0
5	3
242	89
62	10
112	430
208	0
156	0
85	1
96	281
402	0
129	0
53	0
268	0
421	0
118	0
108	0
0	62
74	132
80	149
140	0
118	0
366	0
92	52
253	0
78	0
0	28
795	0
2	122
191	0
463	248
141	0
660	0
147	0
1274	0
22	146
0	0
25	1
0	74
169	0
32	154
38	0
115	0
130	0
107	0
146	2
132	0
86	0
0	132
40	0
163	0
0	196
37	0
17	287
373	179
460	0
101	0
221	0
135	0
82	0
33	0
88	0
0	263
238	6
17	0
22	150
4	281
31	0
79	0
271	0
131	0
27	107
104	0
0	74
129	2
213	0
12	0
13	0
522	0
32	233
89	0
37	311
325	0
25	0
64	0
354	0
226	0
203	0
12	329
658	0
276	0
0	75
198	0
76	0
238	0
0	150
48	0
128	0
308	0
114	11
258	0
242	0
348	0
84	0
28	206
11	221
449	0
0	132
157	0
186	0
516	0
1167	0
32	0
439	0
313	0
42	218
1	268
214	0
13	0
0	101
0	0
89	102
0	232
39	0
11	0
64	0
72	0
0	116
1	180
54	3
172	48
3	0
144	320
0	303
85	0
69	0
402	2
4	0
322	0
0	218
139	186
31	23
434	8
488	0
183	0
775	9
0	62
299	0
93	0
0	62
7	180
490	0
472	0
6	524
23	0
418	0
159	0
42	0
1369	5
7	0
0	196
179	0
0	23
0	204
2	460
175	0
78	0
28	0
161	0
503	1
131	133
16	0
500	0
190	0
90	0
24	0
173	308
235	0
227	0
161	0
0	48
85	0
230	130
40	0
457	0
322	0
21	0
150	0
2	76
381	0
0	59
17	0
0	247
0	10
0	147
0	193
0	59
707	0
167	0
169	0
0	239
36	0
114	0
385	0
0	23
0	154
444	0
169	0
129	0
33	57
210	0
2	37
25	0
48	207
627	0
145	0
0	179
0	0
9	0
392	0
18	0
1407	0
183	0
0	0
0	37
155	0
134	0
0	460
0	0
446	97
31	0
175	0
200	34
78	0
115	0
0	308
93	0
277	0
0	190
0	236
0	0
0	92
24	0
219	0
0	133
188	183
64	0
566	0
32	0
299	0
0	8
6	96
85	4
622	0
231	0
220	0
355	0
24	0
0	55
85	0
51	0
11	111
30	0
242	0
1621	0
168	0
54	0
3	97
24	27
28	0
202	0
0	65
50	0
7	0
22	0
508	0
83	0
147	0
74	10
4	111
100	0
110	0
246	0
230	0
57	6
118	0
104	0
203	0
2	68
185	239
15	0
48	0
0	537
284	0
0	100
1117	0
1615	0
4	110
9	110
8	174
67	0
360	0
1007	0
0	65
494	0
105	0
127	0
120	0
0	268
0	9
213	0
26	6
380	0
126	0
0	195
147	0
0	1074
10	220
7	92
119	14
7	45
23	0
1	2
63	0
334	0
132	1
121	174
130	0
443	0
0	0
0	23
108	0
1399	0
0	206
244	0
112	31
65	247
0	269
81	0
137	0
17	210
9	538
395	0
1	0
177	0
35	65
19	0
8	0
169	0
53	0
21	0
100	371
13	0
266	28
82	0
867	0
443	0
81	0
308	0
171	0
418	42
0	203
43	0
84	0
446	0
534	0
0	266
0	9
0	1011
17	0
8	1100
0	1108
0	146
62	677
252	0
265	0
174	11
1527	19
0	329
66	152
62	0
88	0
163	0
394	0
11	31
75	0
32	0
102	0
0	146
197	0
0	116
843	0
40	0
246	0
1405	0
0	141
0	1083
3	20
56	0
17	274
221	1
113	37
193	0
0	114
65	10
0	211
66	0
1	92
62	0
62	20
2	359
18	0
22	0
32	0
21	124
0	214
127	0
101	0
200	3
153	3
1059	0
142	0
112	0
18	0
0	0
78	3
202	0
584	0
17	0
6327	144
182	0
156	0
527	0
0	82
565	0
35	0
361	0
414	0
434	0
5	224
2	0
19	2
110	0
15	3522
34	0
282	0
163	0
0	65
27	211
148	15
75	0
0	85
0	124
113	0
115	0
18	16
3	175
378	0
223	0
152	0
292	0
0	23
124	0
202	422
321	0
337	0
0	176
25	0
884	966
8	60
0	101
160	0
3	68
1	27
0	261
1	26
0	4806
27	0
9	274
125	0
479	6
102	109
35	0
277	0
7	0
22	0
263	0
17	0
128	1
4	0
3	175
525	0
75	0
0	178
0	5369
101	0
152	0
41	234
0	0
120	0
83	0
189	0
183	0
267	0
0	183
165	0
197	0
113	0
579	0
0	708
88	0
32	0
0	78
0	4198
29	209
190	0
529	0
53	0
34	37
1	78
7	0
0	141
453	0
38	0
29	0
59	30
8	91
24	180
75	49
44	0
139	444
147	0
0	4758
196	0
16	0
86	110
272	0
266	430
16	0
498	0
0	250
0	249
99	356
15	21
34	183
0	273
130	0
89	0
5	356
62	0
10	0
392	0
19	0
206	0
439	0
3	27
342	0
261	0
142	0
0	174
248	0
0	0
8	376
0	61
12	0
342	0
10	59
100	0
46	0
104	0
2	69
117	0
50	103
143	0
1	180
74	0
140	0
791	0
108	0
367	0
439	0
153	0
0	69
61	0
8	0
490	75
66	0
85	90
111	0
9	0
14	0
13	376
30	0
3	85
56	0
51	0
14	0
73	0
133	0
0	337
105	8
1	0
116	0
5	0
6	59
134	100
297	0
433	0
478	0
306	242
98	0
0	4
117	0
16	30
0	266
35	0
5	61
0	57
0	0
0	129
232	0
10	50
347	0
0	179
377	0
6	107
690	0
381	69
8	43
263	0
0	37
47	0
18	0
433	0
6	0
135	0
144	2
3	211
38	0
0	81
176	6
130	0
12	0
563	0
103	0
93	0
124	0
343	0
2	76
0	115
272	0
0	27
13	2
94	0
144	0
67	0
25	0
0	161
17	0
0	524
49	0
58	0
73	0
66	0
0	1
3	54
15	49
26	0
0	21
0	229
23	0
0	0
11	42
2	0
0	122
46	0
604	236
0	72
3	72
16	291
0	37
12	0
1735	0
44	22
50	55
511	0
120	0
0	199
0	198
3	0
260	0
0	0
190	0
0	40
43	0
61	0
31	68
27	205
194	0
0	112
51	0
91	0
60	0
75	0
274	28
0	0
80	0
250	0
282	0
0	0
183	0
207	0
18	0
272	0
145	0
115	0
7	0
42	179
177	0
39	0
359	0
47	2
112	0
79	0
6	0
249	0
225	0
82	0
22	0
0	0
143	0
296	3
132	0
529	0
91	8
178	0
140	0
52	0
15	0
384	7
0	224
93	0
48	0
91	0
74	39
30	0
0	30
0	76
35	0
25	0
4	288
0	288
76	0
70	0
0	154
131	184
237	0
43	0
377	0
139	0
92	14
0	58
0	60
258	0
530	0
37	199
235	29
117	0
35	0
35	0
38	0
0	60
145	9
100	0
45	38
38	0
227	0
14	678
38	0
32	0
76	14
105	6
13	132
0	204
137	0
0	143
138	0
41	0
0	7
0	39
296	0
0	60
36	0
28	0
211	0
0	187
70	0
9	25
81	0
100	563
131	0
28	0
0	258
226	0
0	971
85	0
0	210
275	33
159	0
156	0
476	0
486	0
18	800
0	195
252	110
182	0
368	0
362	193
23	2
81	0
29	0
8	0
9	33
55	0
19	2
125	0
332	0
78	0
54	0
98	0
302	0
260	0
227	0
267	6
58	0
0	0
72	0
58	1
22	0
113	1
145	67
0	528
0	380
25	0
38	0
237	0
0	130
71	0
173	0
50	91
503	2
57	0
499	7
102	20
37	178
34	0
111	36
64	0
50	0
0	190
0	253
353	0
0	0
92	683
384	0
0	24
22	0
119	12
111	0
287	0
213	0
516	0
176	0
260	0
0	377
78	0
29	99
319	0
53	0
7	6
342	0
