UniqueCount	AmbigCount
0	0
13	0
0	0
1	0
45	0
0	0
5	0
6	2
3	2
0	0
0	0
0	0
0	0
1	0
11	0
0	0
0	0
0	0
0	1
1	5
0	0
58	0
2	0
0	0
0	0
17	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
2	0
29	0
0	0
0	0
2	0
0	0
0	0
0	0
3	0
0	0
48	2
29	1
2	0
0	0
0	0
0	0
2	0
5	0
0	0
7	0
0	0
0	0
6	0
0	0
4	0
0	0
4	0
1	0
0	0
0	1
6	0
7	24
0	24
0	0
5	3
0	3
7	0
70	0
13	1
0	2
3	3
7	2
2	2
3	0
0	0
0	0
0	0
2	0
3	0
0	0
0	0
2	0
0	0
0	0
6	20
0	20
7	18
3	0
0	4
0	0
3	0
0	0
0	0
0	0
0	0
9	0
0	0
0	0
0	0
0	0
0	0
19	3
0	1
1	0
0	0
0	128
2	0
0	128
1	0
0	0
0	0
2	0
0	0
7	0
4	0
2	0
0	0
20	0
0	0
3	0
0	0
0	0
47	0
14	0
2	0
0	2
0	0
0	0
11	1
0	1
1	1
0	0
0	1
9	1
0	0
2	0
0	10
2	10
0	0
0	0
0	0
0	0
4	0
2	0
2	0
13	0
2	1
0	0
0	0
0	0
0	0
7	7
0	7
0	0
54	0
0	0
0	0
2	0
0	0
11	0
1	0
18	0
0	0
1	0
2	0
2	2
0	2
15	0
27	0
0	0
0	0
0	1
0	3
0	3
0	0
0	0
0	48
4	0
0	0
0	1
0	1
0	0
32	0
0	0
3	0
0	0
19	0
0	0
53	0
0	0
0	0
4	0
1	0
0	0
5	0
1	0
19	0
0	0
0	0
0	0
0	0
0	0
3	1
5	0
0	19
3	19
4	0
3	0
0	0
4	0
33	0
0	0
0	0
5	0
3	0
53	0
4	0
0	0
63	3
9	0
4	0
52	0
4	0
0	0
1	0
0	0
0	0
2	0
0	0
15	0
4	0
2	1
24	11
0	0
0	4
0	4
12	0
9	0
8	0
0	0
0	0
0	0
0	0
0	0
14	0
0	0
29	0
1	0
1	0
153	0
0	0
0	0
0	0
8	0
3	0
0	5
3	5
2	0
1	0
14	0
4	0
2	0
0	0
12	0
2	0
0	0
0	0
3	0
28	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
22	0
11	0
8	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
10	0
25	0
0	0
0	1
0	0
10	3
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	1
0	1
0	21
11	21
0	0
0	0
6	0
0	0
0	0
2	0
2	0
9	0
6	0
15	0
19	0
30	4
13	0
1	0
0	0
136	0
0	0
0	0
8	0
0	0
45	0
2	60
0	60
47	0
8	0
1	0
8	0
11	0
0	40
0	40
32	0
0	0
5	1
7	4
4	11
16	12
2	27
9	27
9	2
0	2
0	4
0	4
0	11
0	4
0	0
0	6
0	12
13	0
0	0
1	0
0	24
48	24
2	24
13	0
3	3
0	0
22	3
3	0
0	0
