UniqueCount	AmbigCount
7	0
174	1
0	0
3	0
695	0
0	0
12	0
141	30
17	30
0	0
0	0
20	0
1	3
1	3
368	0
5	0
7	0
0	0
3	0
9	6
0	0
512	0
22	2
3	1
5	0
400	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
1	0
0	0
0	0
3	0
79	0
0	0
0	0
0	0
0	0
485	0
0	0
0	0
3	0
66	4
0	0
0	0
214	6
0	1
482	3
367	1
8	0
7	0
0	0
0	0
31	0
56	0
2	0
94	0
1	0
1	0
69	0
0	0
6	0
0	0
25	5
0	0
0	0
5	8
26	7
15	190
11	190
0	0
0	19
4	19
19	1
779	0
128	0
3	23
4	6
33	19
56	13
49	0
13	2
1	0
0	0
1	0
13	0
3	0
0	0
180	2
0	0
8	0
4	11
15	11
32	37
0	0
0	1
0	0
1	0
0	0
0	0
0	0
0	0
23	0
1	0
2	0
0	0
0	0
0	0
390	28
0	0
3	0
3	0
8	1476
10	1
65	1477
0	0
0	0
0	0
3	0
2	0
93	0
2	0
41	9
1	9
5224	0
35	2
25	6
2	1
1	6
299	0
90	2
18	2
0	1
2	0
0	0
59	0
2	66
36	43
0	1
1	31
128	11
0	0
52	0
2	162
135	162
0	0
0	0
0	0
0	0
129	0
24	1
60	0
198	0
0	0
0	0
0	0
0	0
0	5
27	53
9	53
0	0
537	0
10	0
0	0
5	0
1	0
136	0
41	14
115	0
2	0
10	0
0	0
16	4
0	4
307	0
44	0
0	0
0	0
2	0
0	8
1	8
0	0
0	0
13	494
150	0
0	1
0	1
0	0
0	0
171	14
2	0
0	0
0	0
84	0
0	3
65	0
0	0
1	0
0	4
2	0
0	0
23	0
12	0
425	0
8	0
0	0
0	0
0	0
1	0
7	5
35	0
0	115
37	116
111	0
34	0
0	0
84	6
218	2
2	3
3	0
18	3
107	0
599	0
56	0
7	1
1303	34
25	0
91	0
47	0
15	0
20	0
9	3
47	0
4	0
8	0
89	0
191	0
94	1
30	2
410	73
89	4
0	38
4	38
339	0
362	0
10	0
0	0
0	0
41	0
33	5
13	0
162	17
0	0
395	0
5	5
28	5
2151	0
0	0
0	0
1	0
191	42
16	0
6	68
26	71
27	0
29	0
197	0
48	0
107	0
0	0
338	0
93	0
0	0
0	0
35	7
272	0
0	0
11	0
0	0
0	0
0	0
1	0
22	0
170	0
179	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
37	25
0	0
0	0
60	0
82	3
0	0
1	0
5	0
222	16
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
1	0
0	7
4	6
13	335
67	332
0	0
0	0
153	0
0	0
9	0
0	0
5	0
288	0
62	0
23	1
7	0
326	34
229	5
2	0
1	0
1877	0
1	0
0	0
34	0
83	0
944	0
7	552
1	552
818	0
128	0
21	7
82	0
39	0
9	489
2	489
148	6
11	2
75	31
156	30
42	333
368	346
73	477
135	482
210	13
4	13
4	59
0	59
0	17
0	10
0	0
0	12
0	18
15	0
0	1
39	0
9	481
103	526
7	526
95	0
12	0
3	0
425	0
2	0
4	0
522	0
0	0
0	0
5	0
6	0
4	0
14	3
38	0
21	14
5	11
103	0
45	9
31	8
7	6
210	0
9	0
540	0
75	0
