UniqueCount	AmbigCount
3	421
326	0
10	16
313	0
22	0
0	0
0	0
0	0
45	10
0	0
83	0
333	0
0	0
8	0
2	0
40	95
0	95
3	50
0	0
19	0
13	11
14	0
33	0
0	20
41	56
15	36
0	0
14	0
76	0
27	0
0	0
0	0
0	0
638	0
11	96
57	261
20	17
4	17
0	17
3	0
66	0
120	7
474	0
0	0
9	0
219	0
129	0
0	0
20	2
0	2
0	0
12	0
2	0
22	9
17	0
121	583
0	8
0	0
0	0
6	13
3	13
10	133
26	133
0	0
0	0
1	385
0	396
0	0
511	0
20	0
324	0
157	0
1	0
271	0
72	0
41	0
79	0
2	0
0	0
94	0
12	0
298	0
0	0
27	0
13	9
183	9
234	2
2	4
272	0
403	0
0	0
5	0
58	0
0	157
39	108
18	0
97	6
4	0
7	56
0	0
0	0
17	110
109	0
214	0
217	0
2	0
10	0
0	0
2	46
14	67
121	65
67	0
9	0
50	128
85	0
1479	0
21	0
82	0
161	0
4	113
44	0
2	6
80	0
1512	0
0	0
78	0
0	0
9	0
18	132
171	132
0	21
14	21
42	0
0	0
14	0
413	0
3	8
32	99
435	6
0	1
184	16
157	0
0	0
8	0
0	15
3	37
12	318
4	0
14	0
3	0
41	0
0	0
0	3
47	0
5	0
33	0
302	2
149	0
22	0
5	6
182	0
3	0
396	0
2	0
49	7
218	0
335	0
85	0
0	763
0	821
4	821
20	0
35	0
1062	0
121	891
85	891
22	0
8	0
0	23
2	23
0	0
92	0
73	0
1	282
12	313
19	258
8	0
671	0
316	43
0	43
2893	0
3	0
207	0
146	0
50	32
0	7
1	32
1	0
11	0
16	0
12	391
0	391
2	0
40	0
0	0
22	20
48	0
291	0
1	10
0	10
0	0
18	0
310	0
3	7
0	4
69	0
41	0
14	1
82	1
468	296
44	6
1	99
3	50
4	208
318	0
23	0
43	0
2	0
24	316
22	316
39	376
0	4
0	0
57	0
32	0
0	0
2	0
90	570
56	570
24	1
600	0
8	0
0	0
632	14
0	14
142	633
3	264
11	28
246	1343
2	0
37	0
9	0
10	167
4	167
35	16
163	0
0	0
0	0
0	0
217	0
23	229
104	0
422	0
12	0
1181	5
114	0
0	15
14	15
1321	4
5	0
27	1
5	1
1	77
4	0
147	0
1	0
365	249
0	249
0	0
330	0
223	0
398	0
9	0
42	108
6	108
7	0
0	0
70	0
237	0
312	0
0	0
0	0
321	0
58	0
7	0
2	0
0	12
123	12
91	0
0	0
153	57
55	55
47	0
1803	0
424	8
17	0
15	0
4	0
31	0
0	0
32	5
5	0
27	0
2	0
57	0
96	0
25	0
2080	0
0	0
59	0
1	0
7	0
21	0
0	0
555	0
44	431
0	0
30	0
10	262
8	262
0	206
32	117
2	192
21	195
0	161
6	546
4	31
3	31
4	5
23	0
0	0
0	0
33	0
5	0
22	0
864	0
1126	0
523	0
174	4
121	0
1628	7
3	0
0	94
0	94
9	0
359	0
189	0
93	0
2	0
642	6
27	0
12	0
16	15
33	0
252	0
19	0
0	0
0	18
42	18
2	5830
20	5830
153	0
0	0
119	0
2	22
0	13
1	66
28	53
124	0
304	0
0	0
39	0
329	0
1	135
6	135
921	0
0	5
8	0
0	0
5	0
25	31
0	31
18	0
494	0
357	1038
187	1047
37	0
241	0
2	19
4	19
119	0
8	0
0	12
29	107
0	0
568	0
1	0
7	0
0	0
0	0
5	0
37	0
136	0
13	0
39	0
208	0
270	0
10	0
301	4
1203	12
70	0
202	880
199	9
19	18
23	0
2	0
3	0
194	639
71	639
4	0
2	1051
703	1051
61	27
73	0
184	355
90	0
48	18
0	0
1	18
14	0
253	0
1	267
3	0
89	4
0	0
0	0
2	0
1281	0
7	19
1233	19
196	0
8	0
29	0
5	0
44	0
40	0
3	0
48	0
122	0
455	4
940	4
282	0
202	0
610	0
9	0
318	0
374	0
27	0
663	0
7	0
0	0
0	292
89	317
0	0
26	0
15	0
28	0
4	236
48	74
6	250
0	0
0	338
166	0
6	0
17	0
9	0
81	0
0	0
4	0
156	0
192	0
652	0
53	0
7	1
8	6
192	6
3	42
12	7
56	364
0	333
19	0
29	0
0	1
328	0
67	0
22	0
134	770
45	772
5	772
636	14
0	14
122	0
14	0
9	392
86	0
6	0
201	0
0	0
0	0
