UniqueCount	AmbigCount
7	355
455	0
1	8
132	0
2	0
0	0
0	0
0	0
17	15
0	0
33	0
82	0
0	0
0	0
0	0
20	47
0	47
1	22
2	0
0	0
0	0
15	0
21	0
0	16
36	29
0	13
0	0
16	0
58	0
28	0
14	0
18	0
0	0
589	0
17	61
23	107
6	37
14	30
0	30
13	0
85	0
28	0
449	0
0	0
25	0
115	0
238	0
7	0
0	0
2	0
0	0
14	0
1	0
4	0
62	0
113	453
0	5
0	0
13	0
8	18
0	18
0	169
24	169
0	0
0	0
0	223
0	223
0	0
560	0
11	0
263	0
100	0
5	0
257	0
60	0
46	0
84	0
2	0
0	0
76	0
2	0
504	0
0	0
25	0
6	10
238	10
95	0
15	0
634	0
205	0
0	0
12	0
8	0
0	78
20	123
8	7
57	0
0	0
13	20
0	0
0	0
34	67
63	0
107	0
59	5
0	0
2	5
0	0
0	8
1	8
29	8
24	0
0	0
49	66
65	0
928	0
18	0
72	0
17	0
0	28
25	0
0	8
62	0
839	0
8	0
65	0
0	0
2	0
0	87
91	87
11	21
3	21
35	0
8	0
5	0
592	0
8	2
29	57
287	5
0	0
19	3
48	0
5	6
2	0
0	11
4	31
0	135
18	0
5	4
0	4
11	0
0	0
4	0
153	0
14	0
10	0
349	17
78	0
34	0
0	0
73	0
17	0
263	0
9	0
24	0
182	0
455	0
73	0
4	1033
9	1075
79	1075
1	0
62	0
923	0
29	148
25	148
33	0
1	0
0	59
14	59
13	0
21	0
70	0
24	915
6	133
9	116
0	0
906	0
163	11
0	11
2328	0
10	0
179	0
178	7
5	9
0	2
0	9
0	0
0	0
51	0
2	345
7	345
0	0
17	0
6	0
24	8
34	0
227	0
0	3
0	3
0	0
4	3
199	0
2	2
0	0
60	0
53	0
0	0
107	0
244	122
57	7
0	28
8	35
0	198
41	0
32	0
37	0
1	0
11	56
8	56
20	177
0	0
0	13
106	0
11	0
0	0
2	0
67	451
52	451
30	0
427	0
12	0
0	0
1000	29
0	29
168	703
3	88
8	17
287	1243
0	0
45	0
10	0
5	62
3	62
27	5
161	0
0	0
3	0
1	0
62	0
22	346
13	0
458	0
11	0
299	12
114	0
0	5
16	5
1391	12
0	2
11	0
4	2
0	72
0	0
139	0
0	0
234	381
2	381
3	0
216	0
196	0
174	0
6	0
61	45
8	45
0	0
0	0
46	0
385	0
121	0
3	0
0	0
551	0
93	0
0	0
2	0
5	3
99	3
203	0
5	0
50	21
16	21
55	0
799	0
274	1
4	0
11	0
0	0
20	0
0	0
0	2
0	0
3	0
0	0
125	0
20	0
7	0
2629	1
0	0
22	0
0	0
0	0
1	0
0	3
657	4
94	208
0	0
53	0
3	45
0	45
3	19
61	122
0	166
12	177
0	154
7	1653
24	70
8	70
4	2
18	0
4	0
0	0
60	0
10	0
14	0
1335	0
1506	0
229	0
59	13
81	0
788	0
0	0
0	87
0	87
9	0
230	0
125	0
104	0
0	0
211	0
26	0
2	0
9	0
7	0
197	0
16	0
1	0
0	38
43	38
0	7033
3	7033
723	8
0	2
164	0
3	74
0	3
0	40
23	49
174	0
297	0
0	0
36	0
198	0
0	16
1	16
865	0
0	0
8	0
0	0
12	0
38	29
0	29
0	0
159	1
205	366
110	366
18	0
98	0
1	8
0	8
115	0
9	0
0	15
9	39
0	0
858	11
0	0
19	0
0	0
1	0
0	0
35	0
81	0
11	0
71	0
155	0
193	0
6	0
169	16
1882	10
24	0
213	653
189	16
16	20
4	0
0	0
15	0
35	207
88	207
8	0
3	307
306	307
7	0
50	0
171	143
13	0
53	31
0	14
0	17
59	0
182	0
5	152
0	0
75	22
0	0
16	0
2	0
1194	0
2	35
1376	35
170	0
12	0
20	0
3	0
28	0
16	0
0	0
49	0
99	0
99	4
168	4
153	0
61	0
905	1
1	0
853	0
142	0
16	0
709	0
28	0
1	7
0	65
64	74
3	0
13	0
0	0
28	0
0	38
3	25
7	52
1	2
0	83
127	0
9	0
87	0
4	0
88	0
0	0
0	0
250	0
176	0
637	0
25	0
4	0
0	11
239	11
6	29
3	9
99	200
0	173
1	0
20	0
1	12
296	0
17	0
13	0
306	885
49	839
5	839
530	10
1	10
31	0
3	0
22	246
19	0
1	0
331	0
0	0
3	0
103	0
2	0
12	0
31	0
0	0
0	0
0	0
0	0
60	0
6	0
66	115
0	115
0	0
3	0
4	5
88	5
30	84
10	55
29	0
14	0
0	0
3	0
53	0
6	0
30	0
27	0
2	0
1	6
3	4
4	25
112	0
216	0
0	0
2	0
0	0
89	0
0	3
155	0
14	0
67	0
0	0
134	2
8	3
259311	57
0	18
10	0
0	0
25	93
0	93
0	15
247	0
0	0
9	0
142	0
2	0
0	0
0	0
0	0
22	0
0	0
701	0
27	0
0	0
0	0
0	0
2	0
2	3
3	0
6	0
0	0
3	0
1144	198
0	30
