UniqueCount	AmbigCount
1	0
4	0
0	0
6	0
2	0
13	0
0	0
0	0
0	0
4	0
1	0
2	0
0	0
6	0
0	0
8	0
4	0
0	0
7	0
6	0
9	0
7	0
3	0
1	0
1	0
0	0
0	0
4	0
8	0
4	0
2	0
0	0
0	0
16	0
8	0
0	0
2	0
2	0
1	0
1	0
5	0
0	0
22	0
0	0
6	0
2	0
2	0
7	0
11	0
3	0
0	0
33	0
2	0
4	0
11	0
0	0
0	0
4	0
0	0
0	0
0	0
1	0
0	0
7	0
0	0
4	0
5	0
0	0
0	0
0	0
1	0
1	0
2	0
2	0
11	0
0	0
0	0
1	0
0	0
11	0
3	0
1	0
2	0
1	0
0	0
0	0
60	0
2	0
15	0
0	0
1	0
4	0
15	0
2	0
3	0
4	0
5	0
8	0
4	0
2	0
16	0
3	0
18	0
3	0
3	0
15	0
2	0
1	0
3	0
3	0
10	0
1	0
2	0
12	0
0	0
1	0
17	0
0	0
12	0
8	0
0	0
5	0
4	0
0	0
1	0
26	0
12	0
12	0
0	0
4	0
7	0
13	0
4	0
4	0
4	0
4	0
1	0
0	0
0	0
0	0
5	0
13	3
5	0
6	0
3	0
0	0
15	0
18	0
3	0
11	0
8	0
0	0
0	0
0	0
14	0
0	0
5	0
18	0
22	1
0	0
11	0
8	0
1	0
4	0
9	0
0	0
3	0
0	0
4	0
9	0
2	0
6	0
0	0
0	0
6	0
0	0
0	0
3	0
10	0
6	0
17	0
10	0
1	0
0	0
0	0
0	0
7	0
19	0
6	0
11	0
0	0
0	0
1	0
2	0
0	0
6	0
16	0
2	0
0	0
8	0
16	0
0	0
1	0
0	0
5	0
0	0
7	0
0	0
8	0
8	0
4	0
2	0
2	0
0	0
1	0
0	0
0	0
11	0
4	0
4	0
10	0
3	0
3	0
8	0
19	0
0	0
4	0
0	0
4	0
5	0
1	0
12	0
5	0
11	0
0	0
9	6
2	0
2	0
0	0
0	0
1	0
2	0
0	0
2	0
9	0
0	0
2	0
2	0
31	0
7	0
3	0
8	0
0	0
5	0
1	0
15	0
4	0
0	0
12	0
3	0
0	0
2	0
7	0
1	0
1	0
0	0
10	0
12	0
13	0
0	0
0	0
15	0
0	0
8	0
0	0
4	0
2	0
1	0
1	0
1	0
2	0
13	0
1	0
0	0
0	0
6	0
0	0
5	0
3	0
0	0
2	0
5	0
10	0
21	0
1	0
2	0
2	0
6	0
25	0
3	0
1	0
0	0
4	0
0	0
1	0
5	0
1	0
0	0
3	0
0	0
10	0
2	0
2	0
15	0
3	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
0	0
21	0
4	0
4	0
0	0
5	0
1	0
1	0
8	0
2	0
0	0
9	0
9	0
1	0
0	0
11	0
4	0
12	0
2	0
8	0
4	0
3	0
0	0
10	0
12	0
1	0
0	0
0	0
0	0
1	0
14	0
0	0
0	0
0	0
14	0
0	0
0	0
0	0
9	0
4	0
6	0
5	0
5	0
5	0
1	0
13	0
10	0
4	0
14	0
3	0
1	0
17	0
0	0
1	0
24	0
3	0
5	0
0	0
7	0
9	0
0	0
2	0
10	0
6	0
0	0
2	0
5	1
6	0
0	0
7	0
3	0
2	0
17	0
0	0
0	0
13	0
2	0
5	0
15	0
4	0
8	0
6	0
13	0
1	0
5	0
6	0
11	0
8	0
1	0
0	0
2	0
0	0
12	0
6	0
0	1
10	0
8	0
1	0
0	0
1	0
7	0
13	0
2	0
1	0
0	0
12	0
8	0
6	0
23	0
20	0
1	0
0	0
13	0
0	0
14	0
3	7
0	0
14	0
2	0
0	0
0	0
1	0
0	0
2	0
0	0
3	0
9	0
0	0
3	0
0	0
5	0
7	0
4	0
5	0
13	0
6	0
1	0
4	0
1	0
3	0
6	0
5	0
5	0
4	0
5	0
5	0
15	0
0	0
6	0
23	0
5	0
0	0
14	0
5	0
7	0
12	0
11	0
0	0
2	0
5	0
8	0
2	0
6	0
0	0
26	0
5	0
0	0
2	0
10	0
