UniqueCount	AmbigCount
20	0
47	0
0	0
71	0
34	0
36	0
40	0
39	0
26	0
52	0
2	0
3	0
0	0
11	0
0	0
66	0
44	0
0	0
72	0
82	0
63	0
57	0
54	0
32	0
56	0
16	0
4	0
12	0
37	0
0	0
1	0
46	0
29	0
36	0
33	0
16	0
26	0
49	0
65	0
4	0
7	0
4	0
110	0
20	0
23	0
63	0
35	1
71	0
50	0
6	0
63	0
228	0
42	0
24	0
110	0
88	0
20	0
6	0
0	0
0	0
0	0
69	0
11	0
79	0
31	0
72	0
16	0
65	4
6	0
0	0
32	0
134	0
97	0
0	0
54	4
0	0
2	0
29	0
25	0
54	0
4	0
60	0
12	0
36	0
0	0
24	0
1	0
1	0
69	0
4	0
40	0
0	0
27	0
30	0
43	0
91	0
34	0
38	0
26	0
30	0
19	0
8	0
113	0
0	0
91	0
4	0
39	0
37	0
37	0
14	0
4	0
31	0
5	0
99	0
24	1
4	0
59	0
0	0
81	0
72	0
18	0
61	0
52	0
0	0
58	0
160	0
82	0
128	0
58	0
34	0
50	0
68	0
10	5
45	0
46	0
86	0
25	0
25	0
6	0
3	0
47	0
180	17
1	0
17	0
14	0
21	0
58	0
5	0
0	0
90	0
77	0
36	0
0	0
5	0
68	0
0	0
0	0
97	0
54	10
56	0
60	0
68	0
41	0
1	0
40	0
0	0
74	0
33	0
33	0
186	0
12	0
48	0
0	0
5	0
46	0
0	0
68	0
4	0
38	0
14	0
11	0
142	0
44	0
23	0
38	2
43	0
4	0
62	0
52	0
40	0
45	0
20	0
34	0
29	0
19	0
36	0
1	0
45	0
25	0
14	0
1	0
16	0
1	0
43	0
29	0
33	0
20	0
25	0
120	0
77	0
30	0
34	0
15	0
0	0
77	0
20	0
0	0
16	0
23	0
3	0
1	0
49	0
4	0
31	0
109	2
14	0
66	0
2	0
78	0
15	0
20	0
59	0
61	0
50	0
21	0
152	8
0	0
25	0
62	0
71	0
28	0
18	0
4	0
20	0
53	0
0	0
98	0
0	0
178	0
98	0
31	0
73	0
1	0
62	0
21	0
54	0
24	0
63	0
8	0
11	0
0	0
63	0
75	0
2	0
16	0
41	0
67	0
5	0
25	0
0	0
0	0
139	0
0	0
44	0
0	0
3	0
2	0
1	0
37	0
0	0
0	0
57	0
85	0
29	0
17	0
24	0
0	0
19	0
11	0
55	0
30	0
34	0
73	0
57	0
28	0
24	0
115	0
1	0
3	0
27	0
64	5
0	0
30	0
33	0
38	0
31	0
35	0
0	0
12	0
28	0
62	0
1	0
9	0
22	0
17	0
45	0
10	0
24	0
88	0
64	0
0	0
0	0
40	0
23	0
1	0
27	0
9	0
40	0
28	0
0	0
67	0
79	0
14	0
45	0
79	1
29	0
88	0
8	0
0	0
0	0
0	0
46	0
44	1
57	0
2	0
13	0
54	0
0	0
16	0
23	0
13	0
2	0
78	0
0	0
0	0
44	0
54	0
0	0
3	0
0	0
31	0
1	0
20	0
13	0
30	0
15	0
21	0
86	0
90	1
89	0
133	0
106	0
40	0
36	0
0	0
3	0
197	0
54	0
45	0
5	0
20	0
25	0
4	0
64	0
36	0
102	10
36	0
5	0
12	0
44	0
42	0
84	0
37	2
17	0
98	0
4	0
6	0
70	0
58	0
0	0
1	0
0	0
42	0
42	0
27	0
30	0
33	0
50	0
80	0
3	0
13	0
52	0
78	0
5	0
37	0
30	0
15	1
44	0
32	0
13	0
2	0
98	0
45	0
177	0
25	0
6	0
37	0
67	0
14	0
26	0
67	0
61	0
16	0
0	0
55	0
38	8
37	0
45	1
0	0
230	0
62	0
61	0
0	0
97	0
34	0
20	0
20	0
12	0
57	0
3	0
38	0
0	0
23	0
40	0
3	0
57	0
115	0
42	0
19	0
35	0
31	0
103	0
7	0
44	0
49	0
66	0
51	0
6	0
55	0
0	0
31	0
9	0
29	0
0	0
74	0
44	0
62	0
31	0
49	0
4	0
23	0
53	0
27	0
22	0
38	0
47	2
106	0
30	0
34	0
9	0
88	0
38	0
43	0
2	0
55	0
40	0
58	0
44	0
0	0
35	0
50	0
1	0
0	0
31	0
0	0
43	0
8	0
24	1
90	0
6	0
13	0
0	0
24	0
28	0
81	0
34	0
42	0
50	0
18	0
2	0
94	0
56	0
57	0
30	0
21	0
20	0
20	0
0	0
39	0
0	0
50	0
113	0
19	0
4	0
47	0
36	0
116	0
33	0
40	0
0	0
57	0
99	0
1	0
26	0
1	0
0	0
56	0
0	0
65	0
15	0
49	0
8	0
35	0
26	0
53	0
23	0
17	0
0	0
22	0
47	0
69	0
76	0
14	0
58	0
10	0
124	0
0	0
86	0
25	0
8	0
