UniqueCount	AmbigCount
0	39
4	192
664	11
9	0
71971	5
50	13
0	0
18	83
104	0
71	0
308	0
0	150
26	150
7	35
26	93
0	0
0	0
11	17
0	0
0	0
10	0
3	5
465	0
141	0
133	0
46	0
11	0
0	0
404	0
315	0
119	0
0	67
197	67
0	0
0	0
0	0
337	0
13	0
0	0
9	0
371	0
54	0
211	0
0	0
400	91
0	0
69	0
42	261
53	261
0	0
0	0
0	0
50	0
28	0
3	0
53	175
1136	0
343	0
279	0
319	0
0	0
0	42
0	0
577	0
43	0
37	0
527	633
57	0
0	0
0	0
0	0
0	0
8	0
2451	0
96	0
232	0
929	66
109	0
25	0
296	0
176	0
1027	0
906	0
0	105
84	40
37	0
505	1
0	0
0	0
0	0
0	0
33	0
1	0
247	0
7	0
15	4
0	0
310	0
24	28
41	0
7	0
0	0
54	0
0	1077
496	0
602	0
0	0
2	0
37	0
129	0
0	0
0	0
0	0
288	0
0	0
37	0
7737	0
6	6
4	6
148	0
0	0
33	0
193	0
42	0
2198	0
31	0
66	0
115	46
11176	0
146	0
154	0
14	0
148	0
71	0
40	0
0	0
139	0
17	39
0	0
27	0
444	0
14	0
0	0
89	0
86	0
54	0
11	0
13	0
98	0
448	0
217	0
158	43
703	0
0	0
48	0
0	0
0	0
25	0
5187	0
107	0
6	0
293	0
43	12
37	0
0	0
112	0
0	34
197	0
219	133
0	0
7	0
8	0
1519	0
374	0
44	0
67	0
173	0
62	0
92	0
12836	0
27	0
0	0
7	0
37	491
27	887
537	887
779	0
316	62
94	335
122	0
0	0
0	0
0	0
71	0
137	0
0	0
105	0
10	0
1206	0
0	0
70	23
6	0
86	0
760	20
6	0
0	0
0	0
87	0
281	1
0	1
41	71
12	0
3	0
60	0
0	0
12	0
7	79
362	0
41	45
212	0
133	3
15	0
271	0
0	0
25	0
129	0
76	0
11	0
0	0
0	0
0	0
180	0
0	9
0	9
90	176
76	0
10	3
0	0
0	0
14	0
2108	0
0	0
0	0
66	0
18	0
59	0
358	0
0	0
791	0
0	0
0	0
13	105
0	0
0	0
36	0
45	0
5	4
85	0
621	0
2606	0
51400	0
852	0
8	10
1	10
0	0
0	0
0	0
0	0
107	0
0	0
11296	0
529	0
160	0
619	0
183	0
0	0
74	0
0	0
245	0
167	0
147	0
0	0
748	0
0	0
0	0
21	127
12	0
0	0
107	9
39	0
1387	0
44	0
1011	0
504	7
141	0
6	0
0	0
118	0
16	0
9	0
0	0
144	0
4	0
68	0
0	0
17	1
0	0
13	0
161	0
103	126
247	0
0	0
79	0
67	0
1401	320
10	16
797	0
0	0
0	0
0	0
15	0
125	43
60	0
90	0
0	0
114	0
1	0
26	14
777	0
29	4
9	0
0	0
0	0
0	0
10	0
0	0
0	0
