UniqueCount	AmbigCount
0	0
142	5
0	0
9	0
538	2
0	0
7	0
83	16
23	16
0	0
0	0
28	1
0	1
2	1
253	1
6	0
9	0
1	0
0	0
6	2
3	0
165	0
17	0
0	0
1	0
161	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
44	0
0	0
0	0
0	0
0	0
347	0
1	0
0	0
4	0
31	1
0	0
0	0
64	1
0	3
67	0
84	0
0	0
0	0
0	0
0	0
33	1
49	1
32	0
70	0
0	0
12	0
92	0
3	0
15	0
0	0
30	6
0	0
0	0
6	6
19	4
0	77
7	77
3	0
4	20
5	20
9	0
462	0
302	0
4	48
27	10
58	21
14	10
26	0
15	0
19	0
2	0
3	0
10	0
6	0
0	0
85	0
0	0
25	4
9	36
7	36
12	43
0	0
0	2
0	0
0	0
0	1
4	0
0	0
2	0
37	0
3	0
2	0
0	0
0	0
0	0
359	39
1	1
1	0
3	0
14	948
9	13
22	961
8	0
0	0
0	0
6	1
5	0
57	0
40	0
9	5
0	5
1923	0
70	7
96	43
10	0
1	40
162	0
127	5
18	5
17	17
0	0
0	0
123	1
4	24
6	19
0	5
3	13
79	19
5	0
51	0
1	91
52	91
5	0
0	0
0	0
0	0
123	0
16	3
114	0
273	0
0	1
1	2
0	2
0	0
2	30
28	35
6	35
1	2
999	1
3	0
2	1
0	0
1	0
59	0
29	11
85	0
3	0
16	0
7	0
14	35
14	35
708	0
156	0
3	0
0	0
7	0
9	10
4	10
1	0
17	0
16	236
181	0
3	0
0	1
0	2
0	0
87	9
3	0
2	0
2	0
200	0
0	3
41	0
1	0
175	0
4	9
6	0
0	0
53	0
11	0
400	0
0	0
0	0
0	0
0	0
10	26
10	1
49	0
0	141
31	142
73	0
7	0
0	0
85	5
141	0
0	0
3	0
5	0
22	0
175	0
40	0
5	0
673	121
42	0
14	0
44	0
29	0
29	0
4	0
0	0
0	0
7	0
43	0
79	0
37	3
68	0
102	20
34	2
0	20
5	20
170	0
370	0
19	0
2	0
2	0
19	0
6	8
6	0
114	2
0	0
295	0
7	0
34	0
1160	0
2	0
0	0
0	0
422	12
2	0
1	54
6	54
12	0
34	0
209	0
50	0
98	0
0	0
268	0
102	0
0	0
3	0
18	9
199	0
3	0
5	0
1	3
2	0
0	0
1	0
29	0
185	0
110	0
24	0
2	0
0	0
4	0
0	0
2	0
5	0
71	20
0	0
0	3
100	3
75	3
2	0
0	1
5	0
281	14
0	0
0	0
0	0
6	0
1	0
22	0
0	0
0	0
0	0
2	0
1	0
0	9
0	9
5	330
21	330
0	0
0	0
35	0
2	0
3	0
0	0
6	1
340	0
153	0
2	0
7	0
370	60
129	1
20	0
4	0
1118	0
0	0
0	0
134	0
69	0
1039	0
1	249
10	249
491	0
191	0
11	9
95	0
63	0
12	706
4	706
203	3
21	0
88	34
68	78
94	260
327	282
36	305
224	316
125	6
1	6
2	96
1	96
0	12
0	11
0	1
0	12
0	13
16	2
0	0
27	0
13	144
129	188
11	188
185	0
1	0
0	0
139	0
8	0
27	0
315	0
0	0
4	0
5	0
6	0
2	0
3	0
61	0
8	10
0	7
91	0
58	4
59	3
34	5
69	0
1	0
726	0
132	0
5	0
1709	0
11	1
145	0
3	0
0	0
96	0
1	80
73	80
0	0
14	0
71	0
8	114
2	114
4	3
195	4
18	0
7	0
4	253
1	253
3	0
0	0
4	1
0	0
0	0
0	0
13	132
38	55
132	138
76	3
0	0
0	0
15	0
110	0
11	0
3	0
94	13
128	0
318	118
0	0
0	1
4	1
0	1
0	0
113	0
259	0
0	0
118	1
11	0
0	0
185	0
0	25
0	41
2	46
0	0
2	9
1	0
0	1
7	4
96	0
44	0
8	0
8	4
62	1
4	0
0	0
111	86
7	1
0	0
0	0
0	0
0	0
0	0
12	64
7	20
6	7
12	0
38	4
18	65
3	10
44	48
153	13
1036	2
1	0
50	0
208	30
16	0
508	1
0	0
0	0
0	0
0	0
72	3
876	0
0	1
28	0
22	0
151	1
3	108
7	104
0	4
47	0
3	0
1	0
0	0
38	167
10	167
2	0
83	0
506	0
0	0
0	9
1	0
263	0
22	1
0	1
0	31
22	31
16	0
7	2
0	0
0	26
0	26
21	5
9	106
0	0
0	0
9	23
0	0
1	0
20	0
45	0
102	0
9	2
13	0
3	27
0	27
1045	0
34	0
2	68
11	68
59	134
209	134
8	0
0	0
10	0
31	0
2	0
9	1
956	0
153	0
0	0
8	0
0	0
46	3
30	1
10	0
53	0
31	0
17	0
16	0
42	0
15	0
282	41
165	5
0	0
1	0
25	8
9	0
118	20
121	20
35	0
11	2
179	1
61	21
5	6
3	2
0	0
0	0
0	1
89	1
2	1
0	0
14	0
53	0
46	0
8	0
281	0
23	0
43	0
0	73
3	62
0	216
30	0
1	217
0	0
135	0
0	0
151	2
41	0
478	0
1	8
5	4
2	0
8	0
125	0
4	1
39	3
6	0
0	10
4	10
182	39
47	1
204	0
0	0
0	0
1	0
0	0
1	0
540	0
60	0
97	0
100	0
46	1
0	0
0	103
30	103
4	11
29	0
2	40
0	11
29	0
48	0
0	0
241	0
0	0
7	0
11	19
51	0
63	99
0	2
2	19
4	19
8	0
0	38
0	38
0	0
0	1
0	1
4	6
5	7
6	0
23	322
26	322
2	0
0	0
33	0
0	0
35	0
24	0
70	0
49	1
3	0
3	0
69	0
21	0
29	0
0	0
22	3
3	3
18	638
17	465
17	638
5	0
7	0
0	0
1	4
25	0
4	0
0	0
1	0
0	0
0	0
0	988
0	988
3	1
321	13
135	0
849	0
236	0
0	0
0	0
0	0
0	0
2	43
4	43
2	0
62	0
152	1
19	1
11	0
4	0
8	0
1	0
10	0
0	0
5	0
0	0
2	0
0	0
1	377
9	377
11	0
7	0
1	16
5	16
54	0
4	0
3	1
18	1
209	13
79	0
0	0
0	0
4	0
722	1
47	0
13	12
22	27
8	15
0	0
1	9
0	51
3	44
2	0
5	0
34	0
41	0
0	0
2	0
0	0
390	0
211	0
39	0
75	0
0	0
4	0
685	0
14	0
73	0
0	0
6	0
35	0
76	0
0	0
2	0
39	3
0	0
16	10
10	1
5	3
3	0
6	0
2164	0
0	0
0	0
0	9
300	3
113	39
2	0
5	0
34	0
267	0
1479	564
0	3
28	0
84	0
4	0
6	5
203	0
120	2
0	0
32	0
15	3
25	0
5	0
9	0
10916	0
110	0
0	0
75	0
3	0
2	0
230	0
6	0
1	0
922	0
579	0
2	0
12	0
3	0
6	4
31	4
355	1
211	3
13	0
1	0
88	0
48	0
7	0
48	0
12	0
289	0
270	180
46	180
0	0
9	9
498	0
45	3
13	0
0	0
124	0
0	0
4	28
2205	1
555	0
103	0
205	0
61	0
214	0
9	1
3	0
0	5
0	12
0	11
0	8
5	0
0	0
0	0
0	0
0	0
0	0
159	0
9	0
2	1
4	0
1	0
16	0
35	0
0	0
0	0
0	0
0	0
0	0
15	15
0	0
0	0
0	0
1	0
0	0
212	0
0	0
0	0
8	26
5	0
0	0
5	0
189	0
232	24
135	0
0	0
2	22
75	22
10	0
2	0
5	5
1	5
105	0
25	0
22	0
0	0
7	0
0	0
90	11
0	0
0	0
0	0
0	0
455	0
67	0
89	0
0	0
0	0
0	0
2	0
0	0
2	0
0	0
1	0
9	0
67	0
0	0
14	0
2	0
0	0
84	0
0	0
8	2
0	0
6	0
41	0
0	0
37	29
13	29
9	0
7	0
89	0
0	0
129	9
84	0
5	0
84	0
0	0
117	0
1	0
8	0
1	0
4	0
5	0
4	0
407	0
3	0
704	0
2	146
154	146
0	0
2	0
0	0
0	0
29	0
44	0
110	0
95	0
0	0
4	118
134	120
2	0
30	0
30	24
2	22
3	0
6	0
1	0
106	0
4	0
48	0
151	0
1	0
1	0
18	0
655	0
0	4
1354	0
64	1
75	1
0	0
30	0
48	0
36	0
191	0
301	0
1	0
16	1
15	2
51	6
2	0
17	1
34	1
1	0
24	0
15	2
61	1
16	0
18	0
0	2
11	0
17	0
161	0
422	62
18	0
0	0
0	1
2	1
3	21
0	22
0	22
6	5
97	28
0	0
0	0
45	1
714	69
1839	69
0	1
2	0
9	6
682	10
27	0
186	0
2	0
30	0
0	0
0	0
0	0
0	0
8	0
1	0
0	1
201	111
112	0
13	0
134	0
0	0
0	0
4	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
78	7
5	0
694	0
96	21
0	0
2468	0
553	0
6	1
27	0
503	0
2	0
64	184
0	0
1	0
0	0
14	52
38	8
23	1
5	5
0	0
0	0
0	0
6	0
148	34
9	0
9	0
0	0
4	0
4	0
348	0
12	41
341	80
69	26
1	5
0	5
41	3
92	0
19	0
1	0
0	0
6	22
38	8
0	2
1	0
147	282
4	0
0	0
116	7
2	0
5	7
15	0
1	0
4	0
9	0
0	0
2	1
0	6
0	6
28	42
7	0
2	0
55	0
196	0
53	0
1	0
2	1
0	0
39	10
0	0
0	0
3	0
28	2
0	2
279	0
20	0
19	0
5	7
33	0
12	0
0	0
2	0
0	0
9	2
0	2
0	0
201	0
54	3
125	19
88	203
40	0
0	0
389	3
0	0
45	0
75	0
37	0
0	1
0	0
6	0
0	0
0	0
0	0
1	0
0	0
6	0
4	4
100	29
0	0
0	0
5	0
33	0
1	0
1	0
680	0
66	0
1	1
0	1
2	0
20	4
11	0
0	0
0	0
1	0
0	0
1	0
3	2
0	0
1	0
0	38
1	38
1350	0
0	0
0	0
12	0
4	4
3	0
11	0
57	0
0	0
5	0
0	0
24	0
87	0
5	0
546	0
64	0
6	0
1	0
0	0
3	0
60	3
8	2
0	0
0	0
0	0
28	52
0	0
473	0
0	0
10	4
0	0
3	0
1	0
2	0
2	9
1	9
0	0
0	1
3	1
0	0
80	0
191	0
222	0
24	2
6	2
57	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
29	0
0	6
18	6
3	0
0	0
0	0
4	0
38	0
1	0
119	0
2559	0
228	0
28	0
110	47
647	1
1	0
78	0
211	0
70	0
117	41
69	195
12	145
11	18
0	0
115	0
4	604
3	604
17	45
433	135
0	0
0	244
119	244
327	0
260	0
5	2
23	25
3	25
316	53
138	7
21	0
0	5
15	0
12	26
0	0
3	0
0	0
0	0
4	0
1	0
57	8
1	0
0	0
0	15
7	15
124	0
64	0
89	5
162	144
0	0
9	19
37	2
0	0
0	0
7	0
1510	14
0	0
0	0
4	6
1	6
0	0
42	0
9	0
3	0
10	0
856	0
73	215
26	215
33	21
177	5
18	490
0	0
0	0
1	0
0	0
0	0
1	1
19	15
5	0
55	0
3	0
203	1
0	0
0	0
58	0
55	0
64	0
2	0
0	61
0	0
2	61
55	0
1653	1
6	0
0	0
0	0
2	0
0	0
4	0
44	0
7	0
6	0
2	0
10	0
1	0
0	0
0	0
0	0
0	0
2	1
0	0
0	0
0	0
0	0
1	0
59	0
12	0
0	1
1	1
5	0
96	77
0	77
1084	0
0	0
0	0
0	0
0	0
0	0
2	0
11	0
3	0
1	0
1	0
1	0
1	0
1	0
18	124
3	124
12	1
211	0
8	0
374	0
180	0
28	0
196	0
71	0
8	0
46	6
0	0
33	23
25	0
10	0
9	0
136	2
47	34
74	0
49	0
13	0
0	0
0	0
2	20
5	81
259	81
63	0
2	0
0	0
230	0
4	0
0	0
0	0
65	0
0	0
0	0
0	0
1	0
0	0
2	0
0	0
0	0
13	0
20	0
100	0
125	0
45	0
5	0
109	0
0	0
0	0
2	1
177	2
0	0
106	6
7	0
30	0
4	0
34	11
0	63
19	63
34	1
1	2
2	0
52	17
1	20
19	0
38	13
0	0
24	30
0	0
563	2
0	0
286	1
14	0
2	0
0	0
267	7
25	0
0	0
3	7
0	0
90	4
63	1
10	92
2	92
1268	0
0	1
0	0
28	0
126	1
12	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
4	2
0	0
0	0
47	0
2	0
3	8
3	6
2	2
11710	1
377	0
5	0
54	0
3	0
49	0
37	0
364	0
86	31
48	0
12	10
0	10
4	28
10	28
395	0
127	0
5	207
1	207
606	0
14	0
3	0
0	0
18	0
114	3
25	8
11	6
42	0
8	37
0	0
0	0
466	0
34	5
0	0
100	0
22	101
0	101
226	2
0	0
0	0
1	0
2	0
0	0
56	0
1	0
0	0
354	19
48	0
13	6
302	2
3	0
76	0
260	0
0	0
3	0
32	0
3	0
0	0
1	0
0	0
0	0
367	0
11	12
241	14
21	2
9	17
0	17
121	3
385	1
797	1
0	0
345	0
251	0
0	1
0	1
10	0
123	0
0	0
185	0
102	0
23	0
0	0
0	0
1	0
22	25
0	0
1	8
1	0
36	0
1532	0
17	0
66	0
4	38
2	45
2	45
47	10
0	0
13	3
3	0
76	0
20	1
983	0
13	9
79	0
243	0
18	83
9	83
0	0
84	2
8	27
29	22
18	29
210	10
32	0
10	0
4	0
98	0
351	0
2	0
14	21
2	17
18	0
18	0
12	0
96	0
1	0
0	0
99	0
27	8
2	6
3	0
18	0
237	118
10	72
3	72
5	4
2	0
118	0
9	2
18	101
44	0
330	0
164	0
24	6
6	0
175	9
3	0
2	0
5	0
94	0
3	0
0	0
170	12
8	5
0	5
10	0
3	2
23	0
15	2
0	5
3	3
265	10
1	0
0	0
0	0
0	0
1	0
170	0
27	0
0	11
0	11
0	0
0	0
8	0
3	0
8	0
11	0
1	6
834	69
0	0
53	0
0	0
0	0
384	0
355	0
10	0
2	0
3	0
0	0
2	0
32	0
47	22
840	0
2	1
8	0
4812	0
34	0
65	0
3	18
7	18
11	0
7	0
94	0
2	2
0	2
10	0
3	0
1	1
12	265
42	265
10492	1
0	0
4	0
160	5
184	5
374	29
5	123
0	123
9	0
108	1
0	1
14	0
547	0
68	0
6	0
17	0
19	0
1	0
4	16
2	15
0	1
64	0
0	18
5	24
0	24
0	19
8	22
0	2
63	0
59	0
2	0
69	0
37	0
72	0
0	0
49	0
25	0
11	0
48	0
121	0
50	0
1	0
28	0
4	45
2	45
13	0
29	0
128	45
165	0
9	0
2	23
12	23
89	0
158	0
0	0
60	26
0	0
95	0
1	0
2	16
26	2
0	0
277	0
932	0
195	0
127	0
30	275
6	276
52	0
30	0
3	0
78	0
11670	0
2	23
47	23
0	0
1357	53
3	28
21	0
618	0
274	0
0	0
0	0
108	0
3	0
20	0
18	0
999	19
89	1
12	0
215	0
12	0
4	0
57	0
5	0
1	0
28	0
4	0
13	0
5	0
0	0
9	0
300	0
1	0
4	5
34	0
0	2
0	0
3	14
55	14
90	0
12	171
198	171
0	0
0	0
40	7
15	0
1	7
1	0
105	0
0	0
1	0
4	0
17	85
3	85
1	0
3	0
0	0
0	0
32	66
0	0
13	48
15	66
0	1
35	0
5	0
29	1
20	0
196	0
56	22
9	0
381	0
2	0
154	0
0	0
1	1
0	0
8	0
0	0
3	3
0	3
67	19
4	0
181	0
352	0
1	0
0	0
0	2
1	0
1	0
243	0
482	0
10	0
0	112
17	112
0	42
12	56
0	59
451	0
140	0
1	0
0	0
3	0
0	0
2	36
0	0
0	0
21	4
2	0
0	0
1889	0
404	215
8	0
13	0
108	0
18	40
32	59
3	0
5	0
0	2
0	2
146	2
24	0
16	0
481	0
2	3
365	3
0	0
1	0
0	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	0
0	0
13	0
0	0
212	0
21	1
1939	299
216	301
5	0
19	68
33	68
775	0
6	5
0	0
19	158
0	158
6	0
14	36
2	36
8	0
0	0
9	0
0	0
4	0
7	33
3	33
1	0
3	0
3	0
0	0
23	0
8	40
4	1
7	13
16	0
20	0
225	0
1821	0
34	0
0	0
258	0
1599	0
2	63
8	63
920	0
1	0
113	1
609	0
32	0
20	0
1	0
314	0
42	0
14	782
17	782
0	0
0	0
9	0
0	0
0	0
962	0
0	0
1132	0
93	0
167	0
2	0
776	0
116	11
117	0
15	0
79	0
4	0
1	34
0	34
0	0
122	0
15	0
28	0
95	0
0	36
21	36
26	0
322	0
37	0
0	0
94	7
19	0
0	0
60	0
6	4
21	1
0	1
0	0
6	0
5	1
0	1
122	61
0	61
0	0
11	0
519	0
32	0
25	2
34	0
6	1
267	1
39	0
11	9
40	4
19	0
16	0
6	0
94	0
36	0
28	0
19	95
11	95
294	0
9	0
8	159
3	159
35	0
136	0
48	0
0	0
54	1
51	57
3	0
3	57
29	0
327	0
122	2
1	4
25	4
25	0
1	0
12	4
42	85
0	0
0	0
62	0
20	0
29	20
87	0
6	10
7	2
1	9
468	0
6	0
0	0
18	17
4	0
144	0
688	0
781	9
61	0
15	0
403	0
0	0
13	0
20	0
32	0
1327	1
6	0
330	21
6	21
7	0
1	234
57	183
14	234
3	0
8	0
58	0
41	0
35	5
0	0
5	0
0	0
10	0
2	0
2	0
13	0
1	0
3	0
0	1
16	0
6	2
4	0
1	0
84	10
2	0
288	0
44	0
40	5
53	3
28	13
16	0
20	9
7	2
44	19
0	0
4	26
39	26
27	82
5	8
1	0
0	4
0	4
0	35
9	35
0	12
13	0
2	1
0	1
11	24
1	24
23	9
104	38
28	1
64	0
27	568
5	0
46	0
0	0
3	0
5	4
11	4
1	0
0	0
0	0
0	171
0	198
87	198
26	27
1313	0
85	0
7	0
122	0
17	165
25	165
29	0
0	0
451	0
27	0
186	0
56	0
6	7
8	6
0	0
624	0
2	3
3	0
0	6
10	4
0	4
170	0
0	0
11	0
3	4
49	0
54	0
12	0
155	0
5	0
3	0
58	0
0	2
14	2
1974	0
226	0
522	0
0	0
3	0
10	136
18	136
0	0
905	0
0	0
0	0
4	0
4	0
0	53
11	53
0	0
0	0
0	0
148	0
65	0
36	221
10	221
1655	0
341	0
14	0
13	0
83	0
34	0
14	0
22	0
391	0
291	0
37	3
16	3
291	0
28	0
2	0
0	0
12	0
0	0
0	0
0	0
13	0
1	0
109	49
0	7
2	2
0	0
23	1
2	0
1	0
0	0
0	0
0	0
0	0
41	0
19	0
62	0
0	19
22	19
70	0
0	6
10	2
1	0
10	0
62	31
1	0
10	0
0	59
0	66
5	68
92	34
6	14
0	0
60	0
17	0
49	12
1045	0
13745	0
5	0
37	2376
37	2376
6	0
11	4
13	12
1	46
8	46
0	0
36	0
13	13
0	13
483	0
8	0
12	0
2	30
18	30
58	15
12	15
1	0
0	0
1	0
0	0
0	0
49	0
159	2
3	86
42	86
2	4
10	0
1	1
36	0
61	2
75	0
0	1
3	0
3	4
1312	0
0	0
82	0
10	0
6	1
0	0
53	1
0	0
3	0
61	1
34	0
4	0
168	0
2	0
1	4
2	0
34	0
31	0
195	0
47	0
32	0
451	0
29	0
2	0
10	0
2	0
4	0
61	0
103	3
14	9
204	0
1146	0
0	0
9	0
5	0
1	0
4	12
110	31
23	0
13	1
72	115
9	115
23	6
42	0
21	0
438	72
0	0
11	0
3	0
0	0
1	0
31	2133
793	2966
36	2843
23	97
3	90
0	97
369	0
1	0
3	0
304	0
0	0
6	2
5	0
1	0
0	0
76	0
155	285
109	287
0	0
0	0
10	0
6	0
3	0
0	0
69	0
431	0
6	0
0	0
6	0
0	0
19	0
53	43
1410	1
358	0
0	0
0	0
60	5
47	0
0	0
6	0
1816	0
62	0
76	0
1	1
25	1
29	6
0	0
232	0
1	0
1	12
276	12
19	0
50	0
0	0
0	0
0	0
339	0
9	0
1	0
6	0
20	0
1	0
194	2
107	0
97	0
93	0
0	0
78	0
113	3
98	0
173	0
76	0
4	33
3728	0
45	0
0	7
3	0
2	0
6	0
0	0
0	0
0	0
0	0
16	1
200	0
0	0
1	0
0	0
130	0
28	0
208	0
31	0
64	0
0	0
6	0
7	3
11	0
1	0
674	0
0	0
56	6
2	0
9	0
3	0
3	0
0	0
0	0
4	0
174	0
0	24
2	0
0	0
0	0
4	0
0	0
1	0
1	0
5	0
5	0
51	5
2	12
0	0
7	0
20	4
2	0
4	0
0	0
5	4
32	8
2	36
0	36
3	2
3	0
37	0
70	0
32	2
15	4
257	6
19	859
0	858
1	0
50	0
2	0
0	0
1	0
26	0
7	4
47	0
54	0
18	0
25	0
4	0
37	0
417	0
20	0
3	0
92	0
15	0
22	0
82	0
67	0
3	0
29	0
0	0
3	1
16	2
0	0
0	0
1	0
0	0
5	34
3	0
1	0
686	20
45	2
31	3
0	0
0	0
0	0
7	1
62	0
41	6
667	0
0	0
0	0
18	5
60	0
71	332
5	332
0	0
0	0
4	1662
49	1772
97	23
0	0
0	0
13	0
6	0
6	0
19	0
6	0
11	0
0	0
11	0
0	0
1	0
6	0
6	0
272	0
3	0
1	0
28	1
107	0
72	0
4	3
12	0
18	5
26	2
106	129
202	7
175	115
282	41
40	1
238	5
38	0
42	0
54	90
1	0
0	0
1218	0
5	0
5	1
24	2
0	9
0	6
20	21
0	0
3	0
0	6
29	0
2	0
1	0
76	7
2	4
0	11
5	0
32	14
807	61
24	10
9	0
3	0
40	0
48	0
446	109
24	109
2	0
1	0
4	0
50	0
0	94
3	94
2	0
8	0
0	0
0	0
0	2
82	0
17	0
180	2
135	16
3	5
184	6
26	0
1	1
300	0
7	60
3	60
12	0
0	3
78	0
6	0
1	0
17	17
1	0
0	0
0	0
4	5
0	0
13	2
14	0
11	0
34	0
33	0
9	0
0	12
1	0
9	0
85	0
0	0
0	14
4	0
334	0
103	1
10	0
178	0
8	0
4	0
0	0
2	115
7	115
98	0
10	167
12	275
7	275
0	0
6	20
18	60
9	0
12	5
1	0
0	0
1	0
5	0
0	0
0	0
5	2
27	0
21	0
7	0
38	0
2	0
0	0
3	0
3	3
0	0
17	116
88	0
0	0
0	52
0	0
5	0
0	6
3	6
3	0
0	0
12	9
3	0
111	2
6	0
25	17
62	0
440	915
0	918
22	561
1	0
14	6
6	110
7	110
170	0
12	0
7	386
3	386
0	0
29	0
19	0
4	0
1	0
18	0
11	3
4	0
1	2
0	0
0	0
3	100
21	0
0	0
28	13
4	0
88	0
59	0
7	0
2263	0
28	7
6	7
316	393
24	0
15	652
21	652
391	0
43	0
1	0
2	49
8	49
22	0
8	0
235	11
45	0
963	0
12	5
0	0
0	9
19	0
14	0
1358	0
1050	0
137	0
28	0
3	0
0	0
5	0
0	0
0	0
3	0
0	0
346	8
11	8
0	12
19	2
28	2
4	1
10	0
7	0
27	1
0	44
31	0
5	0
6	0
8	7
20	1
9	1
13	4
0	0
14	0
13	0
9	0
49	24
59	0
29	103
3	0
0	0
40	6
32	1
5	1
2	1
17	39
11	39
1	0
1	0
2	0
2	6
346	0
139	281
0	6
18	3
17	0
13	0
13	2
25	0
229	0
152	1
45	36
0	0
8	0
43	0
13	1
2244	1
111	0
371	0
1	1
0	1
36	2
1	0
3	0
1	0
0	0
0	0
0	0
0	0
21	2
1265	1
101	1
145	0
4	0
109	51
8	0
145	1
14	5
11	0
26	1
15	1
155	0
0	0
6	0
4	0
1	0
0	0
3	0
1	0
3	0
3	0
10	0
0	0
0	0
16	0
221	0
158	0
4	0
18	0
31	0
140	0
14	17
10	12
46	3
30	0
6	7
7	7
19	0
0	0
33	0
4	0
0	0
14	0
0	0
20	0
212	0
3	0
42	0
12	0
2	0
16	2
10	2
6	0
183	0
23	0
14	2
17	294
29	340
3	0
9996	2
22	0
888	0
213	0
230	3
0	0
12	0
25	0
792	0
0	0
570	1
31	0
17	0
11	0
22	0
9	0
0	0
1	0
23	9
22	9
6	9
12	1
94	0
230	0
30	182
6	182
6	0
100	1
4	0
0	0
0	0
230	3
1	0
14	0
128	0
37	0
1	3
100	0
115	0
5	0
164	0
61	0
16	0
15	3
0	0
14	0
7	0
18	0
21	129
0	129
76	0
68	2
112	32
848	280
0	0
8	5
28	4
19	0
523	1
107	1
1	0
8	0
1	0
9	1
19	0
19	0
0	0
4	0
50	0
13	0
0	0
60	0
6	0
230	0
2	0
8	4
0	1
0	0
0	4
1	4
2	0
0	0
58	427
66	427
8	0
0	0
52	0
57	0
83	0
402	0
2	1
3	1
11	2
1	0
286	0
0	0
0	0
5	14
22	2
1	12
10	12
31	6
113	1
0	0
0	0
0	0
12	49
6	0
29	0
362	0
0	2
4	0
0	0
0	0
0	0
6	0
3	1
7	0
49	36
0	0
53	0
205	145
31	5
0	0
0	0
3	0
1	0
5	0
1	0
0	0
1	1
3	0
0	0
241	84
12	0
1	0
341	55
4	55
0	0
46	693
0	0
0	0
17	13
0	0
0	0
0	0
3	19
453	44
0	2
18	121
0	0
0	0
1	0
9	0
0	0
0	0
8	15
1	3
0	0
16	0
10	0
162	102
6	0
30	5
0	5
2	751
49	751
0	0
1	0
0	0
1	0
8	0
675	0
149	3
9	5
154	0
0	2
3	5
3	0
4	4
113	4
2	0
81	0
17	6
0	1
6	0
0	0
0	0
2	0
662	0
8	11
0	0
143	0
430	0
49	0
15	78
6	0
1	0
58	0
55	0
10	0
39	0
59	9
0	282
0	282
21	5
19	0
36	0
6	0
133	0
7	37
0	0
25	1
118	13
5	0
12	0
14	0
7	133
1301	137
66	0
0	40
0	14
8	54
11	0
0	2
8	0
2	0
1	0
8	0
3	0
0	0
7	16
3	7
1	0
33	0
0	0
24	3
31	4
128	48
6	20
148	3
257	0
66	19
2	18
130	0
201	0
2	0
0	0
1	0
0	0
1	2
4	0
6	1
0	1
6	0
1	0
7	0
1	0
11	0
3	0
8	0
36	0
303	0
211	3
0	0
164	0
2	1
9	3
0	1
54	141
2	0
0	0
0	0
2	0
36	6
0	0
0	0
1	0
0	0
0	0
0	1
3	0
1	0
9	3
8	0
130	0
30	49
0	0
3	0
155	0
47	0
0	0
153	0
2	0
303	0
16	0
39	0
14	0
13	0
8	0
0	0
242	0
8	0
2	0
0	0
0	0
63	0
105	0
88	0
1	0
0	0
162	0
2	0
0	0
9	0
0	0
6	1
17	0
3	2
12	0
4	0
0	15
459	29
0	0
0	0
0	0
56	5
0	0
5	0
1	2
3	0
108	22
16	22
0	0
3	3
8	0
62	0
744	0
1	0
2	0
2	0
2	0
6	0
0	0
38	0
16	57
6	1
0	25
6	0
7	0
6	0
0	0
1	0
1	0
19	12
52016	3
