UniqueCount	AmbigCount
1	2115
274	0
2	21
236	0
2	0
0	0
0	0
3	0
2	0
1	0
79	0
0	0
0	0
5	0
0	0
20	49
0	49
0	35
31	0
12	0
0	0
5	0
7	0
0	17
17	31
3	14
0	0
18	0
43	0
7	0
0	0
0	0
2	0
458	0
9	79
40	205
0	23
2	14
0	14
10	0
49	0
71	4
411	3
11	0
45	0
151	0
127	0
0	0
3	5
4	5
1	0
3	0
2	0
15	1
18	0
3	350
1	13
0	0
1	0
7	7
1	7
3	82
17	82
1	28
0	0
0	370
0	371
0	0
450	0
12	0
155	0
131	0
7	0
180	0
45	0
15	0
36	0
1	0
0	0
61	2
0	0
1065	0
0	0
10	0
0	1
100	1
135	0
2	1
220	0
463	0
0	0
2	0
20	0
0	114
10	78
12	0
72	0
0	0
0	8
1	0
0	0
3	64
125	0
98	0
133	0
0	0
0	0
0	0
3	45
14	67
54	65
72	0
0	0
51	68
70	0
1552	1
11	0
70	0
53	0
3	80
15	0
0	0
93	0
4412	0
0	0
64	0
0	0
0	0
13	140
165	140
2	17
12	17
47	0
3	0
6	0
564	0
0	3
29	46
244	3
0	2
66	6
228	0
2	2
8	0
0	11
4	59
7	347
7	0
11	0
6	0
12	0
0	0
0	2
24	0
1	0
3	0
414	16
85	0
12	0
0	2
442	0
0	0
306	0
4	0
29	2
192	0
488	0
42	0
2	531
2	547
10	547
0	0
43	0
744	0
44	381
10	381
15	0
4	0
0	35
9	35
1	0
37	0
80	0
0	23
2	316
10	282
10	0
627	0
176	37
0	37
1571	0
0	0
106	0
126	1
3	6
0	0
1	6
0	0
1	0
9	0
9	467
0	467
0	0
30	0
1	0
8	6
36	0
236	0
7	2
0	2
0	0
18	0
150	0
0	3
0	0
52	0
47	0
6	2
64	2
155	167
31	3
0	58
0	53
0	197
318	0
12	0
41	0
2	0
16	208
11	208
9	304
0	0
0	3
40	0
22	0
0	0
0	0
50	551
86	551
23	5
471	0
5	1
0	0
497	7
0	7
4	399
17	196
7	32
221	864
6	0
22	0
4	0
12	104
5	104
15	6
94	0
0	0
0	0
0	0
495	0
7	95
80	0
442	0
3	0
424	9
76	0
0	11
30	11
814	2
3	0
29	0
1	0
7	66
17	0
70	0
1	0
265	253
1	253
0	0
335	0
248	0
331	0
2	0
46	99
1	99
0	4
0	0
30	4
205	0
207	0
4	0
0	0
307	0
31	0
0	0
0	0
0	5
98	5
86	0
0	0
119	58
115	58
38	0
1351	0
304	2
2	0
10	0
1	0
22	0
0	0
8	0
1	0
13	0
7	0
56	0
71	0
38	0
1313	1
0	0
63	0
0	0
17	0
13	0
0	0
626	0
84	448
0	0
28	0
4	142
0	142
2	119
25	87
7	187
23	201
0	177
2	365
18	5
1	5
0	5
8	0
1	0
8	0
15	0
7	0
4	0
700	2
655	0
461	0
106	4
87	0
1063	2
0	3
3	91
2	91
3	0
297	0
193	0
64	0
4	0
216	0
22	0
1	0
0	2
17	0
145	1
8	0
0	0
18	33
28	33
0	3098
11	3098
112	0
0	0
111	0
4	28
0	2
0	9
4	7
127	0
232	0
0	0
42	0
253	0
0	121
3	118
477	0
0	0
2	0
4	0
4	0
35	63
0	63
5	0
285	1
371	997
139	998
18	0
131	0
3	7
2	7
25	0
4	0
0	1
6	62
0	0
539	0
0	0
4	0
3	0
3	0
0	0
10	0
18	0
0	0
41	0
118	0
230	0
9	0
156	5
844	6
39	0
59	417
92	5
24	6
5	1
2	0
1	0
119	450
53	450
0	0
0	459
254	459
83	23
66	0
142	197
10	0
28	31
0	1
0	30
23	0
176	0
2	242
0	0
76	10
0	0
0	0
0	0
1751	0
5	14
1326	14
154	0
7	0
7	0
4	0
0	0
43	0
2	0
45	0
108	0
99	0
135	0
180	0
108	0
310	0
3	0
175	0
219	0
25	0
605	0
12	0
0	0
3	200
59	229
0	0
12	0
11	0
26	0
7	169
36	51
4	210
2	12
0	276
105	0
0	0
17	0
0	0
81	0
0	0
0	0
153	0
68	0
421	0
22	0
4	3
0	5
189	5
6	52
12	3
62	276
0	246
0	0
15	0
0	3
118	0
30	0
35	0
122	611
28	623
1	623
347	1
0	1
118	1
1	0
7	249
133	0
3	0
115	0
12	10
0	0
88	5
16	0
4	0
18	0
4	0
3	0
0	0
0	0
109	0
0	0
181	560
0	560
9	0
13	4
3	3
18	3
0	2
0	11
41	0
30	0
8	2
3	0
10	0
1	0
30	0
5	0
1	0
11	7
3	5
3	53
63	0
279	0
16	0
21	2
2	2
50	0
1	0
191	0
13	0
28	0
0	0
21	2
6	5
178870	26
0	8
31	0
0	0
14	130
25	130
1	86
162	0
0	0
0	0
156	0
0	0
0	0
0	0
0	0
30	0
0	0
639	0
20	0
5	0
0	8
0	0
3	0
1	1
1	0
4	0
0	0
0	0
376	34
0	29
21	29
1	82
69	82
32	723
19	0
35	0
0	650
6	0
0	0
0	0
2	0
97	0
0	0
358	4
240	4
49	0
3	198
0	198
57	10
0	0
43	0
27	0
4	0
0	0
0	0
0	0
0	0
6	0
0	2
41	0
5	0
0	0
2348	0
232	0
36	1
1	0
127	0
804	0
0	0
2	0
0	0
3	197
51	197
2	0
0	0
5	148
13	148
68	0
407	0
191	0
2	13
16	0
95	248
56	248
25	0
65	0
0	0
0	0
21	0
2	0
83	0
0	31
185	50
1	10
3	0
160	0
1	8
3	56
0	2
316	2
5	0
9	0
169	0
139	0
12	0
327	5
5	5
17	0
7	0
16	0
174	0
54	0
8	0
196	0
70	0
0	0
1	0
11	2
21	8
147	0
1	0
48	1
108	0
453	1
0	1
1	0
0	0
78	0
20	103
10	0
2	0
9	0
0	0
157	0
135	0
2592	0
10	0
83	23
58	0
27	0
4	0
11	0
107	0
14	0
0	0
35	3
7	0
32	1
0	0
165	0
0	0
44	0
0	0
42	14
8	0
0	1
2	0
0	0
0	0
0	0
17	0
0	0
0	0
0	0
0	1
16	333
2	1
352	0
1	0
26	0
0	4
0	0
13	0
126	0
0	13
261	1
3	0
1	2
252	6
77	0
124	0
192	0
1	0
0	0
1	0
4	0
481	0
