UniqueCount	AmbigCount
0	229
184	0
0	1
120	0
16	0
0	0
1	0
0	0
1	5
4	0
23	0
4	0
0	10
1	0
0	0
44	83
0	82
0	2
4	0
0	0
20	1
4	0
13	0
0	9
11	15
5	6
20	0
10	0
4	0
39	0
8	0
20	3
9	0
276	0
0	21
429	2168
2	16
6	56
0	56
0	0
2	0
4	0
226	0
0	0
38	0
47	0
107	0
11	0
10	6
0	6
0	0
3	0
0	0
5	0
65	0
49	231
2	2
4	0
0	0
18	2
0	2
0	70
19	70
0	0
3	0
0	75
0	75
0	0
550	0
51	0
723	0
21	0
2	0
124	0
108	0
28	0
17	0
6	0
5	0
4	0
8	0
105	0
16	0
6	0
0	0
16	0
65	0
3	0
253	0
297	0
0	0
11	0
7	0
0	39
0	20
0	6
20	0
0	1
0	2
0	0
0	0
30	93
45	0
91	0
15	0
0	0
0	0
0	0
1	5
0	10
17	10
13	0
4	0
35	55
20	0
1141	0
21	0
11	0
3	0
0	24
6	0
0	0
15	0
71	0
0	0
69	0
7	0
3	0
0	113
100	113
4	6
5	6
4	0
0	0
0	0
642	0
0	7
9	30
108	0
0	0
12	8
51	0
0	0
1	0
0	3
0	11
2	61
6	0
0	0
0	0
50	0
0	0
0	0
289	0
0	0
1	0
149	1
73	0
2	0
0	0
5	0
0	0
71	0
6	0
38	1
59	0
656	0
22	0
0	632
0	645
64	641
2	0
35	0
588	0
6	100
2	100
23	0
0	0
0	41
9	41
0	0
22	0
54	0
3	552
10	79
0	59
0	0
563	0
46	3
0	3
3670	0
0	0
117	0
99	0
133	39
6	3
0	39
29	0
9	0
10	0
3	220
0	220
0	0
2	3
2	0
5	20
16	0
109	0
0	0
0	0
0	0
1	0
43	0
0	0
1	1
17	0
2	0
0	0
82	0
152	114
17	2
0	11
0	25
1	146
201	0
38	0
1	0
0	0
3	34
0	34
14	83
0	0
0	10
60	0
7	0
0	0
0	0
29	149
2	149
14	0
509	0
2	0
0	0
235	20
0	20
29	107
2	22
0	0
324	1301
9	0
35	0
6	0
3	27
0	27
22	10
51	0
0	0
3	0
0	0
52	0
17	104
26	0
291	0
0	0
30	0
79	0
0	6
2	6
800	10
0	0
6	0
0	0
0	52
0	0
25	0
0	2
205	163
4	163
4	0
142	0
531	0
249	0
2	0
5	20
0	20
0	1
1	0
1	1
323	0
69	0
0	0
2	0
211	0
117	0
1	0
0	0
0	5
55	5
27	0
2	0
28	25
5	25
21	0
1404	0
169	0
0	0
4	0
0	0
0	0
0	2
16	0
0	0
7	0
0	0
87	0
160	0
16	0
2510	4
0	0
2	0
0	0
3	0
0	0
0	0
454	0
23	144
0	0
121	0
0	28
0	28
1	25
36	52
0	85
4	98
4	79
16	1192
6	31
0	31
0	2
13	0
2	0
0	0
53	0
0	0
1	0
316	0
314	0
319	0
29	0
14	0
393	1
0	0
0	116
1	116
16	0
233	0
27	0
38	0
0	0
490	0
34	0
14	0
27	9
501	0
93	0
5	0
0	0
7	4
4	4
0	3100
0	3100
385	20
0	20
49	0
11	46
0	0
0	109
42	109
80	0
188	0
10	0
67	0
93	0
0	23
0	23
169	0
0	0
5	0
5	0
10	0
81	24
0	24
20	0
160	4
179	281
56	281
57	0
62	0
1	0
0	0
23	0
0	0
0	5
2	29
4	0
501	0
1	0
38	0
0	0
0	0
0	0
5	0
29	0
0	0
71	0
33	0
135	0
2	0
49	2
562	0
4	0
48	86
156	9
2	8
9	1
0	0
0	0
18	154
16	154
0	0
0	236
177	236
2	0
36	0
85	175
0	0
14	5
0	1
0	4
18	0
74	0
3	148
0	0
207	0
0	0
0	0
0	0
966	0
2	55
1847	55
55	0
1	0
5	0
0	0
0	0
17	0
8	0
21	0
70	0
11	0
4	0
144	0
35	0
1490	0
22	0
595	0
188	0
17	0
63	0
4	0
1	0
0	154
41	182
4	0
18	0
15	0
1	0
0	15
0	0
0	24
0	0
0	24
129	0
2	0
54	0
3	0
36	0
0	0
0	0
77	0
31	0
231	0
2	0
2	1
0	0
34	0
0	7
0	0
20	164
0	137
3	0
4	0
1	0
67	0
1	0
2	0
143	515
34	463
3	463
258	4
0	4
34	0
4	0
11	85
12	0
0	0
104	0
0	2
0	0
15	4
6	0
17	0
17	0
0	0
0	0
0	0
1	0
49	0
0	0
23	100
0	100
0	0
7	0
0	5
8	5
0	1
0	19
13	4
3	4
0	0
19	0
152	0
0	0
27	0
36	0
0	0
8	1
2	1
0	24
86	0
104	0
0	0
0	0
0	0
10	0
0	0
79	0
28	0
14	0
1	0
11	0
0	0
87596	1
0	14
24	0
0	0
2	28
2	28
0	30
51	0
0	0
0	0
147	0
0	0
1	0
0	0
0	0
4	0
0	3
431	0
13	0
5	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
287	68
0	38
23	47
0	29
90	29
52	501
23	0
60	0
0	369
0	0
2	0
0	0
0	0
96	0
0	0
302	3
129	3
37	0
0	125
0	127
42	0
104	0
7	0
14	0
0	0
0	0
2	0
0	2
3	0
0	0
2	0
23	0
7	0
0	0
2194	1
63	0
6	1
0	0
1135	0
500	0
2	0
6	0
3	0
0	58
3	58
0	0
0	0
0	54
5	54
41	0
209	0
62	0
0	1
8	0
96	155
10	155
22	0
2	0
0	0
14	0
0	0
0	0
57	0
0	22
82	33
0	5
0	0
78	0
0	2
0	20
0	8
191	8
5	0
8	0
50	0
9	0
7	0
207	12
0	12
0	0
0	0
0	0
70	0
31	0
0	0
35	0
3	0
6	0
0	0
26	0
8	5
11	0
4	0
70	0
72	0
148	5
0	5
7	0
0	0
19	0
24	59
5	0
0	0
0	0
3	0
26	0
21	0
3021	0
15	0
13	5
7	0
5	0
0	0
0	0
151	0
311	0
0	0
54	1
0	0
13	0
0	0
27	0
0	0
10	0
0	0
31	24
12	0
0	0
0	0
27	0
0	0
1	0
4	0
0	0
2	6
1	1
0	0
10	125
0	5
63	5
0	0
24	0
0	4
1	0
9	0
62	0
0	17
122	0
6	0
8	23
36	0
32	0
468	0
220	1
0	0
0	0
6	0
5	0
54	0
27	0
416	0
14	0
9	68
0	6
16	62
9	0
2	0
40	0
69	13
0	1
2	0
27	12
0	12
160	0
25	12
0	12
0	0
18	0
53	0
3	0
24	0
0	4
6	0
8	230
0	0
2399	4
190	0
432	0
0	20
245	20
48	0
0	0
4	0
0	0
2	0
0	1511
5	1511
0	0
6	0
53	0
3	0
608	0
438	4
501	0
6	0
9	0
0	0
381	0
264	0
0	0
4	0
40	0
2	0
2	5
3	5
1	0
0	0
87	0
23	0
1	9
0	3
35	0
14	0
1	3
0	0
26	0
113	424
1	424
155	0
0	78
3	0
50	0
0	0
0	1
13	73
62	0
240	0
0	0
6	35
