Contig,Entry
kb8_rep_c1,Q1ACM8
kb8_rep_c2,Q06J29
kb8_rep_c4,Q8TGM7
kb8_rep_c5,Q9XQV2
kb8_rep_c6,A2T359
kb8_rep_c8,Q4N655
kb8_rep_c11,Q9ZPJ8
kb8_rep_c13,Q07205
kb8_rep_c14,P60039
kb8_rep_c15,Q969X1
kb8_rep_c18,Q9P3W6
kb8_rep_c19,A8I4E9
kb8_rep_c21,P48496
kb8_rep_c22,A2BFC9
kb8_rep_c23,Q9P430
kb8_rep_c24,P57759
kb8_rep_c26,P49472
kb8_rep_c27,A0T0T7
kb8_rep_c28,Q9V3G1
kb8_rep_c29,Q9XQV3
kb8_rep_c30,Q1LVE8
kb8_rep_c32,Q9VCA8
kb8_rep_c37,Q8W4I9
kb8_rep_c40,Q1XDM7
kb8_rep_c43,P49118
kb8_rep_c45,Q820S0
kb8_rep_c46,R1CW23
kb8_rep_c47,Q9SEE9
kb8_rep_c49,P52032
kb8_rep_c50,Q5UQE9
kb8_rep_c53,Q9XQU7
kb8_rep_c55,Q22494
kb8_rep_c56,Q8N0N9
kb8_rep_c57,Q8NEH6
kb8_rep_c59,P05132
kb8_rep_c60,A0T0T0
kb8_rep_c61,P37518
kb8_rep_c62,Q4L6I1
kb8_rep_c63,Q566L7
kb8_rep_c65,P0DJ60
kb8_rep_c68,Q6SP97
kb8_rep_c71,O44006
kb8_rep_c72,B3QPN8
kb8_rep_c74,P03958
kb8_rep_c75,Q4N655
kb8_rep_c77,Q9LYN7
kb8_rep_c78,P41128
kb8_rep_c81,A5DBG4
kb8_rep_c83,Q8NK02
kb8_rep_c85,Q9SIP7
kb8_rep_c86,Q23716
kb8_rep_c90,Q5RHH4
kb8_rep_c91,O30418
kb8_rep_c92,Q40296
kb8_rep_c95,Q00598
kb8_rep_c96,D4AZ24
kb8_rep_c97,Q6QNM1
kb8_rep_c98,Q9ZP06
kb8_rep_c99,Q6DEL1
kb8_rep_c101,Q00766
kb8_rep_c107,A8I9E8
kb8_rep_c108,Q9TW32
kb8_rep_c109,Q4R6X9
kb8_rep_c112,A0T0M8
kb8_rep_c114,Q6ZDY8
kb8_rep_c115,P0C7B7
kb8_rep_c116,Q9V3G1
kb8_rep_c117,Q9P3W6
kb8_rep_c119,P36183
kb8_rep_c122,P42693
kb8_rep_c125,Q5FWN8
kb8_rep_c127,Q9GR88
kb8_rep_c129,P56820
kb8_rep_c134,O43049
kb8_rep_c137,Q9SJD4
kb8_rep_c143,Q96MR6
kb8_rep_c144,Q10KF0
kb8_rep_c145,P44429
kb8_rep_c146,P0DL09
kb8_rep_c147,P36397
kb8_rep_c149,P47961
kb8_rep_c153,Q86TL2
kb8_rep_c154,Q9FG01
kb8_rep_c155,Q99733
kb8_rep_c157,J9VND4
kb8_rep_c161,Q7XJ02
kb8_rep_c162,Q9MAY3
kb8_rep_c163,O00782
kb8_rep_c164,Q9HFQ2
kb8_rep_c168,Q90YS3
kb8_rep_c169,Q54C32
kb8_rep_c171,P0AC91
kb8_rep_c172,A8JF70
kb8_rep_c173,Q8C1R0
kb8_rep_c175,Q8BTU1
kb8_rep_c177,P16100
kb8_rep_c180,D5AR83
kb8_rep_c181,P27694
kb8_rep_c182,Q5UQ60
kb8_rep_c184,Q91437
kb8_rep_c185,P30741
kb8_rep_c188,Q9SZY7
kb8_rep_c189,Q0JKD0
kb8_rep_c193,Q7XSQ5
kb8_rep_c195,Q50568
kb8_rep_c198,P46953
kb8_rep_c200,Q9D2H2
kb8_rep_c202,Q9SV02
kb8_rep_c203,P55249
kb8_rep_c205,Q8R3P7
kb8_rep_c210,Q5TZ51
kb8_rep_c212,Q7XJ96
kb8_rep_c213,O48649
kb8_rep_c214,Q9SUP7
kb8_rep_c216,Q869Z0
kb8_rep_c217,P49199
kb8_rep_c219,Q8BSN3
kb8_rep_c220,Q6GPQ3
kb8_rep_c222,Q8LPJ4
kb8_rep_c223,Q54XK2
kb8_rep_c224,Q66II8
kb8_rep_c226,Q1IX33
kb8_rep_c227,Q0JM17
kb8_rep_c228,A7MBH5
kb8_rep_c229,A8HQ54
kb8_rep_c230,Q9M1H3
kb8_rep_c232,Q7ZV96
kb8_rep_c237,Q02849
kb8_rep_c238,O74959
kb8_rep_c239,Q9ZPJ8
kb8_rep_c240,Q4V8U5
kb8_rep_c241,Q9LFE0
kb8_rep_c242,O01727
kb8_rep_c243,O46669
kb8_rep_c245,Q4V9P0
kb8_rep_c251,A8IUG5
kb8_rep_c254,P81760
kb8_rep_c256,Q9UVR2
kb8_rep_c257,P13952
kb8_rep_c258,Q55GU0
kb8_rep_c259,A8HS48
kb8_rep_c261,P49397
kb8_rep_c263,Q9BXS5
kb8_rep_c266,Q5RD16
kb8_rep_c267,P0CT78
kb8_rep_c269,A8HUA1
kb8_rep_c270,Q75V57
kb8_rep_c273,Q00526
kb8_rep_c276,A1DHY9
kb8_rep_c277,Q9LXF8
kb8_rep_c278,P54651
kb8_rep_c279,P96787
kb8_rep_c280,Q42593
kb8_rep_c284,P53041
kb8_rep_c289,Q8VEH6
kb8_rep_c292,O23247
kb8_rep_c297,O08336
kb8_rep_c298,Q09676
kb8_rep_c299,B1XHY7
kb8_rep_c300,O44252
kb8_rep_c302,P40618
kb8_rep_c303,P42620
kb8_rep_c305,P16858
kb8_rep_c308,Q869E1
kb8_rep_c311,O82528
kb8_rep_c312,Q8IJN7
kb8_rep_c314,Q9FKI4
kb8_rep_c316,Q5JVL4
kb8_rep_c318,Q9SIP7
kb8_rep_c319,E9AE57
kb8_rep_c321,Q5AWS6
kb8_rep_c322,P0CP41
