Contig,Entry
TRINITY_GG_10004_c0_g1_i1,Q6DGL7
TRINITY_GG_10009_c0_g1_i3,Q9UHP3
TRINITY_GG_10013_c0_g1_i1,Q9Y5X5
TRINITY_GG_1001_c11_g1_i1,Q8R151
TRINITY_GG_1001_c13_g1_i1,Q9P2E3
TRINITY_GG_1001_c17_g1_i1,Q9P2E3
TRINITY_GG_1001_c1_g1_i1,Q9P2E3
TRINITY_GG_1001_c4_g3_i2,Q8R151
TRINITY_GG_1001_c4_g4_i1,Q8R151
TRINITY_GG_1001_c9_g1_i1,Q8R151
TRINITY_GG_10026_c0_g1_i1,P36513
TRINITY_GG_10029_c0_g1_i1,P48818
TRINITY_GG_10029_c0_g1_i2,P48818
TRINITY_GG_10031_c0_g2_i1,Q6PDD0
TRINITY_GG_10035_c0_g1_i1,A2AVA0
TRINITY_GG_10037_c0_g2_i1,Q9GLD9
TRINITY_GG_1003_c0_g1_i6,Q9QXT8
TRINITY_GG_10040_c0_g1_i1,Q62384
TRINITY_GG_10040_c0_g1_i3,Q62384
TRINITY_GG_10040_c0_g1_i6,Q62384
TRINITY_GG_10047_c0_g1_i2,Q9XZS8
TRINITY_GG_10047_c105_g1_i1,B2RYF1
TRINITY_GG_10047_c107_g1_i1,Q9ULT8
TRINITY_GG_10047_c109_g1_i1,Q9ULT8
TRINITY_GG_10047_c13_g1_i1,Q6DJI4
TRINITY_GG_10047_c14_g1_i1,P10076
TRINITY_GG_10047_c20_g1_i2,Q0V9J5
TRINITY_GG_10047_c22_g1_i2,P48416
TRINITY_GG_10047_c22_g1_i3,Q4G0S4
TRINITY_GG_10047_c24_g1_i1,Q6A085
TRINITY_GG_10047_c2_g1_i1,Q6P026
TRINITY_GG_10047_c36_g1_i2,Q96AY4
TRINITY_GG_10047_c50_g1_i1,P29176
TRINITY_GG_10047_c58_g1_i1,G3M4F8
TRINITY_GG_10047_c59_g1_i1,Q9ULT8
TRINITY_GG_10047_c5_g1_i6,Q9UBV8
TRINITY_GG_10047_c62_g1_i1,Q80T32
TRINITY_GG_10047_c78_g1_i1,Q9H1P6
TRINITY_GG_10047_c7_g1_i1,Q4V8V1
TRINITY_GG_10047_c7_g1_i2,Q4V8V1
TRINITY_GG_10047_c7_g2_i1,Q5PSV4
TRINITY_GG_10047_c7_g2_i2,Q5PSV4
TRINITY_GG_10047_c84_g1_i12,K7VCB9
TRINITY_GG_10047_c84_g1_i13,Q32PI1
TRINITY_GG_1004_c0_g2_i1,Q6GQ68
TRINITY_GG_10053_c0_g1_i1,Q8HXY7
TRINITY_GG_10054_c0_g1_i2,Q9H0K1
TRINITY_GG_10055_c0_g1_i3,B4JVW6
TRINITY_GG_10055_c0_g2_i1,Q47898
TRINITY_GG_10056_c0_g1_i2,Q6P825
TRINITY_GG_1005_c0_g1_i1,O43491
TRINITY_GG_10061_c0_g1_i1,O08688
TRINITY_GG_10066_c0_g1_i1,O15484
TRINITY_GG_10077_c0_g1_i1,Q6IVV8
TRINITY_GG_10078_c0_g1_i1,Q6XUX0
TRINITY_GG_10079_c0_g1_i1,P05183
TRINITY_GG_10083_c0_g1_i2,O15484
TRINITY_GG_10083_c0_g1_i3,O15484
TRINITY_GG_10086_c0_g1_i2,Q3V096
TRINITY_GG_10086_c1_g1_i1,Q3V096
TRINITY_GG_10099_c1_g1_i1,Q5U239
TRINITY_GG_1009_c0_g1_i1,P58022
TRINITY_GG_1009_c10_g1_i1,Q24JV9
TRINITY_GG_1009_c10_g2_i1,F1RD85
TRINITY_GG_1009_c18_g1_i1,Q5R5D8
TRINITY_GG_1009_c1_g1_i1,Q5RFQ6
TRINITY_GG_1009_c2_g1_i13,Q9D8N2
TRINITY_GG_1009_c3_g1_i1,Q14147
TRINITY_GG_1009_c3_g2_i1,Q9DBV3
TRINITY_GG_1009_c5_g2_i1,Q9P2E3
TRINITY_GG_1009_c61_g1_i1,P25931
TRINITY_GG_1009_c63_g1_i1,Q24JV9
TRINITY_GG_1009_c6_g1_i2,Q9Y4K0
TRINITY_GG_1009_c8_g1_i1,P43140
TRINITY_GG_1009_c9_g1_i3,Q5R939
TRINITY_GG_100_c1_g1_i1,Q9H9Y6
TRINITY_GG_100_c2_g1_i1,O54888
TRINITY_GG_100_c4_g1_i1,Q9H9Y6
TRINITY_GG_10103_c0_g1_i2,Q9Y232
TRINITY_GG_10103_c0_g1_i8,Q9Y232
TRINITY_GG_10108_c0_g1_i1,Q9QYJ6
TRINITY_GG_10113_c0_g1_i1,Q5VU57
TRINITY_GG_10114_c0_g1_i3,Q5BJ78
