Contig,Entry
TRINITY_DN0_c0_g2_i1,Q91WA3
TRINITY_DN0_c0_g3_i1,Q3T0C9
TRINITY_DN0_c3_g1_i3,Q7RTR2
TRINITY_DN10001_c0_g1_i12,Q5RBW0
TRINITY_DN10002_c0_g2_i2,A6QLU6
TRINITY_DN10002_c1_g1_i2,Q96IR7
TRINITY_DN10004_c0_g1_i3,O43586
TRINITY_DN10009_c0_g1_i4,Q15084
TRINITY_DN10009_c0_g2_i3,Q15084
TRINITY_DN10011_c2_g1_i21,Q2TBL4
TRINITY_DN100125_c1_g1_i1,Q5F349
TRINITY_DN10012_c0_g1_i1,P12853
TRINITY_DN10014_c0_g1_i1,P53611
TRINITY_DN100155_c0_g1_i1,Q18169
TRINITY_DN100219_c1_g1_i1,A6H767
TRINITY_DN10021_c0_g1_i2,Q7TN02
TRINITY_DN10022_c0_g1_i1,Q3SZA5
TRINITY_DN10023_c2_g1_i5,B0BNE5
TRINITY_DN10023_c4_g2_i2,O13938
TRINITY_DN100245_c0_g1_i1,P54651
TRINITY_DN100245_c2_g1_i1,O44001
TRINITY_DN100258_c0_g2_i1,Q7XPW5
TRINITY_DN10025_c0_g1_i9,Q925E1
TRINITY_DN10027_c0_g1_i1,Q8N4L8
TRINITY_DN100283_c0_g1_i16,Q64191
TRINITY_DN100283_c0_g2_i12,Q64191
TRINITY_DN100333_c0_g1_i1,Q59754
TRINITY_DN10034_c0_g1_i7,O01635
TRINITY_DN10038_c0_g2_i3,Q8NDI1
TRINITY_DN10041_c0_g1_i2,Q6PBN2
TRINITY_DN100458_c0_g1_i7,P22694
TRINITY_DN1004_c0_g1_i11,Q9WUW9
TRINITY_DN100503_c0_g1_i2,O19072
TRINITY_DN100503_c0_g3_i2,P84010
TRINITY_DN100516_c0_g1_i1,Q9VFE4
TRINITY_DN10053_c0_g1_i30,O42957
TRINITY_DN10053_c0_g2_i12,O42957
TRINITY_DN10054_c0_g1_i5,Q8IYJ2
TRINITY_DN10057_c0_g1_i1,O75899
TRINITY_DN10064_c0_g2_i1,Q9Y5Z4
TRINITY_DN10067_c0_g1_i3,Q7RBT0
TRINITY_DN10069_c0_g1_i1,Q9NSD9
TRINITY_DN1006_c0_g2_i2,Q6DHC1
TRINITY_DN10081_c0_g1_i11,Q6ZSZ5
TRINITY_DN10082_c0_g1_i2,P35561
TRINITY_DN10085_c1_g1_i5,P0DJ60
TRINITY_DN10088_c0_g1_i8,P83858
TRINITY_DN100924_c1_g1_i3,P46087
TRINITY_DN10093_c0_g1_i5,Q5M7M7
TRINITY_DN10095_c0_g1_i5,Q91ZV0
TRINITY_DN10098_c0_g1_i3,Q6PC60
TRINITY_DN1009_c0_g1_i2,Q9UQB3
TRINITY_DN1009_c0_g2_i1,P59015
TRINITY_DN101032_c0_g1_i1,Q5RA17
TRINITY_DN10103_c0_g1_i3,Q28DB5
TRINITY_DN101070_c0_g2_i1,P24367
TRINITY_DN101070_c2_g1_i1,P91791
TRINITY_DN101071_c0_g1_i3,Q24155
TRINITY_DN10109_c0_g1_i3,Q969T3
TRINITY_DN101107_c0_g2_i2,Q66GQ5
TRINITY_DN10114_c0_g1_i5,P35574
