Contig,Entry
comp100005_c0_seq1,P15274
comp100009_c0_seq1,Q66JY6
comp100042_c0_seq1,Q86ZN7
comp100061_c0_seq1,Q08013
comp100078_c0_seq1,O15439
comp100113_c0_seq1,Q9P6K1
comp100142_c0_seq1,Q08890
comp100181_c0_seq1,P32755
comp100184_c0_seq1,Q7RTX9
comp100205_c0_seq1,Q9BWD1
comp100227_c0_seq1,B5DE73
comp100240_c0_seq1,O59843
comp100251_c0_seq1,Q9C9Z1
comp100262_c0_seq1,Q43531
comp10026_c0_seq1,Q8LPN7
comp100277_c0_seq1,Q98TR7
comp100318_c0_seq1,Q28CU0
comp100321_c0_seq1,Q9VR91
comp100345_c0_seq1,Q642M9
comp100351_c0_seq1,Q7RTR2
comp100370_c0_seq1,Q553R3
comp100385_c0_seq1,Q67YC9
comp100408_c0_seq1,Q2HZX7
comp100429_c0_seq1,O62026
comp100448_c0_seq1,Q32PX9
comp100475_c0_seq1,Q6GIU7
comp100499_c0_seq1,P09481
comp100512_c0_seq1,A0MGZ7
comp100537_c0_seq1,Q5R559
comp100541_c0_seq1,A6NE52
comp100573_c0_seq1,A0JMF7
comp100576_c0_seq1,Q9D0R2
comp100583_c0_seq1,P18293
comp100600_c0_seq1,Q8L6Z8
comp100601_c0_seq1,Q9FEC1
comp100630_c0_seq1,Q9FR62
comp100637_c0_seq1,Q54QG9
comp100656_c0_seq1,O00178
comp100684_c0_seq1,P69198
comp100690_c0_seq1,Q80VL1
comp100702_c0_seq1,Q9QYE7
comp100704_c0_seq1,Q66H71
comp100713_c0_seq1,Q9GV77
comp100725_c0_seq1,Q6S002
comp100749_c0_seq1,Q8TC29
comp100751_c0_seq1,Q9SFB8
comp100756_c0_seq1,P98106
comp100758_c0_seq1,G5EG78
comp100785_c0_seq1,A8HUA1
comp10080_c0_seq1,Q6ZQY2
comp100820_c0_seq1,Q6ZLP5
comp100822_c0_seq1,P56597
comp100836_c0_seq1,Q2QM47
comp100880_c0_seq1,Q9H4G4
comp100898_c0_seq1,Q93149
comp100913_c0_seq1,P13868
comp100922_c0_seq1,Q5RBP9
comp100940_c0_seq1,F4KIB2
comp100960_c0_seq1,Q9SJ20
comp100967_c0_seq1,P04323
comp100986_c0_seq1,Q4R7D5
comp101042_c0_seq1,Q6DJM2
comp101056_c0_seq1,Q9Z5B5
comp101120_c0_seq1,P07799
comp101126_c0_seq1,Q9NBX4
comp101129_c0_seq1,Q56232
comp101143_c0_seq1,F4IUW3
comp101153_c0_seq1,Q9NZM1
comp101173_c0_seq1,Q9ATN4
comp101194_c0_seq1,Q62388
comp101198_c0_seq1,Q69ST6
comp101201_c0_seq1,O24308
comp101244_c0_seq1,O13762
comp101249_c0_seq1,P91252
comp101291_c0_seq1,Q01238
comp101324_c0_seq1,O80513
comp101351_c0_seq1,Q766D5
comp101378_c0_seq1,A8IVX2
comp10139_c0_seq1,E1C2U2
comp101407_c0_seq1,P21187
comp101419_c0_seq1,Q86XL3
comp101438_c0_seq1,A8MY62
comp101489_c0_seq1,Q5R3Z8
comp101497_c0_seq1,Q5YCC5
comp101539_c0_seq1,P56299
comp101580_c0_seq1,O88407
comp101585_c0_seq1,Q4P2U6
comp101588_c0_seq1,P36982
comp101601_c0_seq1,P57078
comp101603_c0_seq1,O15439
comp101619_c0_seq1,P0DPU6
comp101678_c0_seq1,Q569L8
comp101699_c0_seq1,Q8NDA2
comp101704_c0_seq1,O88502
comp101705_c0_seq1,P19137
comp101726_c0_seq1,Q6VTH5
comp101765_c0_seq1,O73885
comp101787_c0_seq1,Q804Q2
comp10178_c0_seq1,Q80T22
comp101797_c0_seq1,Q9FHN8
comp101827_c0_seq1,Q66KI6
comp101834_c0_seq1,Q9I4C8
comp101860_c0_seq1,Q8N6F8
comp101881_c0_seq1,O88576
comp101941_c0_seq1,P34457
