Contig,Entry
TRINITY_DN30060_c0_g1_i1,Q9Y0A1
TRINITY_DN28574_c0_g1_i1,Q9C0G6
TRINITY_DN30258_c0_g1_i1,Q8W0Y9
TRINITY_DN24703_c0_g1_i1,A2AVA0
TRINITY_DN16075_c0_g1_i1,Q96RL7
TRINITY_DN31178_c2_g1_i1,Q99PV0
TRINITY_DN26974_c0_g1_i1,Q9C0G6
TRINITY_DN4939_c0_g1_i2,Q9Y2H6
TRINITY_DN30839_c0_g1_i1,P16109
TRINITY_DN31486_c0_g1_i1,Q9Y2H6
TRINITY_DN54634_c0_g1_i1,Q0DG35
TRINITY_DN31612_c0_g1_i1,Q00955
TRINITY_DN29803_c0_g1_i1,Q00248
TRINITY_DN26088_c0_g1_i1,A0A0G2K1Q8
TRINITY_DN36618_c0_g1_i1,P22102
TRINITY_DN28931_c0_g1_i1,P0C8L4
TRINITY_DN30870_c0_g1_i1,Q9Y238
TRINITY_DN14602_c0_g1_i1,F4KHD8
TRINITY_DN32403_c0_g1_i1,Q96JB1
TRINITY_DN31292_c0_g1_i1,Q7RTR2
TRINITY_DN30654_c0_g1_i2,Q4LDE5
TRINITY_DN26242_c0_g1_i1,O75643
TRINITY_DN21289_c0_g1_i1,P9WQE6
TRINITY_DN30695_c0_g1_i2,Q6CUS7
TRINITY_DN30398_c0_g1_i1,Q5TCS8
TRINITY_DN29385_c2_g1_i1,P11029
TRINITY_DN28257_c0_g1_i1,F1LP64
TRINITY_DN28430_c0_g1_i1,Q09788
TRINITY_DN3318_c0_g1_i1,P13667
TRINITY_DN30648_c0_g1_i1,Q93VK0
TRINITY_DN31705_c0_g1_i2,Q7TXM0
TRINITY_DN31612_c0_g2_i5,P11029
TRINITY_DN29181_c0_g1_i2,F4JTS8
TRINITY_DN28780_c0_g1_i2,Q54UC0
TRINITY_DN30371_c0_g1_i1,P0CM30
TRINITY_DN29709_c0_g1_i2,Q9P2K9
TRINITY_DN30319_c0_g1_i1,Q9D309
TRINITY_DN28186_c0_g1_i1,Q9Y704
TRINITY_DN29213_c0_g1_i1,Q54LB8
TRINITY_DN30359_c0_g1_i1,F1QC45
