Contig,Entry
TRINITY_DN100441_c0_g1_i1,F4JCQ3
TRINITY_DN100535_c0_g1_i1,P53933
TRINITY_DN100626_c1_g1_i1,Q3A9R9
TRINITY_DN100745_c0_g1_i1,Q9FJX2
TRINITY_DN100869_c0_g1_i1,Q8LDW6
TRINITY_DN10129_c0_g1_i1,Q66GI4
TRINITY_DN101342_c0_g1_i1,Q9SIC9
TRINITY_DN101361_c0_g1_i1,P82596
TRINITY_DN101381_c0_g1_i1,Q9C0G6
TRINITY_DN101523_c0_g1_i1,Q54JC0
TRINITY_DN101537_c0_g1_i1,Q9LYJ9
TRINITY_DN101806_c0_g1_i1,P19485
TRINITY_DN101886_c0_g1_i1,Q9FMU6
TRINITY_DN102104_c0_g1_i1,P69201
TRINITY_DN102226_c0_g1_i1,Q5RCK5
TRINITY_DN10229_c0_g1_i1,O70277
TRINITY_DN102324_c0_g1_i1,J3S9D9
TRINITY_DN102329_c0_g1_i1,Q681N2
TRINITY_DN102511_c0_g1_i1,Q4V7Z1
TRINITY_DN102530_c0_g1_i1,Q9R1R2
TRINITY_DN102930_c0_g1_i1,Q9Y6C5
TRINITY_DN102932_c0_g1_i2,Q8W468
TRINITY_DN103070_c0_g1_i1,Q94JS4
TRINITY_DN103088_c0_g1_i1,O80337
TRINITY_DN103109_c0_g2_i1,Q8LE52
TRINITY_DN103180_c0_g1_i1,G5E8P1
TRINITY_DN103285_c0_g1_i2,Q21221
TRINITY_DN103379_c0_g1_i2,O15118
TRINITY_DN103407_c0_g2_i1,Q9SUW1
TRINITY_DN103631_c0_g1_i1,Q8N283
TRINITY_DN103668_c0_g1_i1,O96774
TRINITY_DN103760_c0_g1_i1,Q869Q0
TRINITY_DN103850_c0_g1_i2,Q8UVC3
TRINITY_DN103876_c0_g1_i1,P16157
TRINITY_DN103879_c0_g1_i1,Q5UPD4
TRINITY_DN103903_c0_g1_i1,H2LRU7
TRINITY_DN103989_c0_g1_i1,P55143
TRINITY_DN104039_c0_g1_i1,Q9SIC9
TRINITY_DN104046_c0_g1_i1,Q9LEV7
TRINITY_DN104148_c0_g1_i1,Q64392
TRINITY_DN104173_c0_g1_i1,Q9VCA8
TRINITY_DN104193_c0_g1_i1,Q8W103
TRINITY_DN104535_c0_g1_i1,Q5UPT4
TRINITY_DN10456_c0_g1_i1,Q01667
TRINITY_DN104704_c0_g1_i1,Q9SIC9
TRINITY_DN104836_c0_g1_i1,E9Q7X6
TRINITY_DN104842_c0_g1_i1,P25822
TRINITY_DN1049_c0_g1_i1,Q9XZD5
TRINITY_DN105083_c0_g1_i1,A8WQ43
TRINITY_DN105376_c0_g1_i1,Q3UD82
TRINITY_DN105423_c0_g1_i1,Q08972
TRINITY_DN105568_c0_g1_i1,Q0VCA5
TRINITY_DN105942_c0_g1_i1,Q09463
TRINITY_DN106035_c0_g1_i1,Q8CDF7
TRINITY_DN106100_c0_g1_i1,P50427
TRINITY_DN106177_c0_g1_i1,Q9SIC9
TRINITY_DN10617_c0_g1_i1,P32856
TRINITY_DN106185_c0_g1_i1,Q38676
TRINITY_DN106365_c0_g1_i1,Q99MU3
TRINITY_DN106388_c0_g2_i1,Q98TR7
TRINITY_DN106516_c0_g1_i1,Q2RA93
TRINITY_DN10653_c0_g1_i1,P78810
TRINITY_DN106621_c0_g1_i2,Q6NLY8
TRINITY_DN106642_c0_g1_i1,Q6TDP4
TRINITY_DN107148_c0_g1_i1,P16157
TRINITY_DN107551_c0_g1_i1,B3QP89
TRINITY_DN107800_c0_g1_i1,Q6AUK6
TRINITY_DN107963_c0_g1_i1,P08472
TRINITY_DN107970_c0_g1_i1,Q2HJN4
TRINITY_DN108016_c0_g1_i1,Q25386
TRINITY_DN108275_c0_g1_i1,Q94A68
TRINITY_DN108402_c0_g1_i1,Q5AI15
TRINITY_DN108874_c0_g2_i1,Q9SIC9
TRINITY_DN108915_c0_g1_i2,Q5BJ78
TRINITY_DN1089_c0_g1_i1,P40525
TRINITY_DN109526_c0_g1_i1,Q8N594
TRINITY_DN109705_c0_g1_i1,Q9BKR0
TRINITY_DN109874_c0_g1_i1,Q5KWC4
TRINITY_DN110016_c0_g1_i1,O23936
TRINITY_DN11009_c0_g1_i1,Q54GB2
TRINITY_DN110249_c0_g1_i1,B0BNA9
TRINITY_DN110457_c0_g1_i1,Q9SR00
TRINITY_DN11056_c0_g1_i1,Q0V9N0
TRINITY_DN110666_c0_g1_i1,Q8TF66
TRINITY_DN110700_c0_g1_i1,Q9ZPY9
TRINITY_DN110861_c0_g1_i1,Q8TE57
TRINITY_DN110875_c0_g1_i1,A2VDC2
TRINITY_DN110876_c0_g1_i1,P53675
TRINITY_DN110969_c0_g1_i1,Q99973
TRINITY_DN110994_c0_g1_i1,P61972
TRINITY_DN11104_c0_g1_i1,F4JZ24
TRINITY_DN111151_c0_g1_i1,A2Q8F7
TRINITY_DN111246_c0_g1_i1,Q10Q65
TRINITY_DN11135_c0_g1_i1,Q63HN8
TRINITY_DN111426_c0_g1_i1,Q3T138
TRINITY_DN111845_c0_g1_i1,Q5ZLK5
TRINITY_DN111931_c0_g1_i1,Q90YV0
TRINITY_DN112056_c0_g1_i1,Q5NAT0
TRINITY_DN1121_c0_g1_i1,A6QLE5
TRINITY_DN112287_c0_g1_i1,Q5U247
TRINITY_DN112464_c0_g1_i1,Q5UPD4
TRINITY_DN112491_c0_g1_i1,Q9SIC9
TRINITY_DN112809_c0_g1_i1,P0CS47
TRINITY_DN112858_c0_g1_i1,O04196
TRINITY_DN112860_c0_g1_i1,O28329
TRINITY_DN113015_c0_g1_i1,Q87N15
TRINITY_DN11322_c0_g1_i1,O46160
TRINITY_DN113265_c0_g1_i1,P51690
TRINITY_DN113297_c0_g1_i1,Q7Z6W7
TRINITY_DN113408_c0_g1_i1,O75179
TRINITY_DN113452_c0_g1_i1,P19984
