Contig,Entry
Mcav_TRINITY_GG_10023_c5_g1_i1,Q6NTU3
Mcav_TRINITY_GG_10026_c0_g1_i1,P43141
Mcav_TRINITY_GG_10028_c4_g1_i1,Q8AV28
Mcav_TRINITY_GG_10029_c1_g1_i2,A7RVK7
Mcav_TRINITY_GG_10029_c1_g1_i3,Q9CQP2
Mcav_TRINITY_GG_10041_c5_g1_i1,O57460
Mcav_TRINITY_GG_10041_c7_g1_i2,Q5QD13
Mcav_TRINITY_GG_10041_c8_g1_i1,P35556
Mcav_TRINITY_GG_10046_c0_g1_i2,P35555
Mcav_TRINITY_GG_10046_c1_g1_i1,Q8WPD0
Mcav_TRINITY_GG_10050_c1_g1_i1,Q8N8K9
Mcav_TRINITY_GG_10054_c11_g1_i1,Q3UHX0
Mcav_TRINITY_GG_10054_c12_g1_i4,Q76FK4
Mcav_TRINITY_GG_10054_c12_g1_i6,Q76FK4
Mcav_TRINITY_GG_10054_c13_g1_i1,O00339
Mcav_TRINITY_GG_10076_c4_g1_i1,O35701
Mcav_TRINITY_GG_10081_c4_g1_i3,F6Y9J3
Mcav_TRINITY_GG_10084_c0_g1_i1,Q6RT24
Mcav_TRINITY_GG_10084_c2_g1_i1,Q6RT24
Mcav_TRINITY_GG_10099_c4_g1_i1,P14381
Mcav_TRINITY_GG_10107_c5_g1_i1,Q9WU63
Mcav_TRINITY_GG_10107_c6_g1_i1,Q6Y288
Mcav_TRINITY_GG_10109_c3_g2_i2,Q9D2Z8
Mcav_TRINITY_GG_10120_c7_g1_i1,B2RXZ1
Mcav_TRINITY_GG_10120_c7_g1_i4,B2RXZ1
Mcav_TRINITY_GG_10121_c0_g1_i1,P18887
Mcav_TRINITY_GG_10121_c0_g1_i2,P18887
Mcav_TRINITY_GG_10122_c1_g1_i1,P67999
Mcav_TRINITY_GG_10122_c2_g1_i1,P67999
Mcav_TRINITY_GG_10122_c2_g1_i2,P67998
Mcav_TRINITY_GG_10123_c0_g1_i1,P21329
Mcav_TRINITY_GG_10125_c7_g1_i1,A7S338
Mcav_TRINITY_GG_10130_c1_g1_i2,Q60GC1
Mcav_TRINITY_GG_10130_c1_g1_i3,Q24558
Mcav_TRINITY_GG_10138_c0_g1_i1,Q5GH73
Mcav_TRINITY_GG_10145_c1_g1_i1,Q78JE5
Mcav_TRINITY_GG_10145_c6_g1_i2,Q6Y288
Mcav_TRINITY_GG_10145_c7_g1_i1,Q7ZVT5
Mcav_TRINITY_GG_10145_c8_g1_i1,Q78JE5
Mcav_TRINITY_GG_10146_c6_g1_i1,Q9R062
Mcav_TRINITY_GG_10146_c8_g1_i1,Q8TBY9
Mcav_TRINITY_GG_10153_c8_g1_i1,Q9SGA5
Mcav_TRINITY_GG_10155_c3_g1_i1,Q96DM1
Mcav_TRINITY_GG_10164_c0_g1_i2,Q1KL12
Mcav_TRINITY_GG_10175_c23_g1_i1,Q95SX7
Mcav_TRINITY_GG_10175_c26_g3_i2,A1L259
Mcav_TRINITY_GG_10175_c27_g1_i1,Q8N695
Mcav_TRINITY_GG_10175_c27_g1_i2,Q7SYH5
Mcav_TRINITY_GG_10175_c27_g1_i3,Q8N695
Mcav_TRINITY_GG_10186_c2_g1_i3,A0A0G2L7I0
Mcav_TRINITY_GG_101_c0_g1_i1,Q54QR3
Mcav_TRINITY_GG_10203_c3_g2_i1,Q5HZH2
Mcav_TRINITY_GG_10204_c7_g1_i2,A2A870
Mcav_TRINITY_GG_1020_c0_g1_i2,Q9D305
