Contig,Entry
comp358_c0_seq1,Q728S0
comp1088_c0_seq1,F4JYG0
comp1205_c0_seq1,Q9FJE6
comp1467_c0_seq1,Q11180
comp1685_c0_seq1,Q9KX40
comp1717_c0_seq1,O49562
comp1725_c0_seq1,Q2KHT3
comp1758_c0_seq1,Q6EEF3
comp1758_c0_seq2,Q6EMB2
comp1758_c0_seq3,A6NNM8
comp1758_c0_seq4,A6NNM8
comp1764_c0_seq1,Q5RB77
comp1891_c0_seq1,P98204
comp1908_c0_seq1,Q55E58
comp1966_c0_seq1,Q4WRQ4
comp1999_c0_seq1,P14909
comp2125_c0_seq1,Q8R0F3
comp2140_c0_seq1,Q55200
comp2151_c0_seq1,A5D9W7
comp2161_c0_seq1,Q12955
comp2175_c0_seq1,E9QAM5
comp2190_c0_seq2,Q7TMR0
comp2234_c0_seq2,Q0UEB6
comp2358_c0_seq1,Q42656
comp2358_c0_seq2,Q42656
comp2576_c1_seq1,Q9W0E3
comp2773_c0_seq1,Q8BW96
comp3135_c0_seq1,Q92738
comp3337_c0_seq1,Q9H221
comp3337_c0_seq2,Q8T685
comp3386_c0_seq1,Q55774
comp3393_c0_seq1,Q9HWG9
comp3453_c0_seq1,Q9FN03
comp3518_c0_seq1,F4HYJ7
comp3644_c0_seq1,Q9C8S9
comp3688_c0_seq1,Q8VDG7
comp3772_c0_seq1,Q9V4M2
comp3820_c0_seq1,P21448
comp3856_c0_seq1,Q8VZE7
comp4204_c0_seq1,Q5XIS1
comp4291_c0_seq1,O15439
comp4505_c0_seq1,P46942
comp4554_c0_seq1,Q7XJR9
comp4616_c0_seq1,Q45247
comp4830_c0_seq1,P29750
comp5036_c0_seq1,Q9LJU7
comp5036_c0_seq2,Q9LJU7
comp5140_c0_seq1,A4RF35
comp5154_c0_seq1,P53355
comp5451_c0_seq1,G4FEF4
comp5452_c0_seq1,P38631
comp5742_c0_seq1,W0LYS5
comp5746_c0_seq1,C6DJF9
comp5751_c0_seq1,Q10074
comp5769_c0_seq1,Q9DBT5
comp5808_c0_seq1,Q8W1K8
comp5814_c0_seq1,P31380
comp5851_c0_seq1,Q84M24
comp5941_c0_seq1,Q9Y871
comp5941_c0_seq2,Q9Y871
comp6254_c0_seq1,Q9S9U0
comp6269_c0_seq1,Q0V6P9
comp6298_c0_seq2,Q39610
comp6365_c0_seq1,Q6DLR9
comp6717_c0_seq1,A1L258
comp6736_c0_seq1,P71847
comp6784_c0_seq1,A0A4Y1YQ38
comp6921_c0_seq1,Q9R9I9
comp7056_c0_seq1,P25152
comp7071_c0_seq1,Q7ZWJ4
comp7119_c0_seq1,Q05115
comp7171_c0_seq1,Q9FJT9
comp7234_c0_seq1,P29266
comp7234_c0_seq2,P29266
comp7401_c0_seq1,A3KMH1
comp7618_c0_seq2,I6YEE1
comp7656_c0_seq1,Q8ZMX2
comp7683_c0_seq1,Q8S948
comp7746_c0_seq1,P27932
comp7779_c0_seq1,Q7TSI3
comp7843_c0_seq1,Q6DW74
comp7867_c0_seq1,Q46927
comp7867_c0_seq2,Q57097
comp7979_c0_seq1,Q9CYW4
comp8172_c0_seq1,P74373
comp8307_c0_seq1,A9WGE3
comp8360_c0_seq1,Q5DM57
comp8564_c0_seq1,P14735
comp8828_c0_seq1,Q8SSN5
comp9125_c0_seq1,Q8L7Y8
comp9125_c0_seq2,Q8L7Y8
comp9232_c0_seq1,Q9P0K7
comp9359_c0_seq1,Q5XJP1
comp9434_c0_seq1,P0CP46
comp9488_c0_seq1,Q9FNA3
comp10007_c0_seq1,P30182
comp10053_c0_seq1,D4GWH7
comp10063_c0_seq1,Q8WXX0
comp10272_c0_seq1,Q9LSQ5
comp10331_c0_seq1,Q25452
comp10382_c0_seq1,Q9GUM2
comp10579_c0_seq1,Q8VHK9
comp10675_c0_seq1,A7KVC2
comp10789_c0_seq1,O15439
comp10936_c0_seq1,A2SFL0
comp10968_c0_seq1,Q9P2D7
comp11223_c0_seq1,P0A9T5
comp11253_c0_seq1,Q4KTG9
comp11551_c0_seq2,Q0DBU5
comp11804_c0_seq1,Q5ZI74
comp11952_c0_seq1,Q94738
comp12065_c0_seq1,Q5ZMM1
comp12313_c0_seq1,Q12358
comp12316_c0_seq2,O14190
comp12824_c0_seq1,Q09854
comp12965_c0_seq1,Q85FP8
comp13438_c0_seq1,Q8R307
comp14047_c0_seq2,P22738
comp14111_c0_seq1,Q8L9T5
comp14157_c0_seq1,Q54VF4
comp14303_c0_seq1,O15442
comp14456_c0_seq1,Q8MXJ9
comp14829_c0_seq1,A5A6P2
comp14829_c0_seq2,A5A6P2
comp14899_c0_seq1,P04630
comp15027_c0_seq1,Q8IVB4
comp15122_c0_seq1,Q05609
comp15217_c0_seq1,Q8S1X7
comp15772_c0_seq1,Q56A55
comp15799_c0_seq1,Q2UCB7
comp15799_c0_seq2,Q2UCB7
comp15829_c0_seq1,Q5UPG5
comp16064_c0_seq2,Q9P225
comp16137_c0_seq1,Q07538
comp16466_c0_seq1,Q6ZIK0
comp16494_c0_seq1,Q8BMN4
comp16837_c0_seq1,Q8WXX0
comp17377_c0_seq1,Q8KN33
comp17756_c0_seq2,B9JEJ1
comp17905_c0_seq1,Q9LW07
comp17912_c0_seq2,P23013
comp17933_c0_seq1,Q6AT12
comp18201_c0_seq1,Q6WWW4
comp18201_c0_seq2,Q6WWW4
comp18833_c0_seq1,P9WMY5
comp18852_c0_seq1,Q54KL5
comp18852_c0_seq2,Q54KL5
comp18905_c0_seq1,Q502M6
comp18956_c0_seq1,P50830
comp19009_c0_seq1,Q21339
comp19049_c0_seq2,A4R1D5
comp19125_c0_seq1,P25776
comp19137_c0_seq1,Q4WF54
comp19137_c0_seq2,A4YI89
comp19231_c0_seq1,D6Y4U7
comp19233_c0_seq1,P07746
comp19305_c0_seq1,P35100
comp19349_c0_seq1,Q9AV39
comp19385_c0_seq1,A3DF24
comp19386_c0_seq1,Q5SM16
comp19388_c0_seq1,O60182
comp19392_c0_seq1,A8WYE4
comp19426_c0_seq1,P53933
comp19736_c0_seq1,P43783
comp19748_c0_seq1,Q2VB19
comp19775_c0_seq1,Q0WPT7
comp19825_c0_seq1,O75449
comp19866_c0_seq1,Q4PE39
comp19920_c0_seq1,Q9W625
comp19920_c0_seq2,Q9W625
comp19955_c0_seq1,P94593
comp19970_c1_seq1,P51957
comp19999_c0_seq1,Q03516
comp20035_c0_seq1,Q59002
comp20067_c0_seq1,O04716
comp20196_c0_seq1,O64642
comp20266_c0_seq1,Q6Q1P4
comp20268_c0_seq1,A8MQA3
comp20294_c0_seq1,Q9ERC1
comp20310_c0_seq1,P51566
comp20310_c0_seq2,P51566
comp20333_c0_seq1,P13080
comp20333_c0_seq2,P13080
comp20341_c0_seq1,G2NFJ9
comp20385_c0_seq1,A5YM72
comp20389_c0_seq1,Q8H0S9
comp20434_c0_seq1,O75343
comp20499_c0_seq1,Q28IH8
comp20499_c0_seq2,Q28IH8
comp20507_c0_seq1,Q86A77
comp20521_c0_seq1,P0CAZ0
comp20567_c0_seq1,E7QBZ1
comp20567_c0_seq2,E7QBZ1
comp20571_c0_seq1,P53356
comp20588_c0_seq1,Q9JMK8
comp20633_c0_seq1,P0CQ37
comp20654_c0_seq1,Q8VZR6
comp20769_c0_seq1,P87139
comp20769_c0_seq2,P87139
comp20775_c0_seq1,Q9USW3
comp20793_c0_seq1,Q9XGM8
comp20793_c0_seq2,Q9XGM8
comp20795_c0_seq1,Q94A06
comp20817_c0_seq1,A1VC40
comp20819_c0_seq1,Q04595
comp21006_c0_seq1,A8LNY7
comp21018_c0_seq1,Q49W60
comp21018_c0_seq2,Q49W60
comp21039_c0_seq1,P27643
comp21056_c0_seq1,O74113
comp21078_c0_seq2,Q8JZX4
comp21105_c0_seq1,P45844
comp21141_c0_seq1,P46279
comp21141_c0_seq2,P46279
comp21164_c0_seq1,Q9AYU1
comp21181_c0_seq1,Q43298
comp21227_c0_seq2,Q1JQA3
comp21286_c0_seq1,Q8BHJ9
comp21318_c0_seq1,Q8R5U4
